"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","1970-12",10.01828,
"IRL","LTINT","TOT","PC_PA","M","1971-01",9.977638,
"IRL","LTINT","TOT","PC_PA","M","1971-02",10.00812,
"IRL","LTINT","TOT","PC_PA","M","1971-03",9.662662,
"IRL","LTINT","TOT","PC_PA","M","1971-04",9.550896,
"IRL","LTINT","TOT","PC_PA","M","1971-05",9.43913,
"IRL","LTINT","TOT","PC_PA","M","1971-06",9.449291,
"IRL","LTINT","TOT","PC_PA","M","1971-07",9.510254,
"IRL","LTINT","TOT","PC_PA","M","1971-08",9.500093,
"IRL","LTINT","TOT","PC_PA","M","1971-09",9.256241,
"IRL","LTINT","TOT","PC_PA","M","1971-10",8.920943,
"IRL","LTINT","TOT","PC_PA","M","1971-11",8.748215,
"IRL","LTINT","TOT","PC_PA","M","1971-12",8.616128,
"IRL","LTINT","TOT","PC_PA","M","1972-01",8.504362,
"IRL","LTINT","TOT","PC_PA","M","1972-02",8.382436,
"IRL","LTINT","TOT","PC_PA","M","1972-03",8.514523,
"IRL","LTINT","TOT","PC_PA","M","1972-04",8.433238,
"IRL","LTINT","TOT","PC_PA","M","1972-05",8.778696,
"IRL","LTINT","TOT","PC_PA","M","1972-06",9.967478,
"IRL","LTINT","TOT","PC_PA","M","1972-07",9.916676,
"IRL","LTINT","TOT","PC_PA","M","1972-08",9.662662,
"IRL","LTINT","TOT","PC_PA","M","1972-09",9.611859,
"IRL","LTINT","TOT","PC_PA","M","1972-10",9.601699,
"IRL","LTINT","TOT","PC_PA","M","1972-11",9.62202,
"IRL","LTINT","TOT","PC_PA","M","1972-12",9.611859,
"IRL","LTINT","TOT","PC_PA","M","1973-01",9.713465,
"IRL","LTINT","TOT","PC_PA","M","1973-02",9.764267,
"IRL","LTINT","TOT","PC_PA","M","1973-03",10.17069,
"IRL","LTINT","TOT","PC_PA","M","1973-04",10.16053,
