LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GBR,CLI,AMPLITUD,LTRENDIDX,M,1957-12,97.418,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-01,97.47018,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-02,97.59193,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-03,97.74928,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-04,97.91502,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-05,98.10381,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-06,98.35026,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-07,98.69169,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-08,99.09028,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-09,99.50882,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-10,99.89096,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-11,100.1751,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-12,100.2892,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-01,100.2185,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-02,100.0497,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-03,99.87364,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-04,99.74299,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-05,99.64581,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-06,99.69197,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-07,99.95766,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-08,100.5392,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-09,101.4961,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-10,102.621,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-11,103.6202,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-12,104.255,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-01,104.3551,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-02,104.0077,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-03,103.4377,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-04,102.806,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-05,102.2363,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-06,101.7809,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-07,101.4488,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-08,101.2271,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-09,101.0665,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-10,100.9215,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-11,100.8102,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-12,100.7723,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-01,100.7932,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-02,100.8202,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-03,100.7414,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-04,100.4762,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-05,100.0293,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-06,99.40839,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-07,98.63695,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-08,97.82557,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-09,97.143,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-10,96.6966,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-11,96.50861,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-12,96.49675,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-01,96.58639,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-02,96.73722,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-03,96.93391,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-04,97.16647,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-05,97.36623,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-06,97.51416,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-07,97.69038,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-08,97.9266,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-09,98.1821,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-10,98.44656,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-11,98.68741,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-12,98.89495,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-01,99.09961,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-02,99.36047,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-03,99.69164,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-04,100.0593,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-05,100.413,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-06,100.7462,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-07,101.122,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-08,101.5143,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-09,101.8795,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-10,102.1581,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-11,102.292,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-12,102.3056,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-01,102.2243,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-02,102.0889,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-03,101.9737,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-04,101.9416,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-05,101.9919,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-06,102.1268,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-07,102.2649,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-08,102.3376,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-09,102.2708,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-10,101.9985,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-11,101.5519,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-12,101.0025,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-01,100.4662,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-02,99.98251,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-03,99.51829,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-04,99.08202,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-05,98.75873,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-06,98.58288,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-07,98.53528,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-08,98.61591,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-09,98.82265,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-10,99.13804,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-11,99.52409,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-12,99.94821,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-01,100.3504,
