"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-01",-0.01100346,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-02",-0.02097521,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-03",-0.01037375,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-04",-0.02611254,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-05",-0.00624278,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-06",-0.0144503,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-07",0.02088918,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-08",-0.02050976,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-09",0.0001608924,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-10",0.01187204,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-11",-0.02173925,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1958-12",0.01783011,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-01",-0.007831535,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-02",0.0195918,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-03",0.0004969258,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-04",0.01642608,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-05",0.02220147,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-06",0.01328879,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-07",0.01864745,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-08",0.02478791,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-09",0.03614355,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-10",0.008614345,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-11",0.0103516,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1959-12",0.03117658,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-01",-0.006182412,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-02",0.004880605,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-03",-0.0008736375,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-04",-0.004402787,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-05",-0.02903951,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-06",-0.01864678,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-07",-0.04059749,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-08",-0.02357047,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-09",-0.02885542,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-10",-0.08314762,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-11",-0.002568342,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1960-12",-0.03682454,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-01",-0.03035641,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-02",-0.04873702,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-03",-0.010541,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-04",-0.01270692,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-05",0.03975169,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-06",0.0548873,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-07",0.04917022,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-08",0.06282787,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-09",0.0597783,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-10",0.0554229,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-11",0.05120378,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1961-12",0.0295841,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-01",0.04292166,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-02",0.029792,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-03",0.02173579,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-04",0.03186806,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-05",0.02996256,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-06",0.007265181,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-07",-0.009573153,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-08",0.001307684,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-09",-0.01945694,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-10",-0.004938471,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-11",0.00128995,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1962-12",0.009190499,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-01",-0.001697067,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-02",0.01897548,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-03",0.02035427,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-04",0.005210343,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-05",0.02084355,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-06",-0.008186601,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-07",0.06059833,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-08",0.04898033,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-09",0.05458153,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-10",0.06074445,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-11",0.04695257,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1963-12",0.05183948,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-01",0.05291873,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-02",0.04249325,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-03",0.0325638,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-04",0.03520364,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-05",0.02570934,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-06",0.01437401,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-07",0.02181085,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-08",-0.02577999,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-09",-0.0005128401,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-10",-0.005017946,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-11",-0.0238275,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1964-12",-0.01887471,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-01",-0.03444327,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-02",-0.00986552,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-03",-0.008013852,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-04",-0.01179701,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-05",-0.06083659,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-06",-0.0371267,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-07",-0.01016857,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-08",-0.03102998,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-09",-0.02533321,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-10",-0.01753788,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-11",-0.0187479,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1965-12",-0.03004574,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1966-01",-0.03644926,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1966-02",-0.01224671,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1966-03",-0.02270252,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1966-04",-0.02554426,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1966-05",0.02895611,
"AUS","TRADEGOOD","NTRADE","BLN_USD","M","1966-06",0.03082234,
