"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1978-02",6.644554,
"AUS","HUR","TOT","PC_LF","M","1978-03",6.301991,
"AUS","HUR","TOT","PC_LF","M","1978-04",6.267243,
"AUS","HUR","TOT","PC_LF","M","1978-05",6.208944,
"AUS","HUR","TOT","PC_LF","M","1978-06",6.30294,
"AUS","HUR","TOT","PC_LF","M","1978-07",6.222992,
"AUS","HUR","TOT","PC_LF","M","1978-08",6.489864,
"AUS","HUR","TOT","PC_LF","M","1978-09",6.256921,
"AUS","HUR","TOT","PC_LF","M","1978-10",6.162762,
"AUS","HUR","TOT","PC_LF","M","1978-11",6.329723,
"AUS","HUR","TOT","PC_LF","M","1978-12",6.404576,
"AUS","HUR","TOT","PC_LF","M","1979-01",6.370506,
"AUS","HUR","TOT","PC_LF","M","1979-02",6.256833,
"AUS","HUR","TOT","PC_LF","M","1979-03",6.30223,
"AUS","HUR","TOT","PC_LF","M","1979-04",6.498135,
"AUS","HUR","TOT","PC_LF","M","1979-05",6.203061,
"AUS","HUR","TOT","PC_LF","M","1979-06",6.250591,
"AUS","HUR","TOT","PC_LF","M","1979-07",6.274307,
"AUS","HUR","TOT","PC_LF","M","1979-08",6.117572,
"AUS","HUR","TOT","PC_LF","M","1979-09",6.231371,
"AUS","HUR","TOT","PC_LF","M","1979-10",6.383107,
"AUS","HUR","TOT","PC_LF","M","1979-11",6.043804,
"AUS","HUR","TOT","PC_LF","M","1979-12",6.119347,
"AUS","HUR","TOT","PC_LF","M","1980-01",6.146056,
"AUS","HUR","TOT","PC_LF","M","1980-02",5.998371,
"AUS","HUR","TOT","PC_LF","M","1980-03",5.935803,
"AUS","HUR","TOT","PC_LF","M","1980-04",6.113453,
"AUS","HUR","TOT","PC_LF","M","1980-05",6.245064,
"AUS","HUR","TOT","PC_LF","M","1980-06",6.32207,
"AUS","HUR","TOT","PC_LF","M","1980-07",6.077605,
"AUS","HUR","TOT","PC_LF","M","1980-08",6.176283,
"AUS","HUR","TOT","PC_LF","M","1980-09",6.139867,
"AUS","HUR","TOT","PC_LF","M","1980-10",6.054436,
"AUS","HUR","TOT","PC_LF","M","1980-11",5.849236,
"AUS","HUR","TOT","PC_LF","M","1980-12",6.050337,
"AUS","HUR","TOT","PC_LF","M","1981-01",5.915783,
"AUS","HUR","TOT","PC_LF","M","1981-02",5.616192,
"AUS","HUR","TOT","PC_LF","M","1981-03",5.745195,
"AUS","HUR","TOT","PC_LF","M","1981-04",5.554711,
"AUS","HUR","TOT","PC_LF","M","1981-05",5.58795,
"AUS","HUR","TOT","PC_LF","M","1981-06",5.373389,
"AUS","HUR","TOT","PC_LF","M","1981-07",5.827654,
"AUS","HUR","TOT","PC_LF","M","1981-08",5.845484,
"AUS","HUR","TOT","PC_LF","M","1981-09",5.810991,
"AUS","HUR","TOT","PC_LF","M","1981-10",5.871697,
"AUS","HUR","TOT","PC_LF","M","1981-11",5.993966,
"AUS","HUR","TOT","PC_LF","M","1981-12",6.026044,
"AUS","HUR","TOT","PC_LF","M","1982-01",5.981749,
"AUS","HUR","TOT","PC_LF","M","1982-02",6.30803,
"AUS","HUR","TOT","PC_LF","M","1982-03",6.321997,
"AUS","HUR","TOT","PC_LF","M","1982-04",6.332024,
"AUS","HUR","TOT","PC_LF","M","1982-05",6.591658,
"AUS","HUR","TOT","PC_LF","M","1982-06",6.765898,
"AUS","HUR","TOT","PC_LF","M","1982-07",6.883218,
"AUS","HUR","TOT","PC_LF","M","1982-08",7.010692,
"AUS","HUR","TOT","PC_LF","M","1982-09",7.428319,
"AUS","HUR","TOT","PC_LF","M","1982-10",8.293836,
"AUS","HUR","TOT","PC_LF","M","1982-11",8.678133,
"AUS","HUR","TOT","PC_LF","M","1982-12",9.400698,
"AUS","HUR","TOT","PC_LF","M","1983-01",9.298494,
"AUS","HUR","TOT","PC_LF","M","1983-02",9.657966,
"AUS","HUR","TOT","PC_LF","M","1983-03",9.949899,
"AUS","HUR","TOT","PC_LF","M","1983-04",10.15209,
"AUS","HUR","TOT","PC_LF","M","1983-05",10.32147,
"AUS","HUR","TOT","PC_LF","M","1983-06",10.20194,
"AUS","HUR","TOT","PC_LF","M","1983-07",10.51992,
"AUS","HUR","TOT","PC_LF","M","1983-08",10.2179,
"AUS","HUR","TOT","PC_LF","M","1983-09",10.33649,
"AUS","HUR","TOT","PC_LF","M","1983-10",10.00662,
"AUS","HUR","TOT","PC_LF","M","1983-11",9.652799,
"AUS","HUR","TOT","PC_LF","M","1983-12",9.455931,
"AUS","HUR","TOT","PC_LF","M","1984-01",9.496476,
"AUS","HUR","TOT","PC_LF","M","1984-02",9.384986,
"AUS","HUR","TOT","PC_LF","M","1984-03",9.206832,
"AUS","HUR","TOT","PC_LF","M","1984-04",9.370437,
