Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,220201,2022-02-01,111659,NYME,1,111,367470,108823,43471,60212,173465,250049,342500,353732,24970,13738,367470,108823,43471,60212,173465,250049,342500,353732,24970,13738,0,0,0,0,0,0,0,0,0,0,3258,2462,-3285,3829,-5703,3686,588,4230,2670,-972,100,29.6,11.8,16.4,47.2,68,93.2,96.3,6.8,3.7,100,29.6,11.8,16.4,47.2,68,93.2,96.3,6.8,3.7,0,0,0,0,0,0,0,0,0,0,245,87,35,70,84,109,200,191,245,87,35,70,84,109,200,191,0,0,0,0,0,0,0,0,13.5,18.4,22.4,29.3,10.1,11.7,16.6,18.9,13.5,18.4,22.4,29.3,10.1,11.7,16.6,18.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,220125,2022-01-25,111659,NYME,1,111,364212,106361,46756,56383,179168,246363,341912,349502,22300,14710,364212,106361,46756,56383,179168,246363,341912,349502,22300,14710,0,0,0,0,0,0,0,0,0,0,-1353,402,1586,-1128,-119,-189,-845,269,-508,-1622,100,29.2,12.8,15.5,49.2,67.6,93.9,96,6.1,4,100,29.2,12.8,15.5,49.2,67.6,93.9,96,6.1,4,0,0,0,0,0,0,0,0,0,0,253,91,36,68,91,109,215,188,253,91,36,68,91,109,215,188,0,0,0,0,0,0,0,0,12.8,17.5,22.2,28.1,10,11.4,16.7,18.5,12.8,17.5,22.2,28.1,10,11.4,16.7,18.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,220118,2022-01-18,111659,NYME,1,111,365565,105959,45170,57511,179287,246552,342757,349233,22808,16332,365565,105959,45170,57511,179287,246552,342757,349233,22808,16332,0,0,0,0,0,0,0,0,0,0,26327,4298,3011,5306,14364,16074,23968,24391,2359,1936,100,29,12.4,15.7,49,67.4,93.8,95.5,6.2,4.5,100,29,12.4,15.7,49,67.4,93.8,95.5,6.2,4.5,0,0,0,0,0,0,0,0,0,0,248,88,38,65,90,108,211,184,248,88,38,65,90,108,211,184,0,0,0,0,0,0,0,0,14.1,17.5,24.5,29.8,10.2,10.8,16.8,17.8,14.1,17.5,24.5,29.8,10.2,10.8,16.8,17.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,220111,2022-01-11,111659,NYME,1,111,339238,101661,42159,52205,164923,230478,318789,324842,20449,14396,339238,101661,42159,52205,164923,230478,318789,324842,20449,14396,0,0,0,0,0,0,0,0,0,0,26975,-258,4557,3390,23388,18490,26520,26437,455,538,100,30,12.4,15.4,48.6,67.9,94,95.8,6,4.2,100,30,12.4,15.4,48.6,67.9,94,95.8,6,4.2,0,0,0,0,0,0,0,0,0,0,248,86,37,66,84,107,206,181,248,86,37,66,84,107,206,181,0,0,0,0,0,0,0,0,13.5,17.4,23.1,28.9,10.2,11.5,17.3,19.1,13.5,17.4,23.1,28.9,10.2,11.5,17.3,19.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,220104,2022-01-04,111659,NYME,1,111,312263,101919,37602,48815,141535,211988,292269,298405,19994,13858,312263,101919,37602,48815,141535,211988,292269,298405,19994,13858,0,0,0,0,0,0,0,0,0,0,21441,5814,-1258,2903,12695,19803,21412,21448,29,-7,100,32.6,12,15.6,45.3,67.9,93.6,95.6,6.4,4.4,100,32.6,12,15.6,45.3,67.9,93.6,95.6,6.4,4.4,0,0,0,0,0,0,0,0,0,0,238,79,37,60,82,107,198,174,238,79,37,60,82,107,198,174,0,0,0,0,0,0,0,0,12.4,19.9,21.7,30.1,10.5,13.7,17.5,21.8,12.4,19.9,21.7,30.1,10.5,13.7,17.5,21.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211228,2021-12-28,111659,NYME,1,111,290822,96105,38860,45912,128840,192185,270857,276957,19965,13865,290822,96105,38860,45912,128840,192185,270857,276957,19965,13865,0,0,0,0,0,0,0,0,0,0,-11739,-3276,-368,-5843,-4238,-4806,-13357,-11017,1618,-722,100,33,13.4,15.8,44.3,66.1,93.1,95.2,6.9,4.8,100,33,13.4,15.8,44.3,66.1,93.1,95.2,6.9,4.8,0,0,0,0,0,0,0,0,0,0,232,83,34,61,80,100,195,170,232,83,34,61,80,100,195,170,0,0,0,0,0,0,0,0,12.8,20.7,22.4,30.5,11.1,14.4,18.1,23,12.8,20.7,22.4,30.5,11.1,14.4,18.1,23,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211221,2021-12-21,111659,NYME,1,111,302561,99381,39228,51755,133078,196991,284214,287974,18347,14587,302561,99381,39228,51755,133078,196991,284214,287974,18347,14587,0,0,0,0,0,0,0,0,0,0,-2400,7245,3526,-6511,-3691,-1710,-2957,-4695,557,2295,100,32.8,13,17.1,44,65.1,93.9,95.2,6.1,4.8,100,32.8,13,17.1,44,65.1,93.9,95.2,6.1,4.8,0,0,0,0,0,0,0,0,0,0,234,83,36,60,86,101,201,172,234,83,36,60,86,101,201,172,0,0,0,0,0,0,0,0,12.4,19.4,21.9,29.7,10.7,13.7,17.5,22.4,12.4,19.4,21.9,29.7,10.7,13.7,17.5,22.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211214,2021-12-14,111659,NYME,1,111,304961,92136,35702,58266,136769,198701,287171,292669,17790,12292,304961,92136,35702,58266,136769,198701,287171,292669,17790,12292,0,0,0,0,0,0,0,0,0,0,11549,2980,-3571,13029,-5400,2439,10609,11897,940,-348,100,30.2,11.7,19.1,44.8,65.2,94.2,96,5.8,4,100,30.2,11.7,19.1,44.8,65.2,94.2,96,5.8,4,0,0,0,0,0,0,0,0,0,0,243,84,36,58,89,108,202,178,243,84,36,58,89,108,202,178,0,0,0,0,0,0,0,0,13.4,20.3,23.3,30.8,11,14,17.6,22,13.4,20.3,23.3,30.8,11,14,17.6,22,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211207,2021-12-07,111659,NYME,1,111,293412,89156,39273,45237,142169,196262,276562,280772,16850,12640,293412,89156,39273,45237,142169,196262,276562,280772,16850,12640,0,0,0,0,0,0,0,0,0,0,7967,-3652,-7921,4794,8311,12241,9453,9114,-1486,-1147,100,30.4,13.4,15.4,48.5,66.9,94.3,95.7,5.7,4.3,100,30.4,13.4,15.4,48.5,66.9,94.3,95.7,5.7,4.3,0,0,0,0,0,0,0,0,0,0,235,75,39,57,83,104,192,172,235,75,39,57,83,104,192,172,0,0,0,0,0,0,0,0,14.9,18.7,24.3,29.3,11.6,13.4,18.2,20.4,14.9,18.7,24.3,29.3,11.6,13.4,18.2,20.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211130,2021-11-30,111659,NYME,1,111,285445,92808,47194,40443,133858,184021,267109,271658,18336,13787,285445,92808,47194,40443,133858,184021,267109,271658,18336,13787,0,0,0,0,0,0,0,0,0,0,-48561,-15767,-5387,-12789,-17705,-28918,-46261,-47094,-2300,-1467,100,32.5,16.5,14.2,46.9,64.5,93.6,95.2,6.4,4.8,100,32.5,16.5,14.2,46.9,64.5,93.6,95.2,6.4,4.8,0,0,0,0,0,0,0,0,0,0,228,77,35,52,76,105,182,167,228,77,35,52,76,105,182,167,0,0,0,0,0,0,0,0,13.8,20.6,24,31.4,12.5,14.9,20.7,23.3,13.8,20.6,24,31.4,12.5,14.9,20.7,23.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
