"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
HEATING OIL ,861231 ,1986-12-31,022651 ,NYME ,01 ,022 ,    72564,   7536,   2049,   1461,  28440,  50515,  37437,  54025,  35127,  18539,    72564,   7536,   2049,   1461,  28440,  50515,  37437,  54025,  35127,  18539,        0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    -1762,  -1362,   -132,   1140,  -4650,  -5291,  -4872,  -4283,   3110,   2521,  100.0,   10.4,    2.8,    2.0,   39.2,   69.6,   51.6,   74.5,   48.4,   25.5,  100.0,   10.4,    2.8,    2.0,   39.2,   69.6,   51.6,   74.5,   48.4,   25.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     96,     20,      3,      3,     43,     46,     64,     52,     96,     20,      3,      3,     43,     46,     64,     52,      0,      0,      0,      0,      0,      0,      0,      0,    12.9,    34.4,    20.7,    44.5,     9.9,    32.4,    15.6,    39.8,    12.9,    34.4,    20.7,    44.5,     9.9,    32.4,    15.6,    39.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,861215 ,1986-12-15,022651 ,NYME ,01 ,022 ,    74326,   8898,   2181,    321,  33090,  55806,  42309,  58308,  32017,  16018,    74326,   8898,   2181,    321,  33090,  55806,  42309,  58308,  32017,  16018,        0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     4130,   1536,    573,   -555,   -444,   4801,    537,   4819,   3593,   -689,  100.0,   12.0,    2.9,    0.4,   44.5,   75.1,   56.9,   78.4,   43.1,   21.6,  100.0,   12.0,    2.9,    0.4,   44.5,   75.1,   56.9,   78.4,   43.1,   21.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    108,     22,      5,      2,     47,     63,     70,     69,    108,     22,      5,      2,     47,     63,     70,     69,      0,      0,      0,      0,      0,      0,      0,      0,    16.7,    31.8,    25.2,    42.1,    12.1,    29.3,    17.9,    36.4,    16.7,    31.8,    25.2,    42.1,    12.1,    29.3,    17.9,    36.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,861128 ,1986-11-28,022651 ,NYME ,01 ,022 ,    70196,   7362,   1608,    876,  33534,  51005,  41772,  53489,  28424,  16707,     3832,      0,      0,      0,   1673,   1633,   1673,   1633,   2159,   2199,    66364,   7362,   1608,    876,  31861,  49372,  40099,  51856,  26265,  14508,    -6809,   -864,    -68,    706,  -2474,  -7033,  -2632,  -6395,  -4177,   -414,  100.0,   10.5,    2.3,    1.2,   47.8,   72.7,   59.5,   76.2,   40.5,   23.8,  100.0,    0.0,    0.0,    0.0,   43.7,   42.6,   43.7,   42.6,   56.3,   57.4,  100.0,   11.1,    2.4,    1.3,   48.0,   74.4,   60.4,   78.1,   39.6,   21.9,     98,     18,      5,      3,     45,     55,     65,     61,      6,      0,      0,      0,      4,      3,      4,      3,     98,     18,      5,      3,     44,     55,     64,     61,    15.1,    29.9,    24.3,    40.6,    12.7,    26.9,    19.9,    35.3,    43.7,    42.6,    43.7,    42.6,    35.2,    34.1,    35.2,    34.1,    15.0,    30.3,    24.2,    41.5,    13.4,    27.7,    21.0,    37.5,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,861114 ,1986-11-14,022651 ,NYME ,01 ,022 ,    77005,   8226,   1676,    170,  36008,  58038,  44404,  59884,  32601,  17121,    15971,   1560,    269,      0,   9406,  11629,  10966,  11898,   5005,   4073,    61034,   6666,   1407,    170,  26602,  46409,  33438,  47986,  27596,  13048,    -5219,   -424,  -1221,     16,  -8355,   2637,  -8763,   1432,   3544,  -6651,  100.0,   10.7,    2.2,    0.2,   46.8,   75.4,   57.7,   77.8,   42.3,   22.2,  100.0,    9.8,    1.7,    0.0,   58.9,   72.8,   68.7,   74.5,   31.3,   25.5,  100.0,   10.9,    2.3,    0.3,   43.6,   76.0,   54.8,   78.6,   45.2,   21.4,    107,     18,      6,      1,     49,     62,     67,     69,     51,      4,      1,      0,     23,     30,     27,     31,     88,     16,      5,      1,     42,     49,     58,     55,    13.1,    28.3,    22.4,    39.4,    11.5,    26.4,    16.6,    35.7,    25.5,    20.4,    41.0,    34.6,    25.1,    19.9,    38.5,    32.9,    13.9,    32.7,    22.5,    44.9,    12.0,    30.7,    18.5,    41.8,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,861031 ,1986-10-31,022651 ,NYME ,01 ,022 ,    82224,   8650,   2897,    154,  44363,  55401,  53167,  58452,  29057,  23772,    30710,   2618,   1551,    154,  18720,  17703,  21492,  19408,   9218,  11302,    51514,   6032,   1346,      0,  25643,  37698,  31675,  39044,  19839,  12470,     2377,   -794,   -130,    -35,   3345,   2055,   2516,   1890,   -139,    487,  100.0,   10.5,    3.5,    0.2,   54.0,   67.4,   64.7,   71.1,   35.3,   28.9,  100.0,    8.5,    5.1,    0.5,   61.0,   57.6,   70.0,   63.2,   30.0,   36.8,  100.0,   11.7,    2.6,    0.0,   49.8,   73.2,   61.5,   75.8,   38.5,   24.2,    112,     17,      8,      1,     52,     61,     69,     70,     70,      7,      3,      1,     36,     34,     43,     38,     82,     14,      5,      0,     35,     47,     49,     52,    14.2,    25.6,    23.7,    35.3,    12.5,    21.5,    20.0,    28.0,    26.0,    20.4,    36.5,    31.2,    24.4,    18.8,    33.7,    28.8,    16.3,    33.4,    28.2,    43.9,    14.7,    32.8,    22.3,    40.5,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,861015 ,1986-10-15,022651 ,NYME ,01 ,022 ,    79847,   9444,   3027,    189,  41018,  53346,  50651,  56562,  29196,  23285,    41002,   4870,   2232,      0,  23199,  25593,  28069,  27825,  12933,  13177,    38845,   4763,    984,      0,  17819,  27753,  22582,  28737,  16263,  10108,     5743,   4675,    925,  -1219,   5070,   4018,   8526,   3724,  -2783,   2019,  100.0,   11.8,    3.8,    0.2,   51.4,   66.8,   63.4,   70.8,   36.6,   29.2,  100.0,   11.9,    5.4,    0.0,   56.6,   62.4,   68.5,   67.9,   31.5,   32.1,  100.0,   12.3,    2.5,    0.0,   45.9,   71.4,   58.1,   74.0,   41.9,   26.0,    105,     14,      7,      1,     56,     60,     71,     67,     82,     11,      6,      0,     41,     40,     52,     46,     63,      8,      3,      0,     30,     40,     38,     43,    13.7,    26.1,    24.0,    37.2,    13.0,    20.2,    20.3,    27.9,    20.9,    21.9,    33.5,    34.3,    19.8,    18.1,    28.5,    28.6,    16.9,    33.3,    30.0,    44.1,    14.7,    28.9,    23.9,    36.8,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,860930 ,1986-09-30,022651 ,NYME ,01 ,022 ,    74104,   4769,   2102,   1408,  35948,  49328,  42125,  52838,  31979,  21266,    47981,   3034,   2120,     16,  24636,  31549,  27686,  33685,  20295,  14296,    26123,   2677,    924,    450,  11312,  17779,  14439,  19153,  11684,   6970,       58,   1179,   -202,    127,   2682,   3008,   3988,   2933,  -3930,  -2875,  100.0,    6.4,    2.8,    1.9,   48.5,   66.6,   56.8,   71.3,   43.2,   28.7,  100.0,    6.3,    4.4,    0.0,   51.3,   65.8,   57.7,   70.2,   42.3,   29.8,  100.0,   10.2,    3.5,    1.7,   43.3,   68.1,   55.3,   73.3,   44.7,   26.7,    109,     17,     10,      5,     54,     57,     72,     71,     93,     13,      9,      1,     45,     43,     58,     53,     49,      7,      5,      1,     20,     27,     27,     33,    12.8,    24.6,    21.7,    35.6,    11.7,    19.6,    17.0,    27.0,    15.2,    22.9,    23.6,    34.0,    12.8,    21.3,    20.6,    30.8,    18.6,    37.2,    31.8,    48.1,    16.3,    32.4,    25.3,    41.4,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,860915 ,1986-09-15,022651 ,NYME ,01 ,022 ,    74046,   3590,   2304,   1281,  33266,  46320,  38137,  49905,  35909,  24141,    52050,   1246,   2377,    379,  25720,  31856,  27345,  34612,  24705,  17438,    21996,   2587,    170,    659,   7546,  14007,  10792,  14836,  11204,   7160,     9596,  -2106,    893,   -509,   7546,   2129,   4931,   2513,   4665,   7083,  100.0,    4.8,    3.1,    1.7,   44.9,   62.6,   51.5,   67.4,   48.5,   32.6,  100.0,    2.4,    4.6,    0.7,   49.4,   61.2,   52.5,   66.5,   47.5,   33.5,  100.0,   11.8,    0.8,    3.0,   34.3,   63.7,   49.1,   67.4,   50.9,   32.6,     96,     12,      7,      5,     56,     51,     69,     63,     82,      7,      7,      2,     50,     36,     57,     45,     42,      7,      1,      3,     17,     23,     25,     27,    13.6,    24.1,    21.9,    34.0,    10.3,    18.8,    15.7,    26.7,    14.4,    21.8,    22.8,    34.3,    11.3,    17.8,    19.1,    28.4,    21.9,    37.9,    32.5,    47.1,    15.6,    30.5,    21.1,    36.9,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,860829 ,1986-08-29,022651 ,NYME ,01 ,022 ,    64450,   5696,   1411,   1790,  25720,  44191,  33206,  47392,  31244,  17058,    49372,   3932,   2065,    977,  21822,  35204,  26731,  38246,  22641,  11126,    15078,   2418,      0,    159,   3898,   8987,   6475,   9146,   8603,   5932,    -1504,  -1686,   -527,   -462,   2776,   2553,    628,   1564,  -2132,  -3068,  100.0,    8.8,    2.2,    2.8,   39.9,   68.6,   51.5,   73.5,   48.5,   26.5,  100.0,    8.0,    4.2,    2.0,   44.2,   71.3,   54.1,   77.5,   45.9,   22.5,  100.0,   16.0,    0.0,    1.1,   25.9,   59.6,   42.9,   60.7,   57.1,   39.3,    100,     16,      7,      8,     49,     51,     67,     64,     95,     13,      9,      4,     48,     43,     62,     55,     26,      6,      0,      1,      9,     16,     15,     17,    12.0,    28.4,    18.6,    38.5,     7.8,    22.9,    13.4,    30.4,    11.3,    29.3,    18.7,    41.6,     8.9,    25.2,    15.8,    35.8,    24.8,    36.7,    34.0,    46.6,    16.6,    28.0,    22.1,    36.2,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
HEATING OIL ,860815 ,1986-08-15,022651 ,NYME ,01 ,022 ,    65954,   7382,   1938,   2252,  22944,  41638,  32578,  45828,  33376,  20126,    53996,   5250,   2171,   1275,  21089,  35636,  27614,  39082,  26382,  14914,    11958,   2699,    334,    410,   1855,   6002,   4964,   6746,   6994,   5212,    -1671,   1785,  -2878,  -1423,  -3890,   5227,  -3528,    926,   1857,  -2597,  100.0,   11.2,    2.9,    3.4,   34.8,   63.1,   49.4,   69.5,   50.6,   30.5,  100.0,    9.7,    4.0,    2.4,   39.1,   66.0,   51.1,   72.4,   48.9,   27.6,  100.0,   22.6,    2.8,    3.4,   15.5,   50.2,   41.5,   56.4,   58.5,   43.6,     95,     15,      9,      8,     46,     47,     66,     60,     90,     11,     11,      5,     45,     39,     60,     51,     22,      8,      1,      1,      4,     12,     12,     14,    12.4,    27.6,    19.3,    36.9,     8.3,    21.5,    13.4,    29.4,    12.0,    28.2,    19.5,    39.5,     9.4,    23.3,    15.0,    33.0,    28.5,    33.8,    36.6,    45.0,    17.5,    23.3,    23.4,    32.9,"(CONTRACTS OF 42,000 U.S. GALLONS)" ,"022651" ,"NYME" ,"022"
