Date,NY_ULSD,GC_ULSD ,LA_ULSD 
Apr-1996,,,0.95
May-1996,,,0.87
Jun-1996,,,0.745
Jul-1996,,,0.692
Aug-1996,,,0.705
Sep-1996,,,0.768
Oct-1996,,,0.817
Nov-1996,,,0.741
Dec-1996,,,0.735
Jan-1997,,,0.773
Feb-1997,,,0.789
Mar-1997,,,0.751
Apr-1997,,,0.731
May-1997,,,0.623
Jun-1997,,,0.589
Jul-1997,,,0.571
Aug-1997,,,0.679
Sep-1997,,,0.645
Oct-1997,,,0.685
Nov-1997,,,0.703
Dec-1997,,,0.601
Jan-1998,,,0.566
Feb-1998,,,0.497
Mar-1998,,,0.479
Apr-1998,,,0.552
May-1998,,,0.518
Jun-1998,,,0.469
Jul-1998,,,0.47
Aug-1998,,,0.463
Sep-1998,,,0.482
Oct-1998,,,0.478
Nov-1998,,,0.466
Dec-1998,,,0.391
Jan-1999,,,0.417
Feb-1999,,,0.391
Mar-1999,,,0.601
Apr-1999,,,0.588
May-1999,,,0.541
Jun-1999,,,0.675
Jul-1999,,,0.693
Aug-1999,,,0.713
Sep-1999,,,0.68
Oct-1999,,,0.708
Nov-1999,,,0.803
Dec-1999,,,0.762
Jan-2000,,,0.852
Feb-2000,,,0.887
Mar-2000,,,0.954
Apr-2000,,,0.815
May-2000,,,0.803
Jun-2000,,,0.839
Jul-2000,,,0.895
Aug-2000,,,1.059
Sep-2000,,,1.2
Oct-2000,,,1.169
Nov-2000,,,1.204
Dec-2000,,,1.058
Jan-2001,,,0.898
Feb-2001,,,0.901
Mar-2001,,,0.868
Apr-2001,,,0.879
May-2001,,,0.889
Jun-2001,,,0.906
Jul-2001,,,0.788
Aug-2001,,,0.854
Sep-2001,,,0.893
Oct-2001,,,0.726
Nov-2001,,,0.625
Dec-2001,,,0.565
Jan-2002,,,0.566
Feb-2002,,,0.616
Mar-2002,,,0.739
Apr-2002,,,0.726
May-2002,,,0.705
Jun-2002,,,0.73
Jul-2002,,,0.728
Aug-2002,,,0.811
Sep-2002,,,0.893
Oct-2002,,,0.84
Nov-2002,,,0.801
Dec-2002,,,0.844
Jan-2003,,,0.898
Feb-2003,,,1.073
Mar-2003,,,1.04
Apr-2003,,,0.814
May-2003,,,0.777
Jun-2003,,,0.839
Jul-2003,,,0.914
Aug-2003,,,0.975
Sep-2003,,,0.835
Oct-2003,,,0.897
Nov-2003,,,0.939
