World,Non-OECD,OECD,SaudiArabia,United States,OPEC,Non-OPEC
54389,,,6876,9175.935,26004,28385
54930,,,7194,9395.214,26285,28645
54995,,,7481,9271.935,26298,28697
55049,,,7359,9291.9,26338,28711
56323,,,8316,9262.387,26474,29849
55711,,,7553,9213.933,26721,28990
57420,,,8682,9217.129,26814,30606
56750,,,8423,9168.548,26758,29992
57744,,,8532,9065.3,26831,30913
56614,,,7796,9223.871,26909,29705
53866,,,6267,9160.967,26852,27014
54277,,,6614,9063.226,27044,27233
55474,,,7513,8933.871,26677,28797
55943,,,7796,9142.214,26813,29130
56375,,,8131,8965.387,26712,29663
57110,,,8654,8953.967,26858,30252
57279,,,9014,8910.581,26986,30293
56858,,,8885,8780.233,26853,30005
55765,,,8783,8780.129,26666,29099
54302,,,8275,8698.871,26387,27915
54841,,,8763,8442.933,26624,28217
55013,,,9052,8611.258,27083,27930
55088,,,8812,8568.8,26941,28147
54596,,,8053,8526.516,27295,27301
52420,,,7839,8454.968,26948,25472
51408,,,6754,8591.143,27174,24234
51326,,,6550,8493.452,26809,24517
50946,,,5917,8456.6,26825,24121
51181,,,6989,8378.774,26593,24588
52475,,,6818,8420.8,27162,25313
53856,,,6980,8335.742,27464,26392
55017,,,8208,8248.774,27585,27432
56741,,,8407,8279.633,27707,29034
51389,,,5869,8324.419,27876,23513
53192,,,6947,8277.867,28027,25165
53916,,,7585,8253.548,28341,25575
53133,,,7464,8231.774,28117,25016
54565,,,7969,8231.207,28088,26477
55927,,,8365,8232.194,28177,27750
54905,,,8270,8077,27939,26966
55140,,,8450,8124.516,28301,26839
56950,,,8526,8094.433,28634,28316
57293,,,8971,8127.161,28643,28650
57699,,,8738,8110.613,28817,28882
58596,,,8323,8149.633,28906,29690
60391,,,9236,8063.29,29166,31225
60955,,,9394,8079.6,29126,31829
62462,,,9185,8060.613,29830,32632
56833,,,8609,7854.129,29471,27362
60649,,,9634,8138.929,30004,30645
61144,,,9890,8089.613,30241,30903
60186,,,10198,8144.9,30020,30166
58262,,,8507,8074.742,30130,28132
59158,,,9634,8101.933,30424,28734
58028,,,9839,8104.645,30107,27921
58854,,,8711,8306.774,30730,28124
60089,,,8711,8479.733,30601,29488
59961,,,8711,8573.419,31166,28795
61113,,,8968,8579.267,31396,29717
62350,,,9583,8487,31630,30720
56705,,,7828,8359.677,31332,25373
58208,,,8446,8376.571,31617,26591
58717,,,7725,8720.129,31909,26808
59610,,,8034,8817.533,32209,27401
58596,,,7313,8825.258,32273,26323
59981,,,7519,8832.467,32653,27328
59555,,,7416,8756.194,32351,27204
60357,,,7107,8758.129,32569,27788
62477,,,8343,8800.333,32617,29860
62906,,,9270,8820,33037,29869
63054,,,10249,8741.1,33306,29748
61691,,,10403,8661.548,33384,28307
60148,,,9789,8474.71,33337,26811
60473,,,9789,8525.357,33485,26988
61633,,,9789,8601.129,33182,28451
62870,,,8758,8553.1,33663,29207
62667,,,8758,8601,33399,29268
62919,,,8758,8431.633,33636,29283
63552,,,9789,8363.806,33611,29941
63425,,,9789,8547.774,33883,29542
63183,,,9789,8523.1,33831,29352
63629,,,9789,8621.161,34164,29465
63954,,,9789,8760.6,34561,29393
63490,,,9789,8614.516,34646,28844
62348.011,,,9767,8675.484,34457.011,27891
62715.757,,,9767,8704.517,34451.757,28264
61647.494,,,9767,8698.387,34619.494,27028
60391.36,,,9767,8684.7,34534.36,25857
59778.782,,,9767,8634.968,34596.782,25182
60008.624,,,9767,8553.967,34449.624,25559
59608.899,,,9767,8547.226,34536.899,25072
59446.012,,,9767,8414.226,34608.012,24838
58297.803,,,9767,8619.233,34750.803,23547
55842.496,,,10199,8531.903,34751.496,21091
56668.926,,,10414,8495.067,34592.926,22076
58047.975,,,10281,8605.71,34961.975,23086
57891.773,,,10180,8539.871,35183.773,22708
58156.649,,,10180,8604.071,35234.649,22922
58809.342,,,9976,8613,35626.342,23183
57803.815,,,10180,8556.933,35634.815,22169
56994.195,,,10180,8501.323,35312.195,21682
56310.517,,,10180,8628.633,35292.517,21018
55016.126,,,10282,8499.935,35090.126,19926
54079.566,,,10384,8582.871,34531.566,19548
54190.514,,,9264,8604,35296.514,18894
54556.342,,,9671,8562.903,35227.342,19329
53982.612,,,8653,8585.967,35087.612,18895
54949.157,,,8653,8585.387,35072.157,19877
54696.333,,,8659,8509.452,35231.333,19465
54057.656,,,8353,8702.179,35691.656,18366
52235.578,,,7335,8667.323,35582.578,16653
50937.234,,,6621,8591.267,35390.234,15547
51782.807,,,6010,8683.419,35745.807,16037
53723.825,,,6621,8646.1,36082.825,17641
53304.037,,,6316,8658,35871.037,17433
53226.077,,,6010,8633.645,35977.077,17249
53081.15,,,5603,8700.933,35939.15,17142
54797.282,,,5603,8701.452,36621.282,18176
55385.984,,,5603,8697.267,36865.984,18520
54251.558,,,5195,8597.903,36723.558,17528
52762.757,,,4950,8696.903,36931.757,15831
49812.05,,,3510,8758.464,36444.05,13368
50735.958,,,3910,8700.194,36531.958,14204
50958.936,,,3930,8775.633,36727.936,14231
52658.767,,,4725,8631.452,36706.767,15952
52868.746,,,4620,8667.133,36836.746,16032
