"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","2.809","2.972","3.060","2.801","-5.28%"
"Oct 30, 2022","2.965","2.757","2.991","2.711","6.96%"
"Oct 23, 2022","2.772","3.043","3.170","2.639","-11.94%"
"Oct 16, 2022","3.148","3.018","3.268","2.935","2.64%"
"Oct 09, 2022","3.067","2.868","3.163","2.844","6.16%"
"Oct 02, 2022","2.889","2.810","2.932","2.474","2.52%"
"Sep 25, 2022","2.818","2.716","3.012","2.665","6.86%"
"Sep 18, 2022","2.637","2.384","2.718","2.356","11.50%"
"Sep 11, 2022","2.365","2.362","2.460","2.245","2.16%"
"Sep 04, 2022","2.315","2.131","2.419","2.115","6.78%"
"Aug 28, 2022","2.168","2.176","2.279","2.073","7.38%"
"Aug 21, 2022","2.019","1.783","2.068","1.754","11.92%"
"Aug 14, 2022","1.804","1.540","1.814","1.426","16.84%"
"Aug 07, 2022","1.544","1.475","1.584","1.389","2.46%"
"Jul 31, 2022","1.507","1.365","1.514","1.218","11.14%"
"Jul 24, 2022","1.356","1.625","1.641","1.342","-14.82%"
"Jul 17, 2022","1.592","1.702","1.922","1.534","-6.63%"
"Jul 10, 2022","1.705","1.886","1.893","1.656","-10.87%"
"Jul 03, 2022","1.913","1.832","1.935","1.684","5.63%"
"Jun 26, 2022","1.811","2.019","2.221","1.741","-8.30%"
"Jun 19, 2022","1.975","2.233","2.357","1.910","-11.55%"
"Jun 12, 2022","2.233","2.055","2.496","2.047","7.82%"
"Jun 05, 2022","2.071","1.893","2.074","1.818","12.68%"
"May 29, 2022","1.838","1.588","1.855","1.568","20.76%"
"May 22, 2022","1.522","1.530","1.598","1.454","0.79%"
"May 15, 2022","1.510","1.452","1.621","1.431","2.72%"
"May 08, 2022","1.470","1.641","1.712","1.366","-11.23%"
"May 01, 2022","1.656","1.445","1.675","1.410","15.00%"
"Apr 24, 2022","1.440","1.401","1.449","1.258","-0.41%"
"Apr 17, 2022","1.446","1.372","1.446","1.308","6.87%"
"Apr 10, 2022","1.353","1.267","1.378","1.254","8.59%"
"Apr 03, 2022","1.246","1.044","1.264","0.967","20.97%"
"Mar 27, 2022","1.030","0.943","1.110","0.871","11.47%"
"Mar 20, 2022","0.924","0.800","0.935","0.765","20.16%"
