"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","11.787","11.787","12.215","11.787","-0.62%"
"Oct 30, 2022","11.860","11.860","11.860","11.835","-1.37%"
"Oct 23, 2022","12.025","12.180","12.180","11.995","0.71%"
"Oct 16, 2022","11.940","11.940","11.940","11.940","-0.67%"
"Oct 09, 2022","12.020","11.750","12.020","11.750","2.21%"
"Oct 02, 2022","11.760","11.750","11.760","11.730","-2.00%"
"Sep 25, 2022","12.000","12.165","12.165","12.000","2.21%"
"Sep 18, 2022","11.740","11.740","11.740","11.740","-2.89%"
"Sep 11, 2022","12.090","11.950","12.180","11.950","3.78%"
"Sep 04, 2022","11.650","11.760","11.760","11.650","-2.43%"
"Aug 28, 2022","11.940","11.900","11.940","11.900","-2.77%"
"Aug 21, 2022","12.280","12.215","12.280","12.215","-0.08%"
"Aug 14, 2022","12.290","12.220","12.290","12.220","1.32%"
"Aug 07, 2022","12.130","12.070","12.180","12.070","-2.65%"
"Jul 31, 2022","12.460","12.825","12.825","12.425","-4.45%"
"Jul 24, 2022","13.040","13.240","13.240","13.040","-4.33%"
"Jul 17, 2022","13.630","13.610","13.630","13.610","2.02%"
"Jul 10, 2022","13.360","13.435","13.435","13.290","0.91%"
"Jul 03, 2022","13.240","13.200","13.240","13.200","1.30%"
"Jun 26, 2022","13.070","13.180","13.180","13.020","1.63%"
"Jun 19, 2022","12.860","12.840","12.860","12.840","-0.31%"
"Jun 12, 2022","12.900","13.000","13.000","12.855","0.31%"
"Jun 05, 2022","12.860","12.790","12.860","12.790","1.66%"
"May 29, 2022","12.650","12.675","12.675","12.650","2.76%"
"May 22, 2022","12.310","12.340","12.410","12.310","0.74%"
"May 15, 2022","12.220","12.280","12.280","12.220","-4.23%"
"May 08, 2022","12.760","12.635","12.760","12.635","0.63%"
"May 01, 2022","12.680","12.545","12.735","12.545","3.51%"
"Apr 24, 2022","12.250","12.265","12.265","12.250","-0.41%"
"Apr 17, 2022","12.300","12.220","12.400","12.220","1.32%"
"Apr 10, 2022","12.140","12.060","12.140","12.060","2.40%"
"Apr 03, 2022","11.855","11.665","11.855","11.665","7.58%"
"Mar 27, 2022","11.020","11.635","11.635","11.020","-3.33%"
"Mar 20, 2022","11.400","11.905","11.905","11.400","-6.06%"
"Mar 13, 2022","12.135","12.345","12.345","12.135","0.37%"
"Mar 06, 2022","12.090","12.250","12.250","11.535","5.87%"
"Feb 27, 2022","11.420","11.695","11.695","11.420","0.88%"
"Feb 20, 2022","11.320","11.535","11.565","11.320","0.53%"
"Feb 13, 2022","11.260","11.555","11.555","11.260","0.00%"
"Feb 06, 2022","11.260","11.595","11.595","11.260","0.54%"
"Jan 30, 2022","11.200","11.195","11.515","11.195","0.81%"
"Jan 23, 2022","11.110","11.495","11.495","11.110","-3.68%"
"Jan 16, 2022","11.535","11.535","11.535","11.535","2.40%"
"Jan 09, 2022","11.265","11.310","11.310","11.265","-1.05%"
"Jan 02, 2022","11.385","11.385","11.385","11.385","10.43%"
"Dec 26, 2021","10.310","10.850","10.850","10.310","-3.01%"
"Dec 19, 2021","10.630","10.630","10.630","10.630","-1.67%"
"Dec 12, 2021","10.810","10.665","10.810","10.665","2.76%"
"Dec 05, 2021","10.520","10.520","10.520","10.520","-4.93%"
"Nov 28, 2021","11.065","11.455","11.455","11.065","-5.47%"
"Nov 21, 2021","11.705","11.645","11.705","11.645","-0.26%"
"Nov 14, 2021","11.735","11.735","11.735","11.735","1.34%"
"Nov 07, 2021","11.580","11.580","11.580","11.580","-2.61%"
"Oct 31, 2021","11.890","12.010","12.010","11.890","-2.90%"
"Oct 24, 2021","12.245","12.280","12.280","12.245","0.91%"
"Oct 17, 2021","12.135","12.135","12.135","12.135","9.77%"
"Oct 10, 2021","11.055","10.955","11.055","10.955","-0.41%"
"Oct 03, 2021","11.100","11.100","11.100","11.100","0.77%"
"Sep 26, 2021","11.015","11.165","11.165","11.015","0.23%"
"Sep 19, 2021","10.990","10.900","10.990","10.900","-1.30%"
"Sep 12, 2021","11.135","11.110","11.135","11.110","0.23%"
"Sep 05, 2021","11.110","11.175","11.175","11.110","3.30%"
"Aug 29, 2021","10.755","10.755","10.880","10.755","4.88%"
"Aug 22, 2021","10.255","10.255","10.255","10.255","-3.48%"
"Aug 15, 2021","10.625","10.625","10.625","10.625","5.30%"
"Aug 08, 2021","10.090","9.920","10.090","9.920","5.21%"
"Aug 01, 2021","9.590","9.900","9.930","9.590","5.15%"
"Jul 25, 2021","9.120","9.335","9.600","9.120","-0.92%"
"Jul 18, 2021","9.205","9.205","9.205","9.205","4.25%"
"Jul 11, 2021","8.830","9.215","9.215","8.830","-5.26%"
"Jul 04, 2021","9.320","9.310","9.320","9.310","1.19%"
"Jun 27, 2021","9.210","9.115","9.210","9.110","0.16%"
"Jun 20, 2021","9.195","9.170","9.195","9.170","1.60%"
"Jun 13, 2021","9.050","9.235","9.235","9.050","-1.58%"
"Jun 06, 2021","9.195","9.195","9.195","9.195","2.97%"
"May 30, 2021","8.930","9.025","9.025","8.930","0.68%"
"May 23, 2021","8.870","9.195","9.195","8.870","-6.19%"
"May 16, 2021","9.455","9.480","9.480","9.455","0.21%"
"May 09, 2021","9.435","9.425","9.435","9.425","2.28%"
"May 02, 2021","9.225","9.330","9.330","9.225","1.10%"
"Apr 25, 2021","9.125","9.125","9.125","9.125","0.66%"
"Apr 18, 2021","9.065","9.330","9.330","9.065","-0.60%"
"Apr 11, 2021","9.120","9.540","9.540","9.120","-0.33%"
"Apr 04, 2021","9.150","9.405","9.405","9.150","-2.03%"
"Mar 28, 2021","9.340","9.320","9.400","9.320","1.19%"
"Mar 21, 2021","9.230","9.250","9.250","9.045","6.21%"
"Mar 14, 2021","8.690","8.385","8.690","8.385","4.20%"
"Mar 07, 2021","8.340","8.550","8.655","8.160","1.46%"
"Feb 28, 2021","8.220","8.220","8.220","8.220","0.37%"
"Feb 21, 2021","8.190","8.190","8.190","8.190","5.81%"
"Feb 14, 2021","7.740","7.930","8.060","7.740","0.39%"
"Feb 07, 2021","7.710","7.820","7.820","7.710","2.80%"
"Jan 31, 2021","7.500","7.720","7.720","7.500","-1.06%"
"Jan 24, 2021","7.580","7.755","7.755","7.580","-5.90%"
"Jan 17, 2021","8.055","7.815","8.055","7.815","7.26%"
"Jan 10, 2021","7.510","7.510","7.510","7.510","1.49%"
"Jan 03, 2021","7.400","7.400","7.570","7.400","7.25%"
"Dec 27, 2020","6.900","6.980","6.980","6.900","-2.68%"
"Dec 20, 2020","7.090","7.140","7.170","7.090","-1.94%"
"Dec 13, 2020","7.230","7.390","7.390","7.190","-1.36%"
"Dec 06, 2020","7.330","7.420","7.420","7.270","3.82%"
"Nov 29, 2020","7.060","7.000","7.140","7.000","-6.74%"
"Nov 22, 2020","7.570","7.665","7.665","7.570","-2.82%"
"Nov 15, 2020","7.790","7.665","7.790","7.665","4.28%"
"Nov 08, 2020","7.470","7.585","7.585","7.455","1.77%"
"Nov 01, 2020","7.340","7.435","7.480","7.270","-3.55%"
"Oct 25, 2020","7.610","7.525","7.610","7.525","0.13%"
"Oct 18, 2020","7.600","7.580","7.640","7.580","-1.04%"
"Oct 11, 2020","7.680","7.655","7.690","7.655","-0.13%"
"Oct 04, 2020","7.690","7.710","7.710","7.670","2.81%"
"Sep 27, 2020","7.480","7.380","7.480","7.330","5.06%"
"Sep 20, 2020","7.120","7.150","7.170","7.090","-2.33%"
"Sep 13, 2020","7.290","7.065","7.330","7.065","2.17%"
"Sep 06, 2020","7.135","7.055","7.135","7.005","5.86%"
"Aug 30, 2020","6.740","6.805","6.805","6.710","5.97%"
"Aug 23, 2020","6.360","7.015","7.015","6.360","-8.09%"
"Aug 16, 2020","6.920","6.950","6.950","6.920","-1.70%"
"Aug 09, 2020","7.040","7.000","7.040","6.950","8.06%"
"Aug 02, 2020","6.515","6.425","6.540","6.425","3.41%"
"Jul 26, 2020","6.300","6.330","6.330","6.285","-3.82%"
"Jul 19, 2020","6.550","6.645","6.645","6.550","2.66%"
"Jul 12, 2020","6.380","6.515","6.515","6.320","-0.62%"
"Jul 05, 2020","6.420","6.420","6.420","6.420","-1.23%"
"Jun 28, 2020","6.500","6.625","6.625","6.500","-5.66%"
"Jun 21, 2020","6.890","6.855","6.890","6.855","0.44%"
"Jun 14, 2020","6.860","6.860","6.860","6.850","2.85%"
"Jun 07, 2020","6.670","6.620","6.670","6.610","-2.20%"
"May 31, 2020","6.820","6.805","6.840","6.805","-2.01%"
"May 24, 2020","6.960","7.090","7.090","6.960","-5.95%"
"May 17, 2020","7.400","7.560","7.560","7.400","-7.38%"
"May 10, 2020","7.990","7.995","8.060","7.970","4.31%"
"May 03, 2020","7.660","7.775","7.790","7.660","1.06%"
"Apr 26, 2020","7.580","7.490","7.610","7.490","4.19%"
"Apr 19, 2020","7.275","7.275","7.275","7.275","3.49%"
"Apr 12, 2020","7.030","7.105","7.105","7.020","-7.98%"
"Apr 05, 2020","7.640","7.780","7.780","7.640","-7.06%"
"Mar 29, 2020","8.220","7.915","8.220","7.915","4.58%"
"Mar 22, 2020","7.860","7.865","8.090","7.780","-13.72%"
"Mar 15, 2020","9.110","9.055","9.330","8.950","13.73%"
"Mar 08, 2020","8.010","9.030","9.030","8.010","18.49%"
"Mar 01, 2020","6.760","6.725","6.915","6.725","-0.29%"
"Feb 23, 2020","6.780","6.725","6.780","6.725","3.20%"
"Feb 16, 2020","6.570","6.545","6.600","6.545","1.86%"
"Feb 09, 2020","6.450","6.525","6.525","6.450","-2.42%"
"Feb 02, 2020","6.610","6.565","6.655","6.560","-1.34%"
"Jan 26, 2020","6.700","6.695","6.700","6.670","-0.37%"
