"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","4.152","4.172","4.376","4.152","0.27%"
"Oct 30, 2022","4.141","3.849","4.209","3.841","7.53%"
"Oct 23, 2022","3.851","4.191","4.191","3.792","-8.00%"
"Oct 16, 2022","4.186","4.177","4.325","4.022","0.24%"
"Oct 09, 2022","4.176","4.083","4.186","4.028","3.01%"
"Oct 02, 2022","4.054","3.808","4.170","3.662","6.74%"
"Sep 25, 2022","3.798","3.809","3.927","3.719","0.00%"
"Sep 18, 2022","3.798","3.815","3.880","3.645","-0.42%"
"Sep 11, 2022","3.814","3.642","3.870","3.435","5.48%"
"Sep 04, 2022","3.616","3.629","3.697","3.423","1.06%"
"Aug 28, 2022","3.578","3.592","3.697","3.563","1.25%"
"Aug 21, 2022","3.534","3.441","3.655","3.368","3.24%"
"Aug 14, 2022","3.423","3.264","3.595","3.185","5.71%"
"Aug 07, 2022","3.238","3.275","3.310","3.058","-0.34%"
"Jul 31, 2022","3.249","2.922","3.288","2.903","9.65%"
"Jul 24, 2022","2.963","3.083","3.164","2.887","-3.14%"
"Jul 17, 2022","3.059","3.234","3.366","3.052","-4.73%"
"Jul 10, 2022","3.211","3.303","3.418","3.176","-1.92%"
"Jul 03, 2022","3.274","3.133","3.374","2.965","5.85%"
"Jun 26, 2022","3.093","3.163","3.240","2.973","-1.31%"
"Jun 19, 2022","3.134","3.274","3.465","3.038","-4.19%"
"Jun 12, 2022","3.271","3.299","3.571","3.200","1.05%"
"Jun 05, 2022","3.237","2.907","3.272","2.907","11.20%"
"May 29, 2022","2.911","2.576","2.935","2.576","14.16%"
"May 22, 2022","2.550","2.674","2.690","2.495","-3.56%"
"May 15, 2022","2.644","2.663","2.852","2.628","-0.86%"
"May 08, 2022","2.667","2.738","2.842","2.594","-1.80%"
"May 01, 2022","2.716","2.634","2.785","2.589","3.59%"
"Apr 24, 2022","2.622","2.590","2.652","2.438","-0.68%"
"Apr 17, 2022","2.640","2.438","2.736","2.414","9.23%"
"Apr 10, 2022","2.417","2.451","2.472","2.292","-0.58%"
"Apr 03, 2022","2.431","2.347","2.458","2.301","3.53%"
"Mar 27, 2022","2.348","2.396","2.427","2.271","-0.25%"
"Mar 20, 2022","2.354","1.895","2.357","1.895","24.68%"
"Mar 13, 2022","1.888","1.699","1.933","1.699","13.60%"
"Mar 06, 2022","1.662","1.373","1.665","1.368","20.43%"
"Feb 27, 2022","1.380","1.495","1.646","1.317","-10.51%"
"Feb 20, 2022","1.542","1.497","1.585","1.490","3.07%"
"Feb 13, 2022","1.496","1.483","1.691","1.467","1.63%"
"Feb 06, 2022","1.472","1.354","1.519","1.335","8.39%"
"Jan 30, 2022","1.358","1.271","1.369","1.223","8.47%"
"Jan 23, 2022","1.252","1.274","1.297","1.121","0.16%"
"Jan 16, 2022","1.250","1.171","1.299","1.171","7.39%"
"Jan 09, 2022","1.164","1.087","1.325","1.071","7.48%"
"Jan 02, 2022","1.083","0.987","1.116","0.958","14.00%"
"Dec 26, 2021","0.950","0.985","1.027","0.938","-3.46%"
"Dec 19, 2021","0.984","0.889","1.009","0.878","7.54%"
"Dec 12, 2021","0.915","0.982","1.013","0.883","-6.63%"
"Dec 05, 2021","0.980","1.047","1.177","0.962","-4.76%"
"Nov 28, 2021","1.029","0.959","1.059","0.785","9.58%"
"Nov 21, 2021","0.939","0.973","1.074","0.911","-3.89%"
"Nov 14, 2021","0.977","0.968","1.087","0.930","-1.31%"
"Nov 07, 2021","0.990","0.935","1.025","0.911","6.22%"
"Oct 31, 2021","0.932","1.120","1.120","0.919","-15.20%"
"Oct 24, 2021","1.099","0.877","1.262","0.847","25.74%"
"Oct 17, 2021","0.874","0.769","0.899","0.769","14.10%"
"Oct 10, 2021","0.766","0.692","0.802","0.692","11.01%"
"Oct 03, 2021","0.690","0.504","0.695","0.504","34.24%"
"Sep 26, 2021","0.514","0.506","0.562","0.482","2.19%"
"Sep 19, 2021","0.503","0.450","0.503","0.434","8.64%"
"Sep 12, 2021","0.463","0.416","0.474","0.403","8.69%"
"Sep 05, 2021","0.426","0.399","0.426","0.388","6.23%"
"Aug 29, 2021","0.401","0.439","0.454","0.388","-9.68%"
"Aug 22, 2021","0.444","0.450","0.467","0.441","0.45%"
"Aug 15, 2021","0.442","0.446","0.459","0.423","-0.67%"
"Aug 08, 2021","0.445","0.479","0.503","0.443","-7.68%"
"Aug 01, 2021","0.482","0.442","0.497","0.409","7.35%"
"Jul 25, 2021","0.449","0.455","0.473","0.440","-3.85%"
"Jul 18, 2021","0.467","0.480","0.508","0.456","4.94%"
"Jul 11, 2021","0.445","0.485","0.505","0.436","-10.28%"
"Jul 04, 2021","0.496","0.402","0.512","0.402","9.25%"
"Jun 27, 2021","0.454","0.450","0.471","0.428","1.11%"
"Jun 20, 2021","0.449","0.450","0.469","0.413","-0.22%"
"Jun 13, 2021","0.450","0.320","0.472","0.314","41.07%"
"Jun 06, 2021","0.319","0.324","0.341","0.309","-1.54%"
"May 30, 2021","0.324","0.329","0.345","0.313","-3.57%"
"May 23, 2021","0.336","0.320","0.338","0.305","-0.59%"
"May 16, 2021","0.338","0.330","0.348","0.325","2.42%"
"May 09, 2021","0.330","0.291","0.345","0.275","8.91%"
"May 02, 2021","0.303","0.313","0.328","0.283","0.00%"
"Apr 25, 2021","0.303","0.327","0.343","0.298","-6.77%"
