"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","8.980","9.140","9.140","8.980","-2.81%"
"Oct 30, 2022","9.240","9.440","9.440","9.240","-1.81%"
"Oct 23, 2022","9.410","9.350","9.460","9.320","-1.98%"
"Oct 16, 2022","9.600","9.600","9.600","9.370","-1.54%"
"Oct 09, 2022","9.750","9.940","9.940","9.750","-4.13%"
"Oct 02, 2022","10.170","9.730","10.170","9.730","3.56%"
"Sep 25, 2022","9.820","9.640","9.820","9.490","1.87%"
"Sep 18, 2022","9.640","9.880","9.910","9.640","-2.43%"
"Sep 11, 2022","9.880","10.050","10.060","9.850","-1.69%"
"Sep 04, 2022","10.050","9.440","10.050","9.440","3.18%"
"Aug 28, 2022","9.740","9.850","9.850","9.740","-1.72%"
"Aug 21, 2022","9.910","9.790","9.910","9.790","2.06%"
"Aug 14, 2022","9.710","9.600","9.710","9.600","1.57%"
"Aug 07, 2022","9.560","9.470","9.560","9.360","-0.52%"
"Jul 31, 2022","9.610","9.640","9.800","9.530","-0.31%"
"Jul 24, 2022","9.640","9.090","9.640","9.090","6.05%"
"Jul 17, 2022","9.090","8.720","9.090","8.720","4.36%"
"Jul 10, 2022","8.710","7.970","8.710","7.970","9.28%"
"Jul 03, 2022","7.970","7.890","7.970","7.750","1.01%"
"Jun 26, 2022","7.890","8.150","8.300","7.890","-3.19%"
"Jun 19, 2022","8.150","8.100","8.150","7.840","0.62%"
"Jun 12, 2022","8.100","8.030","8.240","8.030","0.87%"
"Jun 05, 2022","8.030","7.830","8.030","7.800","4.42%"
"May 29, 2022","7.690","7.620","7.690","7.610","0.13%"
"May 22, 2022","7.680","7.720","7.720","7.660","-1.54%"
"May 15, 2022","7.800","8.000","8.000","7.800","-2.50%"
"May 08, 2022","8.000","7.540","8.000","7.540","6.10%"
"May 01, 2022","7.540","7.680","7.680","7.510","-1.82%"
"Apr 24, 2022","7.680","7.830","7.830","7.680","0.00%"
"Apr 17, 2022","7.680","7.010","7.680","6.950","9.56%"
"Apr 10, 2022","7.010","7.250","7.250","7.010","-1.13%"
"Apr 03, 2022","7.090","6.780","7.100","6.770","5.04%"
"Mar 27, 2022","6.750","7.830","7.830","6.750","-14.01%"
"Mar 20, 2022","7.850","7.870","7.870","7.670","-0.25%"
"Mar 13, 2022","7.870","7.870","7.870","7.870","3.83%"
"Mar 06, 2022","7.580","7.110","7.580","7.110","8.13%"
"Feb 27, 2022","7.010","6.920","7.010","6.900","1.30%"
"Feb 20, 2022","6.920","6.950","6.950","6.920","-0.43%"
"Feb 13, 2022","6.950","6.980","7.030","6.940","-0.43%"
"Feb 06, 2022","6.980","6.000","6.980","6.000","16.33%"
"Jan 30, 2022","6.000","5.880","6.000","5.850","2.04%"
"Jan 23, 2022","5.880","5.650","5.880","5.640","0.17%"
"Jan 16, 2022","5.870","5.450","6.080","5.450","7.71%"
"Jan 09, 2022","5.450","5.450","5.450","5.450","5.42%"
"Jan 02, 2022","5.170","5.170","5.170","5.170","6.38%"
"Dec 26, 2021","4.860","5.100","5.240","4.730","-4.71%"
"Dec 19, 2021","5.100","5.490","5.570","5.100","-7.10%"
"Dec 12, 2021","5.490","5.150","5.490","5.150","7.86%"
"Dec 05, 2021","5.090","5.090","5.090","5.090","0.59%"
"Nov 28, 2021","5.060","5.060","5.060","5.060","-5.95%"
"Nov 21, 2021","5.380","5.420","5.450","5.280","-0.74%"
"Nov 14, 2021","5.420","4.990","5.420","4.990","8.62%"
"Nov 07, 2021","4.990","5.020","5.080","4.980","-0.80%"
"Oct 31, 2021","5.030","4.850","5.030","4.850","3.71%"
"Oct 24, 2021","4.850","4.870","4.900","4.820","-1.22%"
"Oct 17, 2021","4.910","4.770","4.910","4.770","3.15%"
"Oct 10, 2021","4.760","4.550","4.760","4.550","6.25%"
"Oct 03, 2021","4.480","4.190","4.480","4.120","6.92%"
"Sep 26, 2021","4.190","3.830","4.190","3.830","9.40%"
"Sep 19, 2021","3.830","3.710","3.830","3.660","3.51%"
"Sep 12, 2021","3.700","3.720","3.720","3.680","-1.33%"
"Sep 05, 2021","3.750","3.360","3.770","3.360","11.61%"
"Aug 29, 2021","3.360","2.670","3.360","2.670","25.84%"
"Aug 22, 2021","2.670","2.720","2.720","2.600","0.00%"
"Aug 15, 2021","2.670","2.510","2.670","2.510","6.37%"
"Aug 08, 2021","2.510","2.230","2.510","2.230","12.05%"
"Aug 01, 2021","2.240","2.130","2.240","2.130","5.66%"
"Jul 25, 2021","2.120","2.110","2.150","2.110","0.47%"
"Jul 18, 2021","2.110","2.200","2.200","2.100","-4.52%"
"Jul 11, 2021","2.210","2.280","2.450","2.210","-5.15%"
"Jul 04, 2021","2.330","2.210","2.330","2.210","9.39%"
"Jun 27, 2021","2.130","1.940","2.130","1.940","17.68%"
"Jun 20, 2021","1.810","1.500","1.810","1.500","20.67%"
"Jun 13, 2021","1.500","1.340","1.500","1.340","15.38%"
"Jun 06, 2021","1.300","1.250","1.300","1.220","4.00%"
"May 30, 2021","1.250","1.190","1.250","1.170","5.04%"
"May 23, 2021","1.190","1.230","1.280","1.190","-3.25%"
"May 16, 2021","1.230","1.220","1.230","1.220","11.82%"
"May 09, 2021","1.100","1.040","1.100","1.040","6.80%"
"May 02, 2021","1.030","1.130","1.130","1.030","-7.21%"
"Apr 25, 2021","1.110","0.850","1.130","0.850","30.59%"
