"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","13.906","14.000","14.120","13.857","-2.41%"
"Oct 30, 2022","14.250","13.800","14.640","13.660","3.26%"
"Oct 23, 2022","13.800","15.108","15.191","13.460","-7.78%"
"Oct 16, 2022","14.965","14.000","15.500","14.000","3.92%"
"Oct 09, 2022","14.400","13.320","14.400","13.300","9.34%"
"Oct 02, 2022","13.170","12.789","13.273","12.570","2.98%"
"Sep 25, 2022","12.789","12.722","12.853","12.650","1.93%"
"Sep 18, 2022","12.547","12.350","12.547","12.233","0.38%"
"Sep 11, 2022","12.500","12.473","12.689","12.450","1.63%"
"Sep 04, 2022","12.300","12.278","12.498","12.230","1.97%"
"Aug 28, 2022","12.062","11.930","12.250","11.930","1.11%"
"Aug 21, 2022","11.930","12.189","12.250","11.879","-0.17%"
"Aug 14, 2022","11.950","11.800","12.057","11.677","1.27%"
"Aug 07, 2022","11.800","12.098","12.300","11.400","-2.50%"
"Jul 31, 2022","12.102","12.249","12.249","11.355","-1.20%"
"Jul 24, 2022","12.249","12.650","12.945","12.249","-4.30%"
"Jul 17, 2022","12.800","13.050","13.098","12.701","-3.76%"
"Jul 10, 2022","13.300","11.695","13.470","11.695","13.72%"
"Jul 03, 2022","11.695","11.319","11.715","11.140","3.32%"
"Jun 26, 2022","11.319","11.690","11.710","11.319","-3.17%"
"Jun 19, 2022","11.690","11.300","12.000","11.300","3.45%"
"Jun 12, 2022","11.300","11.267","11.729","11.267","0.29%"
"Jun 05, 2022","11.267","10.774","11.400","10.774","6.80%"
"May 29, 2022","10.550","11.100","11.100","10.350","-4.95%"
"May 22, 2022","11.100","11.230","11.469","10.800","-1.95%"
"May 15, 2022","11.321","11.381","11.869","11.304","-0.53%"
"May 08, 2022","11.381","10.756","11.400","10.756","5.81%"
"May 01, 2022","10.756","10.320","10.875","10.320","4.22%"
"Apr 24, 2022","10.320","10.030","10.370","9.975","3.93%"
"Apr 17, 2022","9.930","9.783","9.950","9.620","3.87%"
"Apr 10, 2022","9.560","9.780","9.800","9.500","-0.42%"
"Apr 03, 2022","9.600","9.567","9.640","9.150","0.34%"
"Mar 27, 2022","9.567","10.400","10.400","9.520","-6.30%"
"Mar 20, 2022","10.210","9.670","10.230","9.180","5.58%"
"Mar 13, 2022","9.670","9.705","9.800","9.618","-0.36%"
"Mar 06, 2022","9.705","9.440","9.825","9.440","2.81%"
"Feb 27, 2022","9.440","9.556","9.556","9.240","0.32%"
"Feb 20, 2022","9.410","9.000","9.510","9.000","4.56%"
"Feb 13, 2022","9.000","9.041","9.087","8.941","-0.45%"
"Feb 06, 2022","9.041","8.640","9.041","8.640","5.62%"
"Jan 30, 2022","8.560","8.900","9.001","8.560","-3.82%"
"Jan 23, 2022","8.900","8.771","9.000","8.771","1.47%"
"Jan 16, 2022","8.771","8.850","9.148","8.771","0.01%"
"Jan 09, 2022","8.770","8.720","8.946","8.690","0.57%"
"Jan 02, 2022","8.720","8.135","8.740","8.135","7.19%"
"Dec 26, 2021","8.135","8.100","8.135","8.055","0.43%"
"Dec 19, 2021","8.100","7.856","8.100","7.856","3.11%"
"Dec 12, 2021","7.856","7.846","8.176","7.846","0.13%"
"Dec 05, 2021","7.846","8.050","8.080","7.846","-2.53%"
"Nov 28, 2021","8.050","8.335","8.364","8.000","-3.42%"
"Nov 21, 2021","8.335","7.945","8.479","7.945","4.91%"
"Nov 14, 2021","7.945","7.939","8.109","7.834","0.08%"
"Nov 07, 2021","7.939","7.750","7.939","7.730","1.39%"
"Oct 31, 2021","7.830","7.772","7.877","7.600","0.75%"
"Oct 24, 2021","7.772","7.630","7.900","7.630","0.54%"
"Oct 17, 2021","7.730","7.543","7.730","7.520","2.48%"
"Oct 10, 2021","7.543","7.420","7.550","7.400","1.79%"
"Oct 03, 2021","7.410","7.353","7.464","7.353","0.78%"
"Sep 26, 2021","7.353","7.505","7.533","7.350","-1.83%"
"Sep 19, 2021","7.490","7.198","7.550","7.198","4.06%"
"Sep 12, 2021","7.198","7.059","7.200","7.041","2.39%"
"Sep 05, 2021","7.030","6.939","7.093","6.920","1.31%"
"Aug 29, 2021","6.939","6.954","6.980","6.890","-0.22%"
"Aug 22, 2021","6.954","7.000","7.030","6.954","-1.15%"
"Aug 15, 2021","7.035","6.970","7.080","6.939","0.93%"
"Aug 08, 2021","6.970","7.013","7.072","6.950","-0.61%"
"Aug 01, 2021","7.013","6.916","7.013","6.870","1.49%"
"Jul 25, 2021","6.910","6.903","7.040","6.900","0.10%"
"Jul 18, 2021","6.903","6.930","6.930","6.850","-0.25%"
"Jul 11, 2021","6.920","6.939","6.994","6.893","0.01%"
"Jul 04, 2021","6.919","7.030","7.128","6.871","-1.58%"
"Jun 27, 2021","7.030","7.050","7.150","6.970","-1.53%"
"Jun 20, 2021","7.139","7.050","7.200","6.939","1.26%"
"Jun 13, 2021","7.050","7.020","7.050","6.924","0.46%"
"Jun 06, 2021","7.018","6.823","7.030","6.756","1.71%"
"May 30, 2021","6.900","7.190","7.190","6.900","-4.03%"
"May 23, 2021","7.190","7.350","7.358","7.171","-1.51%"
"May 16, 2021","7.300","7.231","7.315","7.150","0.95%"
"May 09, 2021","7.231","6.754","7.594","6.754","8.39%"
"May 02, 2021","6.671","6.340","7.200","6.340","5.22%"
"Apr 25, 2021","6.340","6.120","6.445","6.120","4.34%"
"Apr 18, 2021","6.076","6.050","6.097","5.990","0.43%"
"Apr 11, 2021","6.050","6.100","6.180","5.960","-0.82%"
"Apr 04, 2021","6.100","6.350","6.376","5.970","-4.24%"
"Mar 28, 2021","6.370","6.310","6.548","6.310","0.95%"
"Mar 21, 2021","6.310","6.125","6.400","6.103","3.02%"
"Mar 14, 2021","6.125","5.770","6.125","5.750","6.15%"
"Mar 07, 2021","5.770","5.870","5.870","5.683","1.58%"
"Feb 28, 2021","5.680","5.350","5.850","5.286","6.17%"
"Feb 21, 2021","5.350","5.040","5.441","5.026","6.79%"
"Feb 14, 2021","5.010","4.874","5.060","4.874","2.79%"
"Feb 07, 2021","4.874","4.900","4.930","4.860","-0.53%"
"Jan 31, 2021","4.900","4.850","4.905","4.820","1.24%"
"Jan 24, 2021","4.840","4.835","4.970","4.835","0.10%"
"Jan 17, 2021","4.835","4.862","4.879","4.786","-0.51%"
