"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","5.927","6.030","6.114","5.681","-4.53%"
"Oct 30, 2022","6.208","6.203","6.536","6.044","-0.67%"
"Oct 23, 2022","6.250","6.356","6.528","6.185","-2.07%"
"Oct 16, 2022","6.382","6.233","6.520","6.111","1.97%"
"Oct 09, 2022","6.259","5.960","6.411","5.842","0.84%"
"Oct 02, 2022","6.207","6.255","6.349","5.940","-0.02%"
"Sep 25, 2022","6.208","6.100","6.314","6.023","2.88%"
"Sep 18, 2022","6.034","5.902","6.092","5.902","2.79%"
"Sep 11, 2022","5.870","6.150","6.316","5.742","-5.23%"
"Sep 04, 2022","6.194","6.158","6.315","6.057","0.90%"
"Aug 28, 2022","6.139","6.117","6.444","6.086","-3.78%"
"Aug 21, 2022","6.380","5.965","6.380","5.854","9.32%"
"Aug 14, 2022","5.836","5.854","6.085","5.774","-2.23%"
"Aug 07, 2022","5.969","6.161","6.350","5.581","-1.78%"
"Jul 31, 2022","6.077","6.153","6.528","5.901","-2.08%"
"Jul 24, 2022","6.206","6.372","6.703","6.194","-3.95%"
"Jul 17, 2022","6.461","6.521","6.750","6.455","-2.87%"
"Jul 10, 2022","6.652","6.485","6.698","6.227","5.57%"
"Jul 03, 2022","6.301","6.211","6.507","6.060","1.45%"
"Jun 26, 2022","6.211","6.265","6.642","6.188","-0.85%"
"Jun 19, 2022","6.264","6.576","6.868","6.229","-5.97%"
"Jun 12, 2022","6.662","6.088","6.800","6.088","8.13%"
"Jun 05, 2022","6.161","5.532","6.161","5.526","11.59%"
"May 29, 2022","5.521","5.497","5.808","5.452","0.64%"
"May 22, 2022","5.486","5.559","5.809","5.412","0.15%"
"May 15, 2022","5.478","5.772","6.010","5.473","-4.99%"
"May 08, 2022","5.766","5.693","6.080","5.607","1.19%"
"May 01, 2022","5.698","5.211","6.052","5.179","9.12%"
"Apr 24, 2022","5.222","5.207","5.445","5.088","-0.02%"
"Apr 17, 2022","5.223","5.009","5.589","5.009","4.56%"
"Apr 10, 2022","4.995","5.258","5.594","4.990","-3.42%"
"Apr 03, 2022","5.172","4.746","5.283","4.731","6.84%"
"Mar 27, 2022","4.841","4.757","4.985","4.580","1.64%"
"Mar 20, 2022","4.763","4.540","4.993","4.208","6.89%"
"Mar 13, 2022","4.456","4.824","5.083","4.435","-7.63%"
"Mar 06, 2022","4.824","4.559","4.963","4.559","10.11%"
"Feb 27, 2022","4.381","4.245","4.488","4.112","3.37%"
"Feb 20, 2022","4.238","3.971","4.238","3.838","10.94%"
"Feb 13, 2022","3.820","3.813","4.058","3.781","0.66%"
"Feb 06, 2022","3.795","3.762","3.970","3.704","1.36%"
"Jan 30, 2022","3.744","4.235","4.241","3.693","-11.26%"
"Jan 23, 2022","4.219","4.049","4.276","4.004","5.19%"
"Jan 16, 2022","4.011","3.953","4.123","3.946","2.43%"
"Jan 09, 2022","3.916","3.908","4.004","3.908","0.33%"
"Jan 02, 2022","3.903","3.749","3.903","3.694","4.39%"
"Dec 26, 2021","3.739","3.665","3.739","3.653","1.30%"
"Dec 19, 2021","3.691","3.500","3.691","3.489","5.94%"
"Dec 12, 2021","3.484","2.804","3.484","2.798","22.63%"
"Dec 05, 2021","2.841","2.860","3.023","2.778","-1.15%"
"Nov 28, 2021","2.874","2.762","2.887","2.748","-3.36%"
"Nov 21, 2021","2.974","3.190","3.244","2.918","-6.48%"
"Nov 14, 2021","3.180","3.296","3.374","3.180","-3.28%"
"Nov 07, 2021","3.288","3.258","3.292","3.247","1.20%"
"Oct 31, 2021","3.249","2.868","3.316","2.813","13.84%"
"Oct 24, 2021","2.854","2.645","2.859","2.645","6.10%"
"Oct 17, 2021","2.690","2.395","2.712","2.353","12.41%"
"Oct 10, 2021","2.393","2.095","2.403","2.053","15.49%"
"Oct 03, 2021","2.072","2.017","2.116","2.012","6.86%"
"Sep 26, 2021","1.939","1.939","1.947","1.885","2.27%"
"Sep 19, 2021","1.896","1.872","1.908","1.866","-0.52%"
"Sep 12, 2021","1.906","1.865","1.906","1.823","4.55%"
"Sep 05, 2021","1.823","1.679","1.823","1.661","8.64%"
"Aug 29, 2021","1.678","1.712","1.712","1.642","-0.18%"
"Aug 22, 2021","1.681","1.662","1.715","1.662","1.20%"
"Aug 15, 2021","1.661","1.680","1.688","1.655","-1.07%"
"Aug 08, 2021","1.679","1.461","1.693","1.434","14.22%"
"Aug 01, 2021","1.470","1.429","1.474","1.407","2.94%"
"Jul 25, 2021","1.428","1.402","1.437","1.376","2.59%"
"Jul 18, 2021","1.392","1.413","1.440","1.382","-1.35%"
"Jul 11, 2021","1.411","0.458","1.421","0.432","237.56%"
"Jul 04, 2021","0.418","0.481","0.481","0.418","-14.69%"
"Jun 27, 2021","0.490","0.493","0.524","0.410","-3.92%"
"Jun 20, 2021","0.510","0.376","0.527","0.327","44.07%"
"Jun 13, 2021","0.354","0.347","0.394","0.228","8.59%"
"Jun 06, 2021","0.326","0.404","0.404","0.274","-26.41%"
"May 30, 2021","0.443","0.525","0.548","0.443","-21.45%"
"May 23, 2021","0.564","0.599","0.609","0.467","-1.05%"
"May 16, 2021","0.570","0.598","0.637","0.555","-5.94%"
"May 09, 2021","0.606","0.525","0.711","0.518","15.21%"
"May 02, 2021","0.526","0.631","0.638","0.498","-16.77%"
"Apr 25, 2021","0.632","0.602","0.664","0.583","-3.07%"
"Apr 18, 2021","0.652","0.416","0.703","0.416","3.49%"
