"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","19.607","18.990","19.607","18.990","3.25%"
"Oct 30, 2022","18.990","18.710","19.465","18.417","3.77%"
"Oct 23, 2022","18.300","18.611","18.710","18.110","0.49%"
"Oct 16, 2022","18.210","18.785","18.785","18.130","-0.87%"
"Oct 09, 2022","18.370","18.752","18.862","18.370","0.16%"
"Oct 02, 2022","18.340","18.718","18.774","18.260","-2.02%"
"Sep 25, 2022","18.718","18.530","18.742","18.300","1.56%"
"Sep 18, 2022","18.430","18.586","18.848","18.350","-0.84%"
"Sep 11, 2022","18.586","18.705","18.705","18.586","-0.64%"
"Sep 04, 2022","18.705","18.596","18.705","18.520","0.59%"
"Aug 28, 2022","18.596","18.552","18.596","18.476","2.97%"
"Aug 21, 2022","18.060","18.497","18.552","18.020","0.28%"
"Aug 14, 2022","18.010","18.169","18.497","17.910","1.69%"
"Aug 07, 2022","17.710","18.093","18.169","17.690","0.40%"
"Jul 31, 2022","17.640","17.994","18.093","17.510","-1.97%"
"Jul 24, 2022","17.994","17.430","17.994","17.430","3.24%"
"Jul 17, 2022","17.430","16.975","17.430","16.942","2.68%"
"Jul 10, 2022","16.975","16.973","16.975","16.973","2.19%"
"Jul 03, 2022","16.610","17.017","17.017","16.550","-0.24%"
"Jun 26, 2022","16.650","17.362","17.362","16.580","-1.89%"
"Jun 19, 2022","16.970","17.405","17.449","16.970","-0.24%"
"Jun 12, 2022","17.010","17.434","17.456","16.970","-0.18%"
"Jun 05, 2022","17.040","17.716","17.716","16.990","-1.50%"
"May 29, 2022","17.300","16.872","17.716","16.872","4.72%"
"May 22, 2022","16.520","17.219","17.219","16.520","-1.90%"
"May 15, 2022","16.840","16.302","17.221","16.302","5.32%"
"May 08, 2022","15.990","15.527","16.302","15.527","2.98%"
"May 01, 2022","15.527","15.528","15.528","15.527","1.68%"
"Apr 24, 2022","15.270","15.561","15.561","15.180","-0.20%"
"Apr 17, 2022","15.300","15.540","15.561","15.140","0.13%"
"Apr 10, 2022","15.280","15.691","15.755","15.280","-0.91%"
"Apr 03, 2022","15.420","15.520","15.691","15.420","-0.64%"
"Mar 27, 2022","15.520","16.962","16.962","15.520","-6.51%"
"Mar 20, 2022","16.600","15.894","16.962","15.894","6.34%"
"Mar 13, 2022","15.610","15.722","16.153","15.610","1.69%"
"Mar 06, 2022","15.350","15.239","15.722","15.210","3.08%"
"Feb 27, 2022","14.891","15.240","15.240","14.891","0.00%"
"Feb 20, 2022","14.891","14.903","15.240","14.891","-0.08%"
"Feb 13, 2022","14.903","15.252","15.253","14.903","0.01%"
"Feb 06, 2022","14.902","15.242","15.253","14.902","0.06%"
"Jan 30, 2022","14.893","14.893","15.243","14.893","0.00%"
"Jan 23, 2022","14.893","14.900","15.243","14.893","-0.05%"
"Jan 16, 2022","14.900","15.249","15.250","14.900","0.01%"
"Jan 09, 2022","14.899","15.243","15.249","14.899","0.04%"
"Jan 02, 2022","14.893","14.893","14.893","14.893","0.00%"
"Dec 26, 2021","14.893","15.255","15.255","14.893","-0.07%"
"Dec 19, 2021","14.904","15.254","15.256","14.904","0.01%"
"Dec 12, 2021","14.903","15.263","15.263","14.903","-0.05%"
"Dec 05, 2021","14.911","15.267","15.267","14.911","-0.03%"
"Nov 28, 2021","14.915","15.247","15.268","14.915","0.13%"
"Nov 21, 2021","14.896","14.896","14.896","14.896","0.00%"
"Nov 14, 2021","14.896","15.245","15.247","14.896","0.01%"
"Nov 07, 2021","14.894","15.246","15.246","14.894","0.00%"
"Oct 31, 2021","14.894","15.266","15.266","14.894","-0.13%"
"Oct 24, 2021","14.913","15.266","15.266","14.913","0.00%"
"Oct 17, 2021","14.913","15.241","15.266","14.913","0.16%"
"Oct 10, 2021","14.889","15.227","15.241","14.889","0.09%"
