"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","7.434","7.484","7.484","7.381","-0.47%"
"Oct 30, 2022","7.469","7.432","7.497","7.396","0.71%"
"Oct 23, 2022","7.416","7.505","7.505","7.372","-1.26%"
"Oct 16, 2022","7.511","7.461","7.541","7.368","0.55%"
"Oct 09, 2022","7.470","7.498","7.532","7.372","0.13%"
"Oct 02, 2022","7.460","7.403","7.518","7.361","0.84%"
"Sep 25, 2022","7.398","7.413","7.423","7.283","0.07%"
"Sep 18, 2022","7.393","7.294","7.396","7.232","1.75%"
"Sep 11, 2022","7.266","7.182","7.291","7.106","1.38%"
"Sep 04, 2022","7.167","7.232","7.232","7.122","-0.90%"
"Aug 28, 2022","7.232","7.256","7.280","7.172","0.21%"
"Aug 21, 2022","7.217","7.295","7.320","7.203","-0.65%"
"Aug 14, 2022","7.264","7.251","7.295","7.164","-0.34%"
"Aug 07, 2022","7.289","7.365","7.366","7.241","-0.15%"
"Jul 31, 2022","7.300","7.357","7.357","7.110","-0.27%"
"Jul 24, 2022","7.320","7.399","7.414","7.255","-1.27%"
"Jul 17, 2022","7.414","7.429","7.471","7.400","-0.32%"
"Jul 10, 2022","7.438","7.453","7.475","7.333","0.31%"
"Jul 03, 2022","7.415","7.398","7.420","7.281","-0.12%"
"Jun 26, 2022","7.424","7.481","7.481","7.385","-0.27%"
"Jun 19, 2022","7.444","7.503","7.503","7.365","-1.35%"
"Jun 12, 2022","7.546","7.594","7.617","7.544","0.36%"
"Jun 05, 2022","7.519","7.500","7.562","7.438","0.84%"
"May 29, 2022","7.456","7.376","7.484","7.364","1.44%"
"May 22, 2022","7.350","7.420","7.420","7.272","-0.12%"
"May 15, 2022","7.359","7.340","7.389","7.319","0.56%"
"May 08, 2022","7.318","7.491","7.491","7.192","-1.79%"
"May 01, 2022","7.451","7.138","7.470","7.116","4.37%"
"Apr 24, 2022","7.139","7.219","7.219","7.038","-0.39%"
"Apr 17, 2022","7.167","7.248","7.263","7.101","-0.67%"
"Apr 10, 2022","7.215","7.187","7.285","7.132","1.35%"
"Apr 03, 2022","7.119","6.951","7.121","6.891","4.03%"
"Mar 27, 2022","6.843","6.863","6.889","6.773","0.47%"
"Mar 20, 2022","6.811","6.821","6.849","6.781","0.49%"
"Mar 13, 2022","6.778","6.892","6.892","6.774","-1.12%"
"Mar 06, 2022","6.855","6.856","6.919","6.789","0.62%"
"Feb 27, 2022","6.813","6.777","6.856","6.749","0.95%"
"Feb 20, 2022","6.749","6.681","6.792","6.667","1.29%"
"Feb 13, 2022","6.663","6.725","6.726","6.615","-0.52%"
"Feb 06, 2022","6.698","6.861","6.861","6.688","-2.63%"
"Jan 30, 2022","6.879","6.783","6.955","6.650","1.64%"
"Jan 23, 2022","6.768","6.630","6.802","6.627","2.24%"
"Jan 16, 2022","6.620","6.617","6.680","6.588","0.58%"
"Jan 09, 2022","6.582","6.558","6.605","6.551","0.61%"
"Jan 02, 2022","6.542","6.463","6.547","6.455","1.36%"
"Dec 26, 2021","6.454","6.469","6.497","6.447","-0.12%"
"Dec 19, 2021","6.462","6.401","6.486","6.401","0.80%"
"Dec 12, 2021","6.411","6.370","6.415","6.353","0.64%"
"Dec 05, 2021","6.370","6.364","6.402","6.343","0.02%"
"Nov 28, 2021","6.369","6.375","6.375","6.307","0.62%"
