"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","4.279","4.457","4.541","4.265","-3.97%"
"Oct 30, 2022","4.456","4.199","4.500","4.131","7.30%"
"Oct 23, 2022","4.153","4.637","4.756","3.985","-13.01%"
"Oct 16, 2022","4.774","4.728","4.899","4.599","-0.60%"
"Oct 09, 2022","4.803","4.768","4.882","4.554","2.19%"
"Oct 02, 2022","4.700","4.583","4.734","4.117","4.26%"
"Sep 25, 2022","4.508","4.488","4.927","4.413","3.35%"
"Sep 18, 2022","4.362","4.004","4.367","3.997","7.89%"
"Sep 11, 2022","4.043","4.068","4.105","3.852","0.72%"
"Sep 04, 2022","4.014","3.852","4.081","3.811","4.61%"
"Aug 28, 2022","3.837","3.847","4.014","3.716","7.99%"
"Aug 21, 2022","3.553","3.456","3.763","3.443","1.78%"
"Aug 14, 2022","3.491","3.042","3.533","2.955","13.64%"
"Aug 07, 2022","3.072","3.015","3.112","2.903","1.52%"
"Jul 31, 2022","3.026","3.142","3.143","2.886","-4.00%"
"Jul 24, 2022","3.152","3.420","3.484","3.122","-7.84%"
"Jul 17, 2022","3.420","3.440","3.752","3.269","0.38%"
"Jul 10, 2022","3.407","3.349","3.502","3.165","1.34%"
"Jul 03, 2022","3.362","3.267","3.423","3.142","4.90%"
"Jun 26, 2022","3.205","3.598","3.707","3.117","-8.03%"
"Jun 19, 2022","3.485","3.703","3.812","3.442","-5.17%"
"Jun 12, 2022","3.675","3.930","4.279","3.609","-4.42%"
"Jun 05, 2022","3.845","3.307","3.851","3.300","13.02%"
"May 29, 2022","3.402","2.961","3.414","2.961","17.31%"
"May 22, 2022","2.900","2.975","3.075","2.830","-2.68%"
"May 15, 2022","2.980","2.844","3.010","2.833","4.56%"
"May 08, 2022","2.850","3.203","3.232","2.713","-9.52%"
"May 01, 2022","3.150","2.803","3.157","2.775","13.31%"
"Apr 24, 2022","2.780","2.620","2.791","2.503","4.32%"
"Apr 17, 2022","2.665","2.467","2.676","2.464","6.90%"
"Apr 10, 2022","2.493","2.419","2.537","2.351","5.46%"
"Apr 03, 2022","2.364","2.117","2.421","2.029","12.09%"
"Mar 27, 2022","2.109","2.106","2.262","2.020","1.69%"
"Mar 20, 2022","2.074","1.924","2.088","1.918","10.08%"
"Mar 13, 2022","1.884","1.887","1.972","1.854","0.91%"
