"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","0.246","0.249","0.252","0.242","-1.60%"
"Oct 30, 2022","0.250","0.246","0.251","0.240","2.04%"
"Oct 23, 2022","0.245","0.251","0.261","0.235","-3.92%"
"Oct 16, 2022","0.255","0.250","0.256","0.250","2.00%"
"Oct 09, 2022","0.250","0.251","0.251","0.250","0.00%"
"Oct 02, 2022","0.250","0.248","0.250","0.228","2.04%"
"Sep 25, 2022","0.245","0.245","0.251","0.242","4.26%"
"Sep 18, 2022","0.235","0.256","0.257","0.225","-7.84%"
"Sep 11, 2022","0.255","0.248","0.256","0.245","2.00%"
"Sep 04, 2022","0.250","0.238","0.251","0.230","4.17%"
"Aug 28, 2022","0.240","0.229","0.244","0.220","9.09%"
"Aug 21, 2022","0.220","0.212","0.235","0.209","10.55%"
"Aug 14, 2022","0.199","0.191","0.200","0.169","5.29%"
"Aug 07, 2022","0.189","0.180","0.205","0.164","14.55%"
"Jul 31, 2022","0.165","0.187","0.201","0.164","-5.71%"
"Jul 24, 2022","0.175","0.197","0.214","0.174","-20.09%"
"Jul 17, 2022","0.219","0.236","0.245","0.215","-6.41%"
"Jul 10, 2022","0.234","0.249","0.250","0.228","-4.10%"
"Jul 03, 2022","0.244","0.209","0.250","0.205","10.41%"
"Jun 26, 2022","0.221","0.230","0.237","0.220","-1.78%"
"Jun 19, 2022","0.225","0.218","0.243","0.219","0.00%"
"Jun 12, 2022","0.225","0.249","0.267","0.217","-10.00%"
"Jun 05, 2022","0.250","0.239","0.250","0.239","6.38%"
"May 29, 2022","0.235","0.226","0.242","0.224","2.62%"
"May 22, 2022","0.229","0.238","0.239","0.206","-4.18%"
"May 15, 2022","0.239","0.245","0.251","0.235","-0.42%"
"May 08, 2022","0.240","0.245","0.250","0.239","0.00%"
"May 01, 2022","0.240","0.228","0.242","0.220","10.60%"
"Apr 24, 2022","0.217","0.249","0.250","0.214","-11.43%"
"Apr 17, 2022","0.245","0.245","0.251","0.239","2.51%"
"Apr 10, 2022","0.239","0.235","0.241","0.230","6.22%"
"Apr 03, 2022","0.225","0.221","0.239","0.197","4.65%"
"Mar 27, 2022","0.215","0.245","0.250","0.181","-10.04%"
"Mar 20, 2022","0.239","0.218","0.240","0.215","16.59%"
"Mar 13, 2022","0.205","0.194","0.214","0.189","10.81%"
"Mar 06, 2022","0.185","0.142","0.200","0.134","19.35%"
"Feb 27, 2022","0.155","0.202","0.203","0.134","-25.84%"
"Feb 20, 2022","0.209","0.201","0.210","0.185","-4.13%"
"Feb 13, 2022","0.218","0.214","0.225","0.200","-2.68%"
"Feb 06, 2022","0.224","0.208","0.226","0.197","12.56%"
"Jan 30, 2022","0.199","0.165","0.202","0.164","21.34%"
"Jan 23, 2022","0.164","0.129","0.164","0.128","22.39%"
"Jan 16, 2022","0.134","0.146","0.150","0.124","-10.67%"
"Jan 09, 2022","0.150","0.138","0.159","0.124","20.97%"
"Jan 02, 2022","0.124","0.083","0.132","0.079","77.14%"
"Dec 26, 2021","0.070","0.063","0.074","0.054","16.67%"
"Dec 19, 2021","0.060","0.044","0.064","0.039","36.36%"
"Dec 12, 2021","0.044","0.048","0.050","0.039","-16.98%"
"Dec 05, 2021","0.053","0.044","0.060","0.039","8.16%"
"Nov 28, 2021","0.049","0.073","0.076","0.049","-33.78%"
"Nov 21, 2021","0.074","0.073","0.089","0.069","-1.33%"
"Nov 14, 2021","0.075","0.076","0.091","0.064","1.35%"
"Nov 07, 2021","0.074","0.057","0.075","0.050","23.33%"
"Oct 31, 2021","0.060","0.097","0.110","0.059","-36.17%"
"Oct 24, 2021","0.094","0.095","0.109","0.083","5.62%"
"Oct 17, 2021","0.089","0.088","0.099","0.084","12.66%"
"Oct 10, 2021","0.079","0.086","0.094","0.074","-1.25%"
"Oct 03, 2021","0.080","0.048","0.085","0.040","60.00%"
"Sep 26, 2021","0.050","0.057","0.078","0.044","0.00%"
"Sep 19, 2021","0.050","0.041","0.054","0.034","11.11%"
"Sep 12, 2021","0.045","0.047","0.049","0.032","12.50%"
"Sep 05, 2021","0.040","0.042","0.045","0.034","14.29%"
"Aug 29, 2021","0.035","0.020","0.040","0.015","40.00%"
"Aug 22, 2021","0.025","0.013","0.030","0.012","150.00%"
"Aug 15, 2021","0.010","0.016","0.020","0.008","-58.33%"
"Aug 08, 2021","0.024","0.025","0.035","0.020","71.43%"
"Aug 01, 2021","0.014","0.020","0.020","0.003","-26.32%"
"Jul 25, 2021","0.019","0.018","0.020","0.009","90.00%"
"Jul 18, 2021","0.010","0.013","0.015","0.009","-47.37%"
"Jul 11, 2021","0.019","0.034","0.034","0.009","-36.67%"
"Jul 04, 2021","0.030","0.036","0.045","0.019","-33.33%"
"Jun 27, 2021","0.045","0.051","0.065","0.034","-8.16%"
"Jun 20, 2021","0.049","0.052","0.059","0.039","-9.26%"
"Jun 13, 2021","0.054","0.036","0.067","0.030","58.82%"
"Jun 06, 2021","0.034","0.078","0.079","0.024","-60.00%"
"May 30, 2021","0.085","0.078","0.086","0.074","7.59%"
"May 23, 2021","0.079","0.080","0.084","0.069","-1.25%"
"May 16, 2021","0.080","0.079","0.084","0.074","0.00%"
"May 09, 2021","0.080","0.082","0.089","0.074","-4.76%"
"May 02, 2021","0.084","0.087","0.089","0.082","-5.62%"
"Apr 25, 2021","0.089","0.062","0.096","0.062","28.99%"
"Apr 18, 2021","0.069","0.094","0.094","0.059","-21.59%"
"Apr 11, 2021","0.088","0.104","0.111","0.080","-16.19%"
"Apr 04, 2021","0.105","0.124","0.124","0.093","-10.26%"
"Mar 28, 2021","0.117","0.085","0.124","0.070","44.44%"
"Mar 21, 2021","0.081","0.110","0.110","0.064","-30.17%"
"Mar 14, 2021","0.116","0.124","0.129","0.084","1.75%"
"Mar 07, 2021","0.114","0.100","0.146","0.095","26.67%"
"Feb 28, 2021","0.090","0.148","0.156","0.066","-45.45%"
"Feb 21, 2021","0.165","0.115","0.181","0.110","65.00%"
"Feb 14, 2021","0.100","0.074","0.105","0.071","53.85%"
"Feb 07, 2021","0.065","0.060","0.080","0.060","3.17%"
"Jan 31, 2021","0.063","0.060","0.063","0.050","23.53%"
"Jan 24, 2021","0.051","0.035","0.053","0.030","24.39%"
"Jan 17, 2021","0.041","0.048","0.056","0.030","32.26%"
"Jan 10, 2021","0.031","0.038","0.041","0.025","-13.89%"
"Jan 03, 2021","0.036","0.020","0.040","0.010","71.43%"
"Dec 27, 2020","0.021","0.019","0.026","0.015","5.00%"
"Dec 20, 2020","0.020","0.014","0.021","0.005","100.00%"
"Dec 13, 2020","0.010","0.011","0.015","0.001","-28.57%"
"Dec 06, 2020","0.014","0.026","0.030","0.008","-33.33%"
"Nov 29, 2020","0.021","0.029","0.034","0.015","-30.00%"
"Nov 22, 2020","0.030","0.017","0.030","0.017","200.00%"
"Nov 15, 2020","0.010","0.028","0.028","0.010","-60.00%"
"Nov 08, 2020","0.025","0.032","0.041","0.015","25.00%"
"Nov 01, 2020","0.020","0.040","0.057","0.019","-51.22%"
