"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","14.260","14.262","14.262","13.840","3.79%"
"Oct 30, 2022","13.740","13.840","13.870","13.740","-0.94%"
"Oct 23, 2022","13.870","13.860","13.870","13.766","0.07%"
"Oct 16, 2022","13.860","13.860","13.938","13.766","-0.07%"
"Oct 09, 2022","13.870","13.770","13.870","13.770","0.73%"
"Oct 02, 2022","13.770","13.770","13.870","13.710","0.44%"
"Sep 25, 2022","13.710","13.700","13.770","13.676","0.07%"
"Sep 18, 2022","13.700","13.770","13.770","13.700","-0.51%"
"Sep 11, 2022","13.770","13.770","13.770","13.770","0.00%"
"Sep 04, 2022","13.770","13.710","13.770","13.710","0.44%"
"Aug 28, 2022","13.710","13.810","13.810","13.710","-0.72%"
"Aug 21, 2022","13.810","13.810","13.810","13.570","0.00%"
"Aug 14, 2022","13.810","13.810","13.810","13.810","0.00%"
"Aug 07, 2022","13.810","13.810","13.810","13.669","0.00%"
"Jul 31, 2022","13.810","13.664","13.826","13.664","1.07%"
"Jul 24, 2022","13.664","13.664","13.664","13.664","0.00%"
"Jul 17, 2022","13.664","13.664","13.664","13.500","0.01%"
"Jul 10, 2022","13.663","13.750","13.750","13.662","-0.63%"
"Jul 03, 2022","13.750","13.750","13.750","13.750","0.00%"
"Jun 26, 2022","13.750","13.750","13.750","13.500","0.00%"
"Jun 19, 2022","13.750","13.600","13.750","13.600","1.85%"
"Jun 12, 2022","13.500","13.600","13.600","13.500","-0.74%"
"Jun 05, 2022","13.600","13.600","13.600","13.600","-0.03%"
"May 29, 2022","13.604","13.560","13.604","13.560","0.77%"
"May 22, 2022","13.500","13.560","13.560","13.500","-0.44%"
"May 15, 2022","13.560","13.160","13.560","13.160","3.04%"
"May 08, 2022","13.160","13.160","13.160","13.160","0.00%"
"May 01, 2022","13.160","13.180","13.180","13.160","-0.15%"
"Apr 24, 2022","13.180","13.200","13.200","13.180","-0.15%"
"Apr 17, 2022","13.200","13.020","13.200","13.020","1.38%"
"Apr 10, 2022","13.020","13.020","13.020","13.020","0.00%"
"Apr 03, 2022","13.020","13.020","13.020","13.020","0.00%"
"Mar 27, 2022","13.020","13.020","13.020","13.020","0.00%"
"Mar 20, 2022","13.020","12.785","13.020","12.785","0.00%"
"Mar 13, 2022","13.020","12.785","13.020","12.667","0.31%"
"Mar 06, 2022","12.980","12.785","12.980","12.667","1.53%"
"Feb 27, 2022","12.785","12.785","12.785","12.650","1.07%"
"Feb 20, 2022","12.650","12.920","12.920","12.650","-2.09%"
"Feb 13, 2022","12.920","12.910","12.920","12.666","1.73%"
"Feb 06, 2022","12.700","12.880","12.910","12.666","0.00%"
"Jan 30, 2022","12.700","12.900","12.900","12.700","-1.55%"
"Jan 23, 2022","12.900","12.830","12.900","12.666","0.55%"
"Jan 16, 2022","12.830","12.830","12.830","12.700","1.02%"
"Jan 09, 2022","12.700","12.830","12.830","12.550","-1.01%"
"Jan 02, 2022","12.830","12.820","12.830","12.550","0.08%"
"Dec 26, 2021","12.820","12.700","12.820","12.550","1.34%"
"Dec 19, 2021","12.650","12.700","12.700","12.415","-0.39%"
"Dec 12, 2021","12.700","12.474","12.700","12.415","0.40%"
"Dec 05, 2021","12.650","12.640","12.700","12.325","0.08%"
