"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","15.150","15.147","15.150","15.147","0.03%"
"Oct 30, 2022","15.146","14.443","15.146","14.401","7.52%"
"Oct 23, 2022","14.087","14.091","14.091","14.087","-0.04%"
"Oct 16, 2022","14.092","14.097","14.097","14.092","-0.04%"
"Oct 09, 2022","14.098","13.887","14.252","13.750","1.50%"
"Oct 02, 2022","13.889","13.597","13.997","13.597","14.72%"
"Sep 25, 2022","12.107","12.132","12.132","12.107","-0.25%"
"Sep 18, 2022","12.137","11.021","12.797","11.015","10.07%"
"Sep 11, 2022","11.027","11.482","11.499","11.027","-4.00%"
"Sep 04, 2022","11.486","11.615","11.615","11.425","-1.14%"
"Aug 28, 2022","11.618","11.348","11.632","11.344","-0.69%"
"Aug 21, 2022","11.699","10.929","11.699","10.907","7.00%"
"Aug 14, 2022","10.934","10.961","10.961","10.934","-0.28%"
"Aug 07, 2022","10.965","10.992","10.992","10.965","-0.29%"
"Jul 31, 2022","10.997","10.813","11.001","10.799","1.70%"
"Jul 24, 2022","10.813","10.837","10.837","10.813","-0.30%"
"Jul 17, 2022","10.846","9.000","10.846","8.955","20.51%"
"Jul 10, 2022","9.000","8.101","9.550","8.101","11.10%"
"Jul 03, 2022","8.101","8.055","8.143","8.055","1.07%"
"Jun 26, 2022","8.015","8.057","8.057","8.015","0.53%"
"Jun 19, 2022","7.973","8.163","8.163","7.973","-2.33%"
"Jun 12, 2022","8.163","7.870","8.163","7.861","3.50%"
"Jun 05, 2022","7.887","7.805","7.929","7.805","4.70%"
"May 29, 2022","7.533","7.586","7.586","7.533","-0.82%"
"May 22, 2022","7.595","7.647","7.647","7.595","-0.80%"
"May 15, 2022","7.656","7.691","7.691","7.656","-0.56%"
"May 08, 2022","7.699","7.758","7.758","7.699","-0.76%"
"May 01, 2022","7.758","7.817","7.817","7.758","-0.75%"
"Apr 24, 2022","7.817","7.611","7.850","7.603","4.06%"
"Apr 17, 2022","7.512","7.491","7.512","7.456","0.17%"
"Apr 10, 2022","7.499","7.558","7.558","7.499","-0.90%"
"Apr 03, 2022","7.567","7.348","7.567","7.296","2.98%"
"Mar 27, 2022","7.348","7.762","7.762","7.348","-5.43%"
"Mar 20, 2022","7.770","4.437","7.770","4.394","75.12%"
"Mar 13, 2022","4.437","4.880","4.880","4.437","-30.61%"
"Mar 06, 2022","6.394","6.422","6.422","4.880","-0.65%"
"Feb 27, 2022","6.436","6.517","6.517","6.436","-1.65%"
"Feb 20, 2022","6.544","6.544","6.544","6.544","-1.18%"
"Feb 13, 2022","6.622","6.712","6.712","6.622","-1.34%"
"Feb 06, 2022","6.712","6.847","6.847","6.712","-1.97%"
"Jan 30, 2022","6.847","6.834","6.859","6.822","0.19%"
"Jan 23, 2022","6.834","7.326","7.326","6.834","-6.98%"
"Jan 16, 2022","7.347","7.355","7.414","7.347","-0.11%"
"Jan 09, 2022","7.355","7.650","7.650","7.355","-3.86%"
"Jan 02, 2022","7.650","7.487","7.650","7.487","2.00%"
"Dec 26, 2021","7.500","7.517","7.517","7.487","-0.36%"
"Dec 19, 2021","7.527","7.634","7.634","7.517","-7.79%"
"Dec 12, 2021","8.163","8.163","8.163","7.634","-0.11%"
"Dec 05, 2021","8.172","8.224","8.224","8.172","-0.63%"
"Nov 28, 2021","8.224","8.256","8.256","8.173","-3.64%"
"Nov 21, 2021","8.535","8.551","8.551","8.256","-0.19%"
"Nov 14, 2021","8.551","8.567","8.567","8.551","0.20%"
"Nov 07, 2021","8.534","8.031","8.534","8.023","6.26%"
"Oct 31, 2021","8.031","8.098","8.098","8.031","-0.83%"
"Oct 24, 2021","8.098","8.312","9.053","8.098","-2.73%"
"Oct 17, 2021","8.325","8.346","8.346","8.325","-0.56%"
"Oct 10, 2021","8.372","8.473","8.473","8.372","-1.34%"
"Oct 03, 2021","8.486","8.117","8.518","8.096","4.55%"
"Sep 26, 2021","8.117","8.296","8.296","8.117","-5.40%"
"Sep 19, 2021","8.580","8.623","8.623","8.580","-0.50%"
"Sep 12, 2021","8.623","9.329","9.329","8.623","-5.51%"
"Sep 05, 2021","9.126","9.664","9.664","9.126","-5.57%"
"Aug 29, 2021","9.664","9.417","9.744","9.406","2.62%"
"Aug 22, 2021","9.417","9.530","9.530","9.417","-3.36%"
"Aug 15, 2021","9.744","9.769","9.769","9.744","-0.34%"
"Aug 08, 2021","9.777","10.351","10.351","9.777","-3.78%"
"Aug 01, 2021","10.161","10.183","10.183","10.161","-0.25%"
"Jul 25, 2021","10.186","10.973","10.973","10.186","-7.20%"
"Jul 18, 2021","10.976","10.988","10.988","10.973","-0.14%"
"Jul 11, 2021","10.991","10.642","11.003","10.642","0.98%"
