"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","7.763","7.957","7.957","7.763","-5.13%"
"Oct 30, 2022","8.183","8.476","8.476","8.183","-3.63%"
"Oct 23, 2022","8.491","8.663","8.663","8.491","-1.85%"
"Oct 16, 2022","8.651","8.725","8.725","8.629","-1.67%"
"Oct 09, 2022","8.798","8.664","8.800","8.664","0.98%"
"Oct 02, 2022","8.713","8.680","8.719","8.680","-1.07%"
"Sep 25, 2022","8.807","8.431","8.807","8.431","5.83%"
"Sep 18, 2022","8.322","8.193","8.322","8.193","1.54%"
"Sep 11, 2022","8.196","8.080","8.196","8.080","0.33%"
"Sep 04, 2022","8.169","8.164","8.270","8.164","0.68%"
"Aug 28, 2022","8.114","7.966","8.114","7.966","1.86%"
"Aug 21, 2022","7.966","7.961","8.019","7.949","1.01%"
"Aug 14, 2022","7.886","7.776","7.886","7.747","0.42%"
"Aug 07, 2022","7.853","7.964","7.964","7.826","-1.22%"
"Jul 31, 2022","7.950","8.230","8.230","7.950","-3.40%"
"Jul 24, 2022","8.230","8.369","8.369","8.230","-3.07%"
"Jul 17, 2022","8.491","8.420","8.568","8.420","0.84%"
"Jul 10, 2022","8.420","8.073","8.430","8.073","4.30%"
"Jul 03, 2022","8.073","7.835","8.073","7.807","2.99%"
"Jun 26, 2022","7.839","7.827","7.851","7.827","1.81%"
"Jun 19, 2022","7.700","7.878","7.878","7.700","-2.26%"
"Jun 12, 2022","7.878","8.058","8.098","7.878","-0.69%"
"Jun 05, 2022","7.933","7.857","7.933","7.784","2.43%"
"May 29, 2022","7.745","7.501","7.745","7.501","3.63%"
"May 22, 2022","7.474","7.851","7.851","7.474","-5.06%"
"May 15, 2022","7.872","7.935","7.996","7.872","-1.87%"
"May 08, 2022","8.022","8.395","8.434","8.022","-4.44%"
"May 01, 2022","8.395","7.946","8.395","7.934","5.65%"
"Apr 24, 2022","7.946","8.015","8.261","7.868","1.29%"
"Apr 17, 2022","7.845","7.428","7.845","7.428","5.61%"
"Apr 10, 2022","7.428","7.178","7.428","7.178","4.81%"
"Apr 03, 2022","7.087","6.774","7.087","6.774","4.62%"
"Mar 27, 2022","6.774","6.916","6.916","6.600","-2.67%"
"Mar 20, 2022","6.960","6.679","6.960","6.679","4.21%"
"Mar 13, 2022","6.679","6.663","6.838","6.663","0.24%"
"Mar 06, 2022","6.663","6.658","6.707","6.648","4.88%"
"Feb 27, 2022","6.353","6.048","6.353","6.048","5.04%"
"Feb 20, 2022","6.048","5.991","6.048","5.991","0.95%"
"Feb 13, 2022","5.991","6.101","6.101","5.991","-1.38%"
"Feb 06, 2022","6.075","6.101","6.101","6.062","-0.43%"
"Jan 30, 2022","6.101","6.110","6.148","6.080","-0.15%"
"Jan 23, 2022","6.110","6.053","6.110","6.053","0.94%"
"Jan 16, 2022","6.053","6.120","6.177","6.053","-1.09%"
"Jan 09, 2022","6.120","6.095","6.120","6.017","0.41%"
"Jan 02, 2022","6.095","5.915","6.095","5.865","3.04%"
"Dec 26, 2021","5.915","5.937","5.937","5.880","-0.37%"
"Dec 19, 2021","5.937","5.913","5.986","5.913","0.41%"
"Dec 12, 2021","5.913","5.878","5.913","5.878","0.24%"
"Dec 05, 2021","5.899","5.989","5.989","5.899","-1.50%"
"Nov 28, 2021","5.989","5.945","5.991","5.906","0.74%"
"Nov 21, 2021","5.945","5.870","5.995","5.870","1.28%"
"Nov 14, 2021","5.870","5.828","5.870","5.799","0.72%"
"Nov 07, 2021","5.828","5.782","5.868","5.716","0.80%"
"Oct 31, 2021","5.782","5.823","5.893","5.782","-0.70%"
"Oct 24, 2021","5.823","5.896","5.942","5.823","-1.31%"
"Oct 17, 2021","5.900","5.865","5.946","5.865","1.53%"
"Oct 10, 2021","5.811","5.949","5.949","5.688","-1.16%"
"Oct 03, 2021","5.879","6.386","6.386","5.879","-7.94%"
"Sep 26, 2021","6.386","6.362","6.456","6.362","1.59%"
"Sep 19, 2021","6.286","6.319","6.319","6.258","-1.26%"
"Sep 12, 2021","6.366","6.436","6.436","6.366","-1.30%"
"Sep 05, 2021","6.450","6.264","6.450","6.255","2.97%"
"Aug 29, 2021","6.264","6.060","6.269","6.060","3.37%"
"Aug 22, 2021","6.060","6.743","6.790","6.060","-10.13%"
"Aug 15, 2021","6.743","6.370","6.743","6.370","5.86%"
"Aug 08, 2021","6.370","6.239","6.483","6.239","1.14%"
"Aug 01, 2021","6.298","6.035","6.298","5.999","16.24%"
"Jul 25, 2021","5.418","5.485","5.485","5.398","-0.51%"
"Jul 18, 2021","5.446","5.570","5.642","5.411","-2.23%"
"Jul 11, 2021","5.570","5.827","5.909","5.570","-4.41%"
"Jul 04, 2021","5.827","5.480","5.827","5.480","6.33%"
"Jun 27, 2021","5.480","5.633","5.633","5.237","-2.72%"
"Jun 20, 2021","5.633","5.520","5.828","5.520","2.05%"
"Jun 13, 2021","5.520","5.253","5.520","5.253","7.90%"
"Jun 06, 2021","5.116","4.700","5.212","4.700","8.85%"
