"Date","Price","Open","High","Low","Change %"
"Nov 06, 2022","6.388","5.952","6.438","5.818","7.98%"
"Oct 30, 2022","5.916","5.885","6.069","5.885","0.53%"
"Oct 23, 2022","5.885","6.091","6.091","5.597","-2.79%"
"Oct 16, 2022","6.054","5.580","6.054","5.580","8.49%"
"Oct 09, 2022","5.580","5.560","5.936","5.548","3.26%"
"Oct 02, 2022","5.404","5.254","5.776","5.254","1.07%"
"Sep 25, 2022","5.347","5.531","5.800","5.200","-3.33%"
"Sep 18, 2022","5.531","4.996","5.531","4.996","3.81%"
"Sep 11, 2022","5.328","4.950","5.328","4.950","5.30%"
"Sep 04, 2022","5.060","5.175","5.289","5.060","2.66%"
"Aug 28, 2022","4.929","4.542","4.929","4.542","8.52%"
"Aug 21, 2022","4.542","4.625","4.635","4.542","-1.79%"
"Aug 14, 2022","4.625","4.632","4.673","4.573","-0.15%"
"Aug 07, 2022","4.632","4.641","4.667","4.632","-0.37%"
"Jul 31, 2022","4.649","4.735","4.900","4.649","-1.80%"
"Jul 24, 2022","4.734","4.671","5.050","4.572","-4.23%"
"Jul 17, 2022","4.943","4.463","4.943","4.463","6.81%"
"Jul 10, 2022","4.628","4.474","4.756","4.402","4.73%"
"Jul 03, 2022","4.419","4.419","4.450","4.300","-5.48%"
"Jun 26, 2022","4.675","4.619","4.675","4.250","1.21%"
"Jun 19, 2022","4.619","4.550","4.619","4.352","1.52%"
"Jun 12, 2022","4.550","4.220","4.550","4.189","7.82%"
"Jun 05, 2022","4.220","4.136","4.220","4.129","2.03%"
"May 29, 2022","4.136","4.314","4.540","4.136","-4.13%"
"May 22, 2022","4.314","4.300","4.363","4.218","-2.20%"
"May 15, 2022","4.411","3.704","4.411","3.704","19.09%"
"May 08, 2022","3.704","3.358","3.704","3.354","10.30%"
"May 01, 2022","3.358","3.283","3.439","3.283","1.76%"
"Apr 24, 2022","3.300","3.300","3.318","3.240","0.00%"
"Apr 17, 2022","3.300","3.306","3.378","3.300","3.12%"
"Apr 10, 2022","3.200","3.240","3.244","3.200","-1.57%"
"Apr 03, 2022","3.251","3.466","3.466","3.234","0.40%"
"Mar 27, 2022","3.238","3.338","3.400","3.238","-3.00%"
"Mar 20, 2022","3.338","3.369","3.447","3.311","-0.92%"
"Mar 13, 2022","3.369","3.242","3.432","3.242","3.92%"
"Mar 06, 2022","3.242","3.221","3.242","3.138","0.65%"
"Feb 27, 2022","3.221","3.359","3.418","3.221","-4.11%"
