Date,Close,Symbol,Spread,Cost_%
2025-03-05,5781.06,es,0.5,0.00864893289465946
2025-03-05,2917.17,gc,0.3,0.0102839395715711
2025-03-05,107.675,zf,0.02,0.0185744137450662
2025-03-05,37398.88,ny,7,0.0187171380533321
2025-03-05,103.258,zt,0.02,0.0193689593058165
2025-03-05,23793.6,hs,5,0.0210140541994486
2025-03-05,128.78,gg,0.028,0.0217425066004038
2025-03-05,912.395,ae,0.25,0.027400413198231
2025-03-05,120.03,gx,0.04,0.0333250020828126
2025-03-05,65.949,cl,0.025,0.0379080804864365
2025-03-05,91.5685,g,0.035,0.0382227512736367
2025-03-05,473.99,hg,0.2,0.0421949830165193
2025-03-05,194.206,le,0.09,0.0463425434847533
2025-03-05,8345.8,cc,4,0.0479282992643006
2025-03-05,5730.3,rm,3,0.0523532799329878
2025-03-05,6420.9,ca,3.5,0.0545094924387547
2025-03-05,4.4745,ng,0.003,0.0670465973851827
2025-03-05,417.3,kc,0.3,0.0718907260963336
2025-03-05,275.019,gf,0.2,0.0727222482810279
2025-03-05,655,lf,0.5,0.0763358778625954
2025-03-05,32.4865,si,0.025,0.0769550428639589
2025-03-05,973.2,pl,1,0.10275380189067
2025-03-05,81.226,he,0.1,0.123113288848398
2025-03-05,2.2488,lo,0.0028,0.124510850231234
2025-03-05,1.97755,rb,0.0025,0.126419053879801
2025-03-05,29653.6,dm,37.8,0.12747187525292
2025-03-05,525.33,sw,0.7,0.133249576456703
2025-03-05,532.6,zw,0.8,0.150206533984228
2025-03-05,991.45,zs,1.5,0.151293559937465
2025-03-05,651.04,lb,1,0.153600393217007
2025-03-05,936.84,pa,1.49,0.159045301225396
2025-03-05,309.97,oj,0.6,0.193567119398651
2025-03-05,440.29,zc,0.9,0.204410729292057
2025-03-05,19.119,sb,0.04,0.209215963177991
2025-03-05,42.163,zl,0.09,0.213457296681925
2025-03-05,374.87,zo,0.9,0.240083228852669
2025-03-05,62.279,ct,0.15,0.24085165143949
2025-03-05,290.12,zm,0.7,0.241279470563905
2025-03-05,13.444,zr,0.04,0.29753049687593
