Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-09-26,66.679,cl,0,0,0,0,0,0,8,0,0,0,0,0,9.577433685893524,14.955212479122903,7.854207948220273,3.0914305499437558,0.016100972955010562,0.2389419801935918,1.16,0,Future,1,8,0.01,0.025,0,0.0015691283613211487,1,3.3774182029348903,0.15564528271511632,0.045068,-0.105068,0,0
2025-09-25,65.614,cl,0,0,0,0,0,0,8,0,0,0,0,0,6.982296786286591,15.044343310584468,7.922910875858101,0.05685687989800445,0.008110344537453962,0.2368700127270764,1.16,0,Future,1,8,0.01,0.025,0,0.0016085457257595634,1,1.3294016184329025,-1.2644223271208974,0.045068,-0.105068,0,0
2025-09-24,65.084,cl,0,0,0,0,0,0,8,0,0,0,0,0,4.20466911113799,15.207641397927038,7.823823254821983,-3.018487127807137,0.015359192131438881,0.23986993812051557,1.16,0,Future,1,8,0.01,0.025,0,0.0016013635877277393,1,-0.2727940523393138,-3.176905522297414,0.045068,-0.105068,0,0
2025-09-23,64.092,cl,0,0,0,0,0,0,8,0,0,0,0,0,0.4751433525401202,15.386950189128433,7.868938656061628,-7.325917681730062,0.021687007880102804,0.2384946791463845,1.16,0,Future,1,8,0.01,0.025,0,0.0016355261425113632,1,-2.6595922785651096,-5.712885071983532,0.045068,-0.105068,0,0
2025-09-22,62.717,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-2.7821353934238267,15.662007266207324,8.141948012272236,-11.321531319042323,-0.0032474279959622265,0.23049766433920707,1.16,0,Future,1,8,0.01,0.025,0,0.0017293711256146488,1,-5.121420387904261,-7.817472548144109,0.045068,-0.105068,0,0
2025-09-21,62.921,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-2.01518421186183,15.980203181758831,7.994907399771184,-10.297975070470418,0.002115998848532641,0.23473692766644322,1.16,0,Future,1,8,0.01,0.025,0,0.0016926336729008477,1,-4.647369685543647,-7.12174468070826,0.045068,-0.105068,0,0
2025-09-19,62.788,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-1.4082424034258092,16.322667632569743,7.843054359706558,-9.452474249336055,-0.013698194292229182,0.2392817790020029,1.16,0,Future,1,8,0.01,0.025,0,0.0016640015640467882,1,-4.257614885481458,-6.545212828045463,0.045068,-0.105068,0,0
2025-09-18,63.654,cl,0,0,0,0,0,0,8,0,0,0,0,0,1.3258987893278522,16.7533709451829,7.847407503293592,-6.332094601204618,-0.008634497567729937,0.23914904370804504,1.16,0,Future,1,8,0.01,0.025,0,0.0016422741625171109,1,-2.505913128676632,-4.730766415557217,0.045068,-0.105068,0,0
2025-09-17,64.206,cl,0,0,0,0,0,0,8,0,0,0,0,0,2.5388553722998966,17.30225968650568,7.754541910516357,-4.85299291360219,-0.008328922354516877,0.24201300626861075,1.16,0,Future,1,8,0.01,0.025,0,0.0016088875379568965,1,-1.571409215162515,-3.974868400382845,0.045068,-0.105068,0,0
2025-09-16,64.743,cl,0,0,0,0,0,0,8,0,0,0,0,0,2.3619080406151496,17.922631391978896,7.655599676986382,-4.95627620199764,0.01903928403813815,0.24514082229790266,1.16,0,Future,1,8,0.01,0.025,0,0.001575184938909925,1,-1.5292653832784955,-4.135050276147378,0.045068,-0.105068,0,0
2025-09-15,63.522,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-1.1403842132444626,18.580065501415714,7.79266270826115,-9.095958951969108,0.010269483820446013,0.24082910684822462,1.16,0,Future,1,8,0.01,0.025,0,0.0016342062615264659,1,-4.050843382559522,-6.344538276833744,0.045068,-0.105068,0,0
2025-09-14,62.873,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-3.2647450123296693,19.33870849699728,7.725182058218204,-11.456319215166397,0,0.24293278603104618,1.16,0,Future,1,8,0.01,0.025,0,0.0016367776815363374,1,-5.284209088440545,-7.808727157463908,0.045068,-0.105068,0,0
2025-09-12,62.873,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-3.5500024968481565,20,7.572201679535184,-11.629347390218792,0.006494410048181187,0.24784073106135232,1.16,0,Future,1,8,0.01,0.025,0,0.0016043648700770957,1,-5.352967495002443,-7.937715236676175,0.045068,-0.105068,0,0
2025-09-11,62.466,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-3.5179837483845198,20,7.45143838000602,-11.471991235302614,-0.02516651424239935,0.2518574138700029,1.16,0,Future,1,8,0.01,0.025,0,0.0015890646707164419,1,-5.437311567143204,-7.673535558916927,0.045068,-0.105068,0,0
2025-09-10,64.058,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-0.6696064622765194,20,7.784026689363863,-8.549291217679885,0.01087726442904291,0.2410962956440441,1.16,0,Future,1,8,0.01,0.025,0,0.0016187362629391554,1,-3.6704233765350107,-6.100195157956286,0.045068,-0.105068,0,0
2025-09-09,63.365,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-2.770324444979143,20,7.726574318490197,-10.89265939846636,0.009083981709514966,0.24288901169421673,1.16,0,Future,1,8,0.01,0.025,0,0.001624361553316402,1,-5.349103614298132,-7.099649983949136,0.045068,-0.105068,0,0
2025-09-08,62.792,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.0963899242415165,20,7.638108080622297,-12.319696565469744,0.0031262985235871454,0.245702205335526,1.16,0,Future,1,8,0.01,0.025,0,0.0016204164300772568,1,-6.539096669008559,-7.540556548671149,0.045068,-0.105068,0,0
2025-09-07,62.596,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.161931211554661,20,7.493634944453532,-12.25012775765886,0.002831662092869891,0.2504392079292644,1.16,0,Future,1,8,0.01,0.025,0,0.0015947444714163005,1,-6.755399709691573,-7.2447462990614095,0.045068,-0.105068,0,0
2025-09-05,62.419,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-3.2900237145554905,20,7.348757324740922,-11.108784427090054,-0.021319051563344793,0.2553765102137404,1.16,0,Future,1,8,0.01,0.025,0,0.0015683473487166995,1,-6.179613049389179,-6.516140581570883,0.045068,-0.105068,0,0
2025-09-04,63.764,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-0.049028375276293445,20,7.518615577490144,-7.574648006377337,-0.00787307240968893,0.2496071225690299,1.16,0,Future,1,8,0.01,0.025,0,0.0015707514949718792,1,-3.6310725895263847,-5.025667989190572,0.045068,-0.105068,0,0
2025-09-03,64.268,cl,0,0,0,0,0,0,8,0,0,0,0,0,2.368376651883489,20,7.412083216484443,-4.705367042903313,-0.02822792809749064,0.2531946748555422,1.16,0,Future,1,8,0.01,0.025,0,0.0015363517386037541,1,-2.021981637994018,-3.355580696752625,0.045068,-0.105068,0,0
2025-09-02,66.108,cl,0,0,0,0,0,0,8,0,0,0,0,0,6.685776662228835,20,7.878666408341218,-0.23777879436540567,0.014198465270238714,0.23820021089014762,1.16,0,Future,1,8,0.01,0.025,0,0.0015876100834751473,1,0.22752460766709706,-0.4992718012275607,0.045068,-0.105068,0,0
2025-09-01,65.176,cl,0,0,0,0,0,0,8,0,0,0,0,0,4.291872387687329,20,7.899057987645726,-2.9940609731459213,0.010178047953404601,0.23758529218739674,1.16,0,Future,1,8,0.01,0.025,0,0.0016144803122959373,1,-1.5775418871705233,-1.8442420821391012,0.045068,-0.105068,0,0
2025-08-31,64.516,cl,0,0,0,0,0,0,8,0,0,0,0,0,2.5679771001847556,20,7.833812239996551,-4.89898126835683,-0.0019820384314606088,0.23956407717027775,1.16,0,Future,1,8,0.01,0.025,0,0.001617524545327059,1,-2.5705892063991636,-3.0282465288657847,0.045068,-0.105068,0,0
2025-08-29,64.644,cl,0,0,0,0,0,0,8,0,0,0,0,0,3.0300063599210847,20,7.682923258867582,-4.2200588475292,-0.003042825840807062,0.24426900240529206,1.16,0,Future,1,8,0.01,0.025,0,0.001583227877488922,1,-2.297343897242287,-2.525580499933942,0.045068,-0.105068,0,0
2025-08-28,64.841,cl,0,0,0,0,0,0,8,0,0,0,0,0,2.8826906908183663,20,7.537788030134483,-4.243284383484922,0.005691587816025745,0.24897224391258418,1.16,0,Future,1,8,0.01,0.025,0,0.0015486004142997915,1,-2.159823904678547,-2.689643962161364,0.045068,-0.105068,0,0
2025-08-27,64.473,cl,0,0,0,0,0,0,8,0,0,0,0,0,1.6818107200164856,20,7.410138384624614,-5.488068990320059,0.005412228020245102,0.2532611272002676,1.16,0,Future,1,8,0.01,0.025,0,0.001531064878859069,1,-2.7252757282306663,-3.5468031178494006,0.045068,-0.105068,0,0
2025-08-26,64.125,cl,0,0,0,0,0,0,8,0,0,0,0,0,1.3360623643244716,20,7.280181138545252,-5.753252722174428,-0.020131281764826703,0.25778204749106115,1.16,0,Future,1,8,0.01,0.025,0,0.001512376643574466,1,-2.7389217122816096,-3.8362242559177355,0.045068,-0.105068,0,0
2025-08-25,65.429,cl,0,0,0,0,0,0,8,0,0,0,0,0,3.4675401775877788,20,7.404909094627715,-3.4420060345273966,0.014548454242008013,0.253439978265439,1.16,0,Future,1,8,0.01,0.025,0,0.0015076294185620593,1,-1.3097389048074473,-2.6239822775095774,0.045068,-0.105068,0,0
2025-08-24,64.484,cl,0,0,0,0,0,0,8,0,0,0,0,0,1.627132994609049,20,7.402035117349175,-5.542454552081691,-0.001673433096833321,0.2535383810327133,1.16,0,Future,1,8,0.01,0.025,0,0.001529129710343183,1,-2.872694516446661,-3.461539257360986,0.045068,-0.105068,0,0
2025-08-22,64.592,cl,0,0,0,0,0,0,8,0,0,0,0,0,1.0693887521001728,20,7.2539259296034135,-6.031767355774645,0.004484277656782609,0.25871507625148893,1.16,0,Future,1,8,0.01,0.025,0,0.001496027370656528,1,-3.059785306611813,-3.833663099987781,0.045068,-0.105068,0,0
2025-08-21,64.303,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-0.4855401532127802,20,7.118227086021123,-7.6731301182643,0.009249054325531247,0.26364711006276975,1.16,0,Future,1,8,0.01,0.025,0,0.00147463914550279,1,-4.022957373779905,-4.7463341899507245,0.045068,-0.105068,0,0
2025-08-20,63.711,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-2.7371320902908716,20,7.022281735819098,-10.150432696151523,0.011841745044877783,0.2672493173304868,1.16,0,Future,1,8,0.01,0.025,0,0.001468280335566097,1,-5.425483193702632,-6.175011316184822,0.045068,-0.105068,0,0
2025-08-19,62.961,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.544382277268119,20,6.956659660523272,-12.15023940597255,-0.008729122271518897,0.26977027648048496,1.16,0,Future,1,8,0.01,0.025,0,0.0014718864064210998,1,-6.65401142965869,-7.231976462881369,0.045068,-0.105068,0,0
2025-08-18,63.513,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-3.936858396868802,20,6.853482760289418,-11.352749499568048,0.013904416671715936,0.27383157813922165,1.16,0,Future,1,8,0.01,0.025,0,0.0014374536582398571,1,-6.321403560987596,-6.653167295661601,0.045068,-0.105068,0,0
2025-08-17,62.636,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-5.879995409178786,20,6.811429955981553,-13.531424709328737,-0.010150113747990908,0.2755221755384784,1.16,0,Future,1,8,0.01,0.025,0,0.0014486365356906968,1,-7.570885817136395,-7.893599564953592,0.045068,-0.105068,0,0
2025-08-15,63.275,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.790309347778678,20,6.721755798732255,-12.196395053336458,-0.011877034656781582,0.2791978846291845,1.16,0,Future,1,8,0.01,0.025,0,0.0014151280236817617,1,-6.5992279558963745,-7.3395092479167205,0.045068,-0.105068,0,0
2025-08-14,64.031,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.1028981233914505,20,6.649564636961346,-11.338591063694432,0.01502699254462847,0.2822290033197717,1.16,0,Future,1,8,0.01,0.025,0,0.0013834009900711153,1,-6.102714932214668,-6.855674854864683,0.045068,-0.105068,0,0
2025-08-13,63.076,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-5.772763395994806,20,6.616420257074686,-13.213864138211607,-0.006321533157255033,0.28364280488279386,1.16,0,Future,1,8,0.01,0.025,0,0.0013973464399432574,1,-7.5419224879580575,-7.559636527140922,0.045068,-0.105068,0,0
2025-08-12,63.476,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-5.05515185530399,20,6.494721619459643,-12.272038025521345,-0.015212331660426237,0.2889577275147538,1.16,0,Future,1,8,0.01,0.025,0,0.0013630009044828624,1,-6.819323004329243,-7.205863310552294,0.045068,-0.105068,0,0
2025-08-11,64.449,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.055745691199753,20,6.457345022824911,-11.092482955624629,0.00972925023347404,0.2906302812326722,1.16,0,Future,1,8,0.01,0.025,0,0.001334697857583251,1,-5.9810805298111145,-6.696042848045604,0.045068,-0.105068,0,0
2025-08-10,63.825,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-5.023664852774057,20,6.359335673258711,-12.100666933571919,-4.8558517883012797e-4,0.29510944168140185,1.16,0,Future,1,8,0.01,0.025,0,0.0013272907896075697,1,-6.967693169575774,-6.861640468792132,0.045068,-0.105068,0,0
2025-08-08,63.856,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.620689831850096,20,6.222735944127983,-11.503524323385236,-0.007395537116530626,0.3015876001890981,1.16,0,Future,1,8,0.01,0.025,0,0.0012981498178409247,1,-6.67764042404954,-6.46924451696216,0.045068,-0.105068,0,0
2025-08-07,64.33,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-3.4906535101431144,20,6.108085480152166,-10.097403777458583,-0.017535388220728976,0.3072484833583644,1.16,0,Future,1,8,0.01,0.025,0,0.0012648432559654989,1,-5.550739332464415,-5.989150698916823,0.045068,-0.105068,0,0
2025-08-06,65.468,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-1.7468602559751556,20,6.083550560171301,-8.079962281285765,-0.006151991383910982,0.30848761450043005,1.16,0,Future,1,8,0.01,0.025,0,0.0012378647693697211,1,-3.8304659193481236,-5.403776687835607,0.045068,-0.105068,0,0
2025-08-05,65.872,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-0.3722717477512262,20,5.963196467976371,-6.388649893977773,-0.016113107811548844,0.31471376300919757,1.16,0,Future,1,8,0.01,0.025,0,0.0012059336762375791,1,-2.735054672125058,-4.5662594924209685,0.045068,-0.105068,0,0
2025-08-04,66.942,cl,0,0,0,0,0,0,8,0,0,0,0,0,2.0445083036079263,20,5.915672669630705,-3.5790917512216467,-0.010816377405037159,0.3172420288962939,1.16,0,Future,1,8,0.01,0.025,0,0.001177200957037638,1,-0.9589810943613812,-3.131409478463358,0.045068,-0.105068,0,0
2025-08-03,67.67,cl,0,0,0,0,0,0,8,0,0,0,0,0,4.006651582350957,20,5.821514073672364,-1.2424836938426984,-0.00615803593052533,0.32237317925371406,1.16,0,Future,1,8,0.01,0.025,0,0.001146000824022575,1,0.4532729294748904,-1.8732542938665457,0.045068,-0.105068,0,0
