Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-03-14,29195.65,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,1.9595867296072864,-10.177928251134272,-0.13604804015660926,7.396515836625197,0.02540594407015284,4.893492028504297,1,0,Index,1,0.01,1e-4,37.8,0,2.645786316258958e-4,1,0.7273164427774854,7.725844513365597,-0.05663,-0.00337,0,0
2025-03-13,28463.25,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,1.122810722601665,-10.41859434673318,-0.13317016281098035,6.559094509173983,-0.0069462107672872975,4.999242968148616,1,0,Index,1,0.01,1e-4,37.8,0,2.6564586986693847e-4,1,0.6302590726779511,6.8658489378066,-0.05663,-0.00337,0,0
2025-03-12,28661.65,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,1.669904543165745,-10.672039123267911,-0.13030922875162862,7.309636511056335,0.00689526918234229,5.109001153471099,1,0,Index,1,0.01,1e-4,37.8,0,2.5813958692689896e-4,1,0.6671114949719124,7.686758803378185,-0.05663,-0.00337,0,0
2025-03-11,28464.7,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,2.0660892996545397,-10.942790679015088,-0.1274834491256098,7.896381977961251,-0.020248763303021278,5.222246531344116,1,0,Index,1,0.01,1e-4,37.8,0,2.5428914334834875e-4,1,0.6918855267462313,8.332551019495199,-0.05663,-0.00337,0,0
2025-03-10,29046.95,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.420322825733006,-11.229853520913109,-0.12470208532587579,9.586218175385785,-0.01788911915268976,5.3387238734640174,1,0,Index,1,0.01,1e-4,37.8,0,2.437551519377836e-4,1,0.8188181912636123,10.136859723463,-0.05663,-0.00337,0,0
2025-03-07,29571.25,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.516799726240553,-11.539049851830837,-0.12195458263851278,10.992559047223878,-0.0273439064038854,5.458999453701208,1,0,Index,1,0.01,1e-4,37.8,0,2.3415803562899532e-4,1,0.9181796619785269,11.644744963420191,-0.05663,-0.00337,0,0
2025-03-06,30391,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,5.243572971430801,-11.872150283915168,-0.11925223028317146,11.988356081591514,0.021831797961269217,5.58270481331156,1,0,Index,1,0.01,1e-4,37.8,0,2.2279330921370647e-4,1,0.9630694584701479,12.737908920491583,-0.05663,-0.00337,0,0
2025-03-05,29734.7,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.497612840042503,-12.231388922430275,-0.11658147718553032,11.314114159856478,0.05817279608456971,5.710598425001176,1,0,Index,1,0.01,1e-4,37.8,0,2.2261099840907632e-4,1,0.8181712388231368,12.112244943869982,-0.05663,-0.00337,0,0
2025-03-04,28054.3,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.0648156836322897,-12.611887080068326,-0.11399818676592327,9.865589128996884,-0.032978034549435264,5.840005169266501,1,0,Index,1,0.01,1e-4,37.8,0,2.3071675324343546e-4,1,0.6516841653251516,10.623274839242717,-0.05663,-0.00337,0,0
2025-03-03,28994.9,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.580490782984301,-13.012041295906965,-0.11141204410229039,11.796573279129543,0.02411328197124263,5.9755657959991915,1,0,Index,1,0.01,1e-4,37.8,0,2.1816805099275196e-4,1,0.7385748524658607,12.743223180825044,-0.05663,-0.00337,0,0
2025-02-28,28304.1,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.8252900548503956,-13.33088394645421,-0.1088562659848395,11.091630168905692,-0.00740605934315397,6.115862913143829,1,0,Index,1,0.01,1e-4,37.8,0,2.1836584357976904e-4,1,0.667307533007375,12.008841231456273,-0.05663,-0.00337,0,0
2025-02-27,28514.5,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.2571811212240975,-13.327061162777394,-0.1063320472805304,11.582046457856503,-0.0027124798507642822,6.2610475113263435,1,0,Index,1,0.01,1e-4,37.8,0,2.1172836302113667e-4,1,0.6870782752861169,12.549546247978457,-0.05663,-0.00337,0,0
2025-02-26,28591.95,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.041010812697521,-13.324103618327635,-0.10384694596495145,11.332273353800602,0.01936833361451562,6.4108770249699205,1,0,Index,1,0.01,1e-4,37.8,0,2.062199028501301e-4,1,0.6657319841925875,12.2854375630081,-0.05663,-0.00337,0,0
2025-02-25,28043.5,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.0824230261580765,-13.32085545310292,-0.10140609207081927,10.233899945338957,0.006651056429923585,6.565187420249448,1,0,Index,1,0.01,1e-4,37.8,0,2.053111123223124e-4,1,0.589221434725813,11.106664217090138,-0.05663,-0.00337,0,0
2025-02-24,27857.6,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,2.3628371388391765,-13.315549747547456,-0.09900152221778416,9.407660936413107,0.014335361826114834,6.7246440770423614,1,0,Index,1,0.01,1e-4,37.8,0,2.0178031644310572e-4,1,0.5514303060886064,10.20018219266923,-0.05663,-0.00337,0,0
2025-02-21,27461.1,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,1.683773718666453,-13.30901802661764,-0.0966388515964274,8.627141260440123,2.0394562006309513e-4,6.889051235627594,1,0,Index,1,0.01,1e-4,37.8,0,1.9980872819307623e-4,1,0.5125904522158424,9.346999559715726,-0.05663,-0.00337,0,0
2025-02-20,27455.5,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,2.3383857273612727,-13.30006727047178,-0.09431462058157071,9.369631776796702,-0.005026409622706396,7.058820741628356,1,0,Index,1,0.01,1e-4,37.8,0,1.9504296461120808e-4,1,0.5295970048860434,10.17855359716733,-0.05663,-0.00337,0,0
2025-02-19,27593.85,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.257099901015036,-13.288948594897084,-0.09203114168372303,10.41288975516473,-0.025185840525290715,7.233964371407411,1,0,Index,1,0.01,1e-4,37.8,0,1.8936649255283603e-4,1,0.5735398529557417,11.326905581518236,-0.05663,-0.00337,0,0
2025-02-18,28297.65,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.691638062667434,-13.277837785976976,-0.0897929617559591,12.045687445486392,0.0049827708082439415,7.41427821268873,1,0,Index,1,0.01,1e-4,37.8,0,1.8016588141638943e-4,1,0.6330645830406848,13.13343535465805,-0.05663,-0.00337,0,0
2025-02-17,28157,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.5696859298381,-13.268533710185169,-0.087590502898391015,11.900560312071036,0.019737494637373842,7.600709871163776,1,0,Index,1,0.01,1e-4,37.8,0,1.7662462944967384e-4,1,0.5987918601194053,13.001848496533208,-0.05663,-0.00337,0,0
2025-02-14,27606.7,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.338667949578523,-13.256868549494985,-0.0854310992385955,11.62962748102796,-0.003469579601050654,7.792829612793181,1,0,Index,1,0.01,1e-4,37.8,0,1.7570419208354508e-4,1,0.5452532360286373,12.745749599431889,-0.05663,-0.00337,0,0
2025-02-13,27702.65,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.419960692987992,-13.241397165349628,-0.08330957635802126,11.71373701998296,0.019337364906075294,7.991278183182115,1,0,Index,1,0.01,1e-4,37.8,0,1.7074745359377507e-4,1,0.5360614842368603,12.851066538600808,-0.05663,-0.00337,0,0
2025-02-12,27172.1,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.1201685846703064,-13.223754267011994,-0.08123045986621129,11.361256460205167,-0.004487177600829284,8.195817198333085,1,0,Index,1,0.01,1e-4,37.8,0,1.6973692588756687e-4,1,0.4910562402029595,12.493236857174374,-0.05663,-0.00337,0,0
2025-02-11,27294.3,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.390017039519834,-13.200963827990075,-0.0791894715126382,11.657238980631167,9.526252159730575e-5,8.407051938637448,1,0,Index,1,0.01,1e-4,37.8,0,1.6473129351606133e-4,1,0.4985907309300931,12.823968104076954,-0.05663,-0.00337,0,0
2025-02-10,27291.7,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,4.239422812067515,-13.175210066562206,-0.07718846334612935,11.471253907317042,0.012556658601907245,8.624993569500619,1,0,Index,1,0.01,1e-4,37.8,0,1.6058405900603115e-4,1,0.48537148843951256,12.624632977065678,-0.05663,-0.00337,0,0
2025-02-07,26951.15,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.937550054737632,-13.146509558372811,-0.07522792153737809,11.110925945369532,-0.002490296731629371,8.849772616264724,1,0,Index,1,0.01,1e-4,37.8,0,1.5848289158056493e-4,1,0.452494093806159,12.245706986616163,-0.05663,-0.00337,0,0
2025-02-06,27018.35,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.811680781550106,-13.11191592512417,-0.07330621407447246,10.948817677085156,0.015488514439708112,9.081767601906957,1,0,Index,1,0.01,1e-4,37.8,0,1.540503155399584e-4,1,0.44160729029794615,12.071327197799373,-0.05663,-0.00337,0,0
2025-02-05,26603.1,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,3.0542631786277408,-13.070614342902072,-0.07142474118790249,10.061606031905262,0.006418303954925264,9.320999823416384,1,0,Index,1,0.01,1e-4,37.8,0,1.5243933766748746e-4,1,0.40074968742243655,11.098228634755005,-0.05663,-0.00337,0,0
2025-02-04,26432.9,dm,0,0,0,0,0,0,0.01,0,0,0,0,0,2.594506772612046,-13.023319229001391,-0.06958144205836442,9.511600932800787,0.0030538886900561835,9.567924726848485,1,0,Index,1,0.01,1e-4,37.8,0,1.4946146571802112e-4,1,0.38794907809989,10.482451987958152,-0.05663,-0.00337,0,0
