Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-11,0.841555,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,0.19022006495322594,-20,-18.445833795741756,-0.001496108616308417,0.03141505256597595,0.8415,0,Future,1,400,1,1.5e-4,0,0.00567376003226477,1,-11.121908772024213,-9.959044137394937,-0.025942,0.004011,0,0
2024-07-10,0.842815,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-19.21938333615328,0.26904160929382887,-20,-15.76036525285129,-0.0033521702025150757,0.03167300445816383,0.8415,0,Future,1,400,1,1.5e-4,0,0.0056191385531492825,1,-9.205606172544169,-8.80623983071445,-0.025942,0.004011,0,0
2024-07-09,0.845645,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-16.782348627587616,0.23016946049498485,-20,-12.49154956703098,5.973556839180827e-4,0.030173667191804587,0.8415,0,Future,1,400,1,1.5e-4,0,0.005878615803119073,1,-7.06987100740091,-7.206185640634495,-0.025942,0.004011,0,0
2024-07-08,0.84514,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-16.805580446505378,0.1293876688295873,-20,-12.472134429755297,-0.0016079074661372317,0.030746673884987783,0.8415,0,Future,1,400,1,1.5e-4,0,0.005772506896205298,1,-7.070331912707514,-7.183536007012825,-0.025942,0.004011,0,0
2024-07-05,0.8465,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-15.208938379061255,0.11890430770120448,-20,-10.33803665926561,0,0.030901401665746193,0.8415,0,Future,1,400,1,1.5e-4,0,0.0057343753588823725,1,-5.708052104937434,-6.106846934223262,-0.025942,0.004011,0,0
2024-07-04,0.8465,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-14.993661715565711,-0.005164603037490467,-20,-9.988966652568868,-4.7242235436328883e-4,0.03156416959246429,0.8415,0,Future,1,400,1,1.5e-4,0,0.0056139679438703466,1,-5.311544361070803,-6.10441752757933,-0.025942,0.004011,0,0
2024-07-03,0.8469,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-13.90963746733734,-0.08949166877390784,-20,-8.501437455396164,-0.0025001192323598764,0.03220550319257933,0.8415,0,Future,1,400,1,1.5e-4,0,0.005499573834508423,1,-4.3078042241652765,-5.408124296287483,-0.025942,0.004011,0,0
2024-07-02,0.84902,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-12.170725096229138,-0.21879390949948113,-20,-6.118236506889109,3.651935271749007e-4,0.03174351632826914,0.8415,0,Future,1,400,1,1.5e-4,0,0.005565680924075418,1,-2.764042513219933,-4.22822778036762,-0.025942,0.004011,0,0
2024-07-01,0.84871,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-13.285099574825875,-0.3850151867648531,-20,-7.520958506385403,0.0022766289787677085,0.03240660346205493,0.8415,0,Future,1,400,1,1.5e-4,0,0.005453790169203567,1,-3.7540267671284755,-4.841354383026272,-0.025942,0.004011,0,0
2024-06-28,0.84678,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-15.35590520548367,-0.5760998445988142,-20,-10.186490351678822,7.679085502964034e-4,0.03216001800274763,0.8415,0,Future,1,400,1,1.5e-4,0,0.00550813256516755,1,-6.019988437884794,-5.6217148211767185,-0.025942,0.004011,0,0
2024-06-27,0.84613,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-16.530399988935873,-0.7514320190717099,-20,-11.664817309045311,0.0021769746295952075,0.03274418105819009,0.8415,0,Future,1,400,1,1.5e-4,0,0.0054140222034031035,1,-7.078018185766989,-6.253201595999081,-0.025942,0.004011,0,0
2024-06-26,0.84429,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-18.20071331568498,-0.9193670490681253,-20,-13.807934229712574,-0.002247883204835238,0.032590964533599776,0.8415,0,Future,1,400,1,1.5e-4,0,0.005451329081961989,1,-8.490786557044844,-7.289709705483812,-0.025942,0.004011,0,0
2024-06-25,0.84619,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-16.6276704517362,-1.0791348143373019,-20,-11.630659861812951,6.147080921283798e-4,0.03236844039804849,0.8415,0,Future,1,400,1,1.5e-4,0,0.005476481135213057,1,-7.251250360361524,-6.0409323388532785,-0.025942,0.004011,0,0
2024-06-24,0.84567,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-17.65761096854857,-1.4498099759574927,-20,-12.818576303419347,7.095217826172395e-5,0.03299608500634834,0.8415,0,Future,1,400,1,1.5e-4,0,0.005375612076532504,1,-7.950191050948254,-6.699610438673857,-0.025942,0.004011,0,0
2024-06-21,0.84561,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-18.88612725035158,-1.863735064004633,-20,-14.249635468466458,8.39983249725007e-4,0.033711424796949135,0.8415,0,Future,1,400,1,1.5e-4,0,0.005261917573518818,1,-8.382712183754665,-7.902585494492718,-0.025942,0.004011,0,0
2024-06-20,0.8449,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-2.278699423345851,-20,-16.35459924147136,-1.1835019837469485e-4,0.03432937043159591,0.8415,0,Future,1,400,1,1.5e-4,0,0.005171542641813676,1,-9.261471844519102,-9.42949871716245,-0.025942,0.004011,0,0
2024-06-19,0.845,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-2.643053326834213,-20,-16.88433910948178,2.3671440517678e-4,0.03508046501068896,0.8415,0,Future,1,400,1,1.5e-4,0,0.005060217783467802,1,-9.60176242147692,-9.694625132216544,-0.025942,0.004011,0,0
2024-06-18,0.8448,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-3.1069128431008277,-20,-18.107387244021506,0.001184413261758721,0.03584864949066483,0.8415,0,Future,1,400,1,1.5e-4,0,0.004952956965033086,1,-10.427545611269467,-10.266611239040827,-0.025942,0.004011,0,0
2024-06-17,0.8438,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-3.6252056744595653,-20,-20,0.0023492850235023732,0.036428775407068306,0.8415,0,Future,1,400,1,1.5e-4,0,0.004879857789238769,1,-11.89233588710179,-10.975981684579299,-0.025942,0.004011,0,0
2024-06-14,0.84182,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-4.13877152608558,-20,-20,-0.0037704126904378743,0.03638968242066188,0.8415,0,Future,1,400,1,1.5e-4,0,0.004896590144178497,1,-13.229395147333479,-11.516236197767382,-0.025942,0.004011,0,0
2024-06-13,0.845,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-4.639085578880155,-20,-19.896124990952245,0.002488300353737344,0.03492834047304552,0.8415,0,Future,1,400,1,1.5e-4,0,0.005082256714612533,1,-11.920353289810997,-10.818075271277284,-0.025942,0.004011,0,0
2024-06-12,0.8429,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-5.092547496924838,-20,-20,-0.003363656762472106,0.034671513498619494,0.8415,0,Future,1,400,1,1.5e-4,0,0.005132658920075336,1,-12.465482628156181,-11.548892552355866,-0.025942,0.004011,0,0
2024-06-11,0.84574,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-5.5010695070164966,-20,-19.248082968733282,-0.0011698879305541976,0.033497054814883506,0.8415,0,Future,1,400,1,1.5e-4,0,0.005294778097906265,1,-10.86459134678906,-11.133217760334691,-0.025942,0.004011,0,0
2024-06-10,0.84673,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-5.96506725493251,-20,-16.79479256677621,-0.005488436268029334,0.03398776508738149,0.8415,0,Future,1,400,1,1.5e-4,0,0.005212231588043745,1,-8.869543499519862,-10.324505148224375,-0.025942,0.004011,0,0
2024-06-07,0.85139,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-19.593784698547385,-6.540843842611711,-20,-12.854624343423989,0.001763378619260736,0.02888972832370453,0.8415,0,Future,1,400,1,1.5e-4,0,0.0060984470359563975,1,-6.2636021455129915,-8.427397104114425,-0.025942,0.004011,0,0
2024-06-06,0.84989,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-6.361526057636912,-20,-15.031166977522227,-0.0024209103160167944,0.028780157876484722,0.8415,0,Future,1,400,1,1.5e-4,0,0.006132469089252284,1,-7.4331253752659645,-9.745351170473723,-0.025942,0.004011,0,0
2024-06-05,0.85195,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-18.461761517118216,-6.027439354831744,-20,-11.601962345408417,6.457862671961356e-4,0.028017799057162725,0.8415,0,Future,1,400,1,1.5e-4,0,0.00628410069684785,1,-5.967810307828586,-7.291575229781033,-0.025942,0.004011,0,0
2024-06-04,0.8514,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-5.742226967546633,-20,-14.03438869608359,-1.5267803168950156e-4,0.02848105644500362,0.8415,0,Future,1,400,1,1.5e-4,0,0.006185880396633084,1,-6.785975699253366,-9.253325667699308,-0.025942,0.004011,0,0
2024-06-03,0.85153,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-5.452273927735404,-20,-14.42059087562191,7.636233710865692e-4,0.029047475465008365,0.8415,0,Future,1,400,1,1.5e-4,0,0.006064331205858148,1,-7.129294139538829,-9.351381146886212,-0.025942,0.004011,0,0
2024-05-31,0.85088,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-5.191750996889735,-20,-15.760518038296738,2.7034492650823694e-4,0.029509117395000225,0.8415,0,Future,1,400,1,1.5e-4,0,0.005974020702319119,1,-8.148474174033446,-9.863546441162825,-0.025942,0.004011,0,0
2024-05-30,0.85065,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-5.027511262050369,-20,-16.146603338280023,1.2932124001827083e-4,0.030097947464334793,0.8415,0,Future,1,400,1,1.5e-4,0,0.005858729850735191,1,-8.659485766758035,-9.79377519127628,-0.025942,0.004011,0,0
2024-05-29,0.85054,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-4.7607617307862125,-20,-16.14074449948826,2.939741206356983e-4,0.030713304030606948,0.8415,0,Future,1,400,1,1.5e-4,0,0.00574208976380297,1,-8.961565522771304,-9.484999619500996,-0.025942,0.004011,0,0
2024-05-28,0.85029,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-20,-4.532079797436856,-20,-15.78503508944737,-0.0016568843795424781,0.031326885829815465,0.8415,0,Future,1,400,1,1.5e-4,0,0.005631277941752929,1,-9.000138294385689,-9.039901807839875,-0.025942,0.004011,0,0
2024-05-27,0.8517,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-19.730427665865932,-4.244482758424155,-20,-14.184995508609164,-2.348217116263096e-5,0.0314312663808137,0.8415,0,Future,1,400,1,1.5e-4,0,0.005603285257374674,1,-8.0270225674578235,-8.18440087095265,-0.025942,0.004011,0,0
2024-05-24,0.85172,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-19.405026133771152,-3.957347922437155,-20,-13.894694217142959,8.92710374788358e-4,0.032080065891568255,0.8415,0,Future,1,400,1,1.5e-4,0,0.005489833360529333,1,-8.111944034176851,-7.767706499700816,-0.025942,0.004011,0,0
2024-05-23,0.85096,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-18.772849694789212,-3.688560334201616,-20,-13.18618609261814,-0.003495809765737601,0.03259933251554724,0.8415,0,Future,1,400,1,1.5e-4,0,0.005407212096737191,1,-7.695764788719701,-7.374162174272459,-0.025942,0.004011,0,0
2024-05-22,0.85394,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-16.453727140083533,-3.3113819989319095,-20,-10.282611853978755,-5.85349880326852e-4,0.030915733649100018,0.8415,0,Future,1,400,1,1.5e-4,0,0.0056817790997194815,1,-5.4430756412726975,-6.308480763274451,-0.025942,0.004011,0,0
2024-05-21,0.85444,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-14.97287599345502,-2.8252032136096425,-20,-8.551233051135206,-0.001438504203943286,0.031483643495680655,0.8415,0,Future,1,400,1,1.5e-4,0,0.0055760248643515805,1,-4.402779669992279,-5.370058102733672,-0.025942,0.004011,0,0
2024-05-20,0.85567,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-12.841209218341373,-2.292017575249892,-20,-5.975603503496884,-0.0022646629028989784,0.03173212177957811,0.8415,0,Future,1,400,1,1.5e-4,0,0.005524409214032627,1,-2.599828801394106,-4.229432345459475,-0.025942,0.004011,0,0
2024-05-17,0.85761,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-10.360470853572583,-1.8815511313037208,-20,-2.8731855724449153,-4.429937120709049e-4,0.0313864940525918,0.8415,0,Future,1,400,1,1.5e-4,0,0.005572609564419273,1,-0.5349838858486339,-2.7486567683741265,-0.025942,0.004011,0,0
2024-05-16,0.85799,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-8.664918364642952,-1.6693956888426527,-20,-0.7185266417692765,-0.0015023848814045004,0.03199213497268281,0.8415,0,Future,1,400,1,1.5e-4,0,0.0054646935125665565,1,0.34891785484470167,-1.1700911597238748,-0.025942,0.004011,0,0
2024-05-15,0.85928,eurgbp,0,0,0,0,0,0,400,0,0,0,-0,0,-6.930870436050103,-1.3987650718009352,-20,1.4582219545003299,9.310553519142895e-5,0.032221006815256824,0.8415,0,Future,1,400,1,1.5e-4,0,0.005417731136900475,1,1.738544320355082,-0.0720049437832766,-0.025942,0.004011,0,0
