Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-11,172.3295,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,18.018398181294728,17.79982358970691,18.25390600628067,-0.01573185501424401,0.08023955927439151,172.298004,0,Future,1,400,1,3.5e-4,0,2.531161649965153e-5,1,11.113204720565086,9.74840214375568,0.02713,-0.048479,0,0
2024-07-10,175.062,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,17.450541775759515,20,20,0.003390255627935268,0.061443897688320544,172.298004,0,Future,1,400,1,3.5e-4,0,3.2538490472411674e-5,1,19.445969633932865,13.250472649578542,0.02713,-0.048479,0,0
2024-07-09,174.4695,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,17.13205382359796,20,20,0.0014138534156167282,0.06147400298612042,172.298004,0,Future,1,400,1,3.5e-4,0,3.2633002483969537e-5,1,19.111503829088825,13.15360717125905,0.02713,-0.048479,0,0
2024-07-08,174.223,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,16.818765254615702,20,20,-9.810021610245911e-4,0.06248114213128415,172.298004,0,Future,1,400,1,3.5e-4,0,3.21524148648945e-5,1,19.302250387604747,12.981908231333506,0.02713,-0.048479,0,0
2024-07-05,174.393997,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,16.50038670611761,20,20,0,0.06362742389811725,172.298004,0,Future,1,400,1,3.5e-4,0,3.154221390638677e-5,1,19.599136866374188,13.118314397722532,0.02713,-0.048479,0,0
2024-07-04,174.393997,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,16.14663498796883,20,20,0.004649656721720241,0.06490622158428012,172.298004,0,Future,1,400,1,3.5e-4,0,3.092076176858876e-5,1,18.97856645437244,13.027919489768117,0.02713,-0.048479,0,0
2024-07-03,173.585007,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,15.77954685105932,20,20,0.0010721244379707784,0.06413512879338532,172.298004,0,Future,1,400,1,3.5e-4,0,3.143835848829673e-5,1,18.55844886802421,12.915664844168955,0.02713,-0.048479,0,0
2024-07-02,173.399002,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,15.409125828022205,20,20,0.0038656503035525702,0.06532251530452877,172.298004,0,Future,1,400,1,3.5e-4,0,3.090000512730036e-5,1,17.72998929175392,12.772536248895904,0.02713,-0.048479,0,0
2024-07-01,172.729996,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,15.003391969003754,20,20,0.0038573345228094524,0.06523565978578082,172.298004,0,Future,1,400,1,3.5e-4,0,3.106098488306248e-5,1,16.524898518180304,12.58354407994614,0.02713,-0.048479,0,0
2024-06-28,172.065002,eurjpy,0,0,0,0,0,0,400,0,0,0,0,0,20,14.578377976566763,20,20,0.003084973289174897,0.0651467291630919,172.298004,0,Future,1,400,1,3.5e-4,0,3.122359352744797e-5,1,15.11077352320458,12.320935473399583,0.02713,-0.048479,0,0
