Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-24,19.99175,eurmxn,0,0,0,0,0,0,400,0,0,0,0,0,0.4092678848817428,-20,-11.660197389454394,16.375789207902855,0.014180883451480497,0.12341557796452846,19.94581,0,FX,1,400,1,0.006,0,0.002431814573312623,1,10.162973867936351,6.212815339966503,-0.086781,0.057562,0,0
2024-07-23,19.71025,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-2.500649398094798,-20,-12.234380370730433,12.782990987905485,0.008616306484580338,0.11762344772627696,19.94581,0,FX,1,400,1,0.006,0,0.0025880056044575864,1,7.530550780689493,5.252440207215993,-0.086781,0.057562,0,0
2024-07-22,19.54115,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-4.416904438076963,-20,-12.294390589969007,10.257989377548553,-0.0024431332286969365,0.11704931525228432,19.94581,0,FX,1,400,1,0.006,0,0.002623205139562729,1,6.213882092067378,4.044107285481175,-0.086781,0.057562,0,0
2024-07-21,19.58895,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-3.6758900573566096,-20,-12.038455596666513,11.11804105519111,-0.0028241334183602973,0.11953775868048037,19.94581,0,FX,1,400,1,0.006,0,0.00256232954385463,1,6.8053112792166015,4.312729775974508,-0.086781,0.057562,0,0
2024-07-19,19.64435,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-3.6825276251857924,-20,-11.793720975138264,10.986823653988075,0.00298750416565996,0.12201831830968252,19.94581,0,FX,1,400,1,0.006,0,0.0025031596640930384,1,6.8972921132317175,4.089531540756357,-0.086781,0.057562,0,0
2024-07-18,19.58575,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-5.6959371983479965,-20,-11.55727550920889,8.184054823473783,0.008689341518577365,0.1245146400510534,19.94581,0,FX,1,400,1,0.006,0,0.002460314500364586,1,5.485088854334277,2.698965969139506,-0.086781,0.057562,0,0
2024-07-17,19.4163,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-9.277506049097541,-20,-11.574744020944731,3.417363945008978,0.009014931061038567,0.12432672354533372,19.94581,0,FX,1,400,1,0.006,0,0.00248553731869462,1,3.247310497284875,0.170053447724103,-0.086781,0.057562,0,0
2024-07-16,19.24205,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-11.74617258963538,-20,-11.616289678601175,0.146581386453414,-0.004146354677134756,0.12388206904403655,19.94581,0,FX,1,400,1,0.006,0,0.002517047789904774,1,1.6138354093768232,-1.4672540229234092,-0.086781,0.057562,0,0
2024-07-15,19.322,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-10.8896806929206,-20,-11.411285144243607,1.1860683148943378,0.003045207451057852,0.12610761906391632,19.94581,0,FX,1,400,1,0.006,0,0.0024623957131095493,1,2.087066788229201,-0.9009984733348633,-0.086781,0.057562,0,0
2024-07-14,19.26325,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-11.782377080270088,-20,-11.178162810841538,-0.12075470160601354,0.0022659424656317206,0.12873761317953664,19.94581,0,FX,1,400,1,0.006,0,0.002419447687862712,1,1.3480479749153744,-1.468802676521388,-0.086781,0.057562,0,0
2024-07-12,19.21965,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-11.83998544645019,-20,-10.93373059777427,-0.31978196304645135,-0.004783114867743077,0.13161564455346475,19.94581,0,FX,1,400,1,0.006,0,0.0023719102985503074,1,1.183817547396609,-1.5035995104430604,-0.086781,0.057562,0,0
2024-07-11,19.3118,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-10.6710076878682,-20,-10.746086504492782,1.1450330017554575,-8.255790197315704e-4,0.13391386709927883,19.94581,0,FX,1,400,1,0.006,0,0.00232007991157073,1,2.176683235670018,-1.0316502339145603,-0.086781,0.057562,0,0
2024-07-10,19.32775,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-9.847675176690851,-20,-10.493983517371497,2.1167581897646137,-0.001571632365146236,0.13713095676373324,19.94581,0,FX,1,400,1,0.006,0,0.0022637811785828094,1,2.6372260647456196,-0.5204678749810061,-0.086781,0.057562,0,0
2024-07-09,19.35815,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-8.21248443719517,-20,-10.25223754678841,4.176139523800645,-0.01147683036931424,0.14036448077139935,19.94581,0,FX,1,400,1,0.006,0,0.002208158157500316,1,3.6423205250690995,0.5338189987315455,-0.086781,0.057562,0,0
2024-07-08,19.5816,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-4.816315714955287,-20,-10.345818517235765,8.751154972010832,0,0.13909484277175305,19.94581,0,FX,1,400,1,0.006,0,0.0022028861255458205,1,5.85590806110947,2.8952469109013625,-0.086781,0.057562,0,0
2024-07-05,19.5816,eurmxn,0,0,0,0,0,0,400,0,0,0,-0,0,-4.461888881228123,-20,-10.099827357832343,9.10072850394534,-0.0015207309970066696,0.14248263351591126,19.94581,0,FX,1,400,1,0.006,0,0.002150508393309946,1,6.030366321498276,3.070362182447064,-0.086781,0.057562,0,0
