Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-09-26,3779.12,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.284671956651362,-12.366152716820743,-11.674660620969872,20,0.009141660053618494,0.13123936101816333,1.16,0,Future,1,0.1,0.01,0.3,0,6.048761558883315e-4,1,18.90124324750053,12.782907296418863,-0.054994,0.031287,0,0
2025-09-25,3744.73,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.196820055328412,-12.308720056094701,-11.775062793910386,20,4.4472372105275326e-4,0.13012032520050615,1.16,0,Future,1,0.1,0.01,0.3,0,6.15680792086186e-4,1,18.244215369189227,12.245078311857702,-0.054994,0.031287,0,0
2025-09-24,3743.065,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.407476727452797,-12.196519371551723,-11.534312311482518,20,-0.005553516183095297,0.13283626787829433,1.16,0,Future,1,0.1,0.01,0.3,0,6.033609800730129e-4,1,18.837651806232984,12.407517499251275,-0.054994,0.031287,0,0
2025-09-23,3763.91,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.5134091128267,-12.061456997661082,-11.413246728198057,20,0.004273300280548398,0.1342453235690194,1.16,0,Future,1,0.1,0.01,0.3,0,5.937216126322896e-4,1,19.714132584781982,12.893376420022479,-0.054994,0.031287,0,0
2025-09-22,3747.86,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.66245561043164,-11.992513569659165,-11.242907873792412,20,0.016561765448122046,0.13627924529841165,1.16,0,Future,1,0.1,0.01,0.3,0,5.873651503262163e-4,1,18.745166142487776,12.600259970583268,-0.054994,0.031287,0,0
2025-09-21,3686.3,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.907071636104629,-11.856727614491561,-12.106203844451853,20,3.255826601744616e-4,0.12656114333496704,1.16,0,Future,1,0.1,0.01,0.3,0,6.430284511357658e-4,1,17.160538450466984,11.936645374913436,-0.054994,0.031287,0,0
2025-09-19,3685.1,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.120739314361437,-11.687080667546365,-11.862012212158358,20,0.012239807593223517,0.12916653368722272,1.16,0,Future,1,0.1,0.01,0.3,0,6.302632320162202e-4,1,16.944656439855194,11.345841018947947,-0.054994,0.031287,0,0
2025-09-18,3640.27,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.7359420865535045,-11.544341604090455,-12.30178047251028,20,-0.007923976067194971,0.12454904421549536,1.16,0,Future,1,0.1,0.01,0.3,0,6.616788591032746e-4,1,16.17971696678131,9.918238923213643,-0.054994,0.031287,0,0
2025-09-17,3669.23,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.682041705874719,-11.400719011603652,-12.36338090757175,20,-0.006795726012475356,0.12392847971396276,1.16,0,Future,1,0.1,0.01,0.3,0,6.597436167916785e-4,1,18.240465654410162,12.133275235622843,-0.054994,0.031287,0,0
2025-09-16,3694.25,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.698891683215393,-11.28399523843282,-12.344123790610979,20,0.004677634877792158,0.12412181099199462,1.16,0,Future,1,0.1,0.01,0.3,0,6.542547271686719e-4,1,19.244494985473732,12.899408357741724,-0.054994,0.031287,0,0
2025-09-15,3677.01,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.823009901753204,-11.238024125818685,-12.202274397996337,20,0.010610868077835178,0.12556470621998053,1.16,0,Future,1,0.1,0.01,0.3,0,6.497688073381807e-4,1,18.746142482113367,12.753310734757468,-0.054994,0.031287,0,0
2025-09-14,3638.2,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.5505027150688395,-11.179980056852228,-12.513711182778469,20,-0.001343168788819682,0.12243969655529521,1.16,0,Future,1,0.1,0.01,0.3,0,6.73460984050248e-4,1,18.02746804600197,12.485195343387218,-0.054994,0.031287,0,0
2025-09-12,3643.09,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.760480125070034,-11.068925018379625,-12.273736999919961,20,0.0030886856001810514,0.12483361831934246,1.16,0,Future,1,0.1,0.01,0.3,0,6.596594610684287e-4,1,18.297103304424056,12.553092981592071,-0.054994,0.031287,0,0
2025-09-11,3631.855,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.9346588692744735,-11.096185025166568,-12.07467557797203,20,-0.003610084938015845,0.12689160798615282,1.16,0,Future,1,0.1,0.01,0.3,0,6.509683184122349e-4,1,18.295934422780707,12.342287142972548,-0.054994,0.031287,0,0
2025-09-10,3644.99,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.095898424308274,-11.116906421194482,-11.890401800790544,20,0.00312835355862795,0.12885813496211138,1.16,0,Future,1,0.1,0.01,0.3,0,6.387237606299503e-4,1,18.64091147488346,12.55045118233247,-0.054994,0.031287,0,0
2025-09-09,3633.605,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.270123706643757,-11.149531961361433,-11.691287192407135,20,-3.8659359933035375e-4,0.13105272112339056,1.16,0,Future,1,0.1,0.01,0.3,0,6.299955725493264e-4,1,18.20451480137127,12.404154113964081,-0.054994,0.031287,0,0
2025-09-08,3635.01,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.477004520389675,-11.195625277923963,-11.454851976697514,20,0.012094823566911828,0.13375773018428241,1.16,0,Future,1,0.1,0.01,0.3,0,6.170164666190284e-4,1,17.706974257841427,12.28482617414338,-0.054994,0.031287,0,0
2025-09-07,3591.31,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.165465625684785,-11.33809950378979,-11.810896427788817,20,0.0013820662415078289,0.12972554702918912,1.16,0,Future,1,0.1,0.01,0.3,0,6.43936213030789e-4,1,17.637536095651537,12.103535482901492,-0.054994,0.031287,0,0
2025-09-05,3586.35,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.3626759190445465,-11.462175571985801,-11.585513235377661,20,0.00943835352487099,0.1322492123457537,1.16,0,Future,1,0.1,0.01,0.3,0,6.325217874125436e-4,1,16.996841615920623,11.876539311003771,-0.054994,0.031287,0,0
2025-09-04,3552.66,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.2515017279169545,-11.57250332468757,-11.712569453809195,20,-0.0021818967531839206,0.13081459248053395,1.16,0,Future,1,0.1,0.01,0.3,0,6.45522546782073e-4,1,16.49169826638715,11.565832101141352,-0.054994,0.031287,0,0
2025-09-03,3560.42,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.4387904069877155,-11.745124195801623,-11.498525249156897,20,0.008506992809440561,0.13324969653063495,1.16,0,Future,1,0.1,0.01,0.3,0,6.323445708428881e-4,1,15.7100088595025,11.489816379196563,-0.054994,0.031287,0,0
2025-09-02,3530.26,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,7.395894580216539,-11.935192468508323,-11.547549051181099,20,0.01451165749547556,0.13268400014661874,1.16,0,Future,1,0.1,0.01,0.3,0,6.404658925054425e-4,1,14.951005066359835,11.174408611764907,-0.054994,0.031287,0,0
2025-09-01,3479.4,gc,0,0,0,0,0,0,0.1,0,0,0,0,0,6.8037708846361875,-12.123593488726389,-12.224261846130071,20,0.009030710148245191,0.1253388563895212,1.16,0,Future,1,0.1,0.01,0.3,0,6.879092793448478e-4,1,14.036193124070394,10.791759402115563,-0.054994,0.031287,0,0
