Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-12-05,127.884,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-20,10.882705116387305,-4.399610176081451,-18.669221453532522,-0.002748713272104908,0.03733853533048987,1,0,Future,1,1,0.01,0.028,0,0.005863872807797458,1,-10.87804201331243,-10.458211076439023,-0.036571,-0.023429,0,0
2025-12-04,128.236,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-18.57163655989217,10.808135452393119,-4.474154015742679,-16.750573481276945,-0.0018153137958751842,0.03671643833046089,1,0,Future,1,1,0.01,0.028,0,0.005946857371501911,1,-9.148259952247729,-9.995252597783065,-0.036571,-0.023429,0,0
2025-12-03,128.469,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-17.26055010351456,10.636432576492018,-4.460270171665029,-15.266072803780183,6.384900705906915e-4,0.03683072856070415,1,0,Future,1,1,0.01,0.028,0,0.005917651399259349,1,-8.235708542442623,-9.21123180473473,-0.036571,-0.023429,0,0
2025-12-02,128.387,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-17.255890641733913,10.385275161628293,-4.384053885624274,-15.336963990643055,4.12899612832085e-4,0.03747102665381765,1,0,Future,1,1,0.01,0.028,0,0.005820246631246195,1,-8.445978129531685,-9.08198071691752,-0.036571,-0.023429,0,0
2025-12-01,128.334,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-15.777289339572027,10.099860827424225,-4.30325980415212,-13.727928012501625,-0.005447444979727045,0.03817454847636546,1,0,Future,1,1,0.01,0.028,0,0.005715344214503102,1,-7.478215001258187,-8.210845584457957,-0.036571,-0.023429,0,0
2025-11-28,129.035,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-12.140884806755842,9.812487610958438,-4.937583028688696,-8.93771389331798,-7.049864523995808e-4,0.03327032660423485,1,0,Future,1,1,0.01,0.028,0,0.006522189921044131,1,-4.381458137375801,-5.833072026416177,-0.036571,-0.023429,0,0
2025-11-27,129.126,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-11.021555718111934,9.842299241750498,-4.864817442872272,-7.731246234969938,-0.00109136094240192,0.033767968054112474,1,0,Future,1,1,0.01,0.028,0,0.00642154315007805,1,-3.701619518675467,-5.134090464147319,-0.036571,-0.023429,0,0
2025-11-26,129.267,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-10.38441629680763,9.939717338165378,-4.812436177155406,-7.055468162053315,4.64263338499471e-4,0.03413551763653761,1,0,Future,1,1,0.01,0.028,0,0.006345471070649702,1,-3.2201465906374485,-4.84324559456634,-0.036571,-0.023429,0,0
2025-11-25,129.207,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-12.352006511920775,9.94957576938988,-4.731504015441008,-9.385074855325593,0.0012390903565577815,0.03471940411841508,1,0,Future,1,1,0.01,0.028,0,0.006241654506775456,1,-4.018543020452989,-6.707256814204832,-0.036571,-0.023429,0,0
2025-11-24,129.047,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-14.011089129336835,9.999411689853796,-4.685760676122101,-11.32691261454857,-1.549810923062722e-5,0.03505834193306533,1,0,Future,1,1,0.01,0.028,0,0.006188975251495007,1,-5.245150900373319,-7.699892087682189,-0.036571,-0.023429,0,0
2025-11-21,129.049,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-14.708689133127022,10.127514090795607,-4.5995310444274216,-12.21039939343203,0.0021643099143853206,0.03571559761489772,1,0,Future,1,1,0.01,0.028,0,0.006074988587401689,1,-5.88453967102261,-8.07020249289971,-0.036571,-0.023429,0,0
2025-11-20,128.77,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-16.858756890406955,10.307199955354118,-4.6297833141062,-14.63736741778746,-2.329463845605062e-4,0.03548222213758486,1,0,Future,1,1,0.01,0.028,0,0.006128194280555004,1,-7.640883519495686,-9.087536386547127,-0.036571,-0.023429,0,0
2025-11-19,128.8,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-16.265501743440545,10.607793563743245,-4.546107611889725,-14.043037237756613,-0.0010863662122204687,0.03613530827346918,1,0,Future,1,1,0.01,0.028,0,0.0060160356929191165,1,-7.454867685996271,-8.594317728582716,-0.036571,-0.023429,0,0
2025-11-18,128.94,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-15.321786401940958,10.875019458527227,-4.48878330211985,-13.021829728669818,7.758554194756684e-4,0.03659677666382789,1,0,Future,1,1,0.01,0.028,0,0.005933726568597946,1,-7.038982481045933,-7.8431086374338586,-0.036571,-0.023429,0,0
2025-11-17,128.84,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-15.638692404026415,11.071340757720067,-4.417960066487049,-13.454831252400282,1.4748060462732582e-4,0.0371834506260315,1,0,Future,1,1,0.01,0.028,0,0.005844638107052158,1,-7.51399253941743,-7.862957463325751,-0.036571,-0.023429,0,0
2025-11-14,128.821,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-14.676109313616234,11.272817155100906,-4.335003341721192,-12.437693016697361,-0.0023338500104692628,0.037895011156963816,1,0,Future,1,1,0.01,0.028,0,0.005735738274126043,1,-6.941598275487993,-7.272908029308992,-0.036571,-0.023429,0,0
2025-11-13,129.122,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-12.308201768691191,11.560671543600584,-4.360419154608502,-9.706097152467144,-0.003803108906445196,0.037674130439129615,1,0,Future,1,1,0.01,0.028,0,0.00575591735938551,1,-4.858270460168566,-6.234411999793885,-0.036571,-0.023429,0,0
2025-11-12,129.614,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-9.728136100757203,11.756941005197595,-4.59773173537627,-6.520138094060533,6.174078329079791e-4,0.03572957481099233,1,0,Future,1,1,0.01,0.028,0,0.0060461409829758814,1,-2.9008753774792804,-4.550711015732757,-0.036571,-0.023429,0,0
2025-11-11,129.534,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-10.910143078190782,12.050320971101236,-4.521975973835234,-7.946758972668517,0.001545189361323196,0.03632814525121704,1,0,Future,1,1,0.01,0.028,0,0.005950192679250199,1,-3.776031210236339,-5.305979044241965,-0.036571,-0.023429,0,0
2025-11-10,129.334,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-12.383963600183744,12.370560248127084,-4.492111543636269,-9.660989713716583,-3.9425013748939364e-4,0.03656966181810856,1,0,Future,1,1,0.01,0.028,0,0.0059200364086102256,1,-4.877584408827078,-6.163546692563303,-0.036571,-0.023429,0,0
2025-11-07,129.385,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-11.613337534967137,12.763680294237924,-4.411759762741628,-8.860625991506527,-7.803114688380575e-4,0.03723570838723855,1,0,Future,1,1,0.01,0.028,0,0.005811851121604795,1,-4.588572476698507,-5.53785722788038,-0.036571,-0.023429,0,0
2025-11-06,129.486,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-10.696429995178372,13.123006586522306,-4.341026119362606,-7.883465303698389,9.27170804911448e-4,0.037842435286733665,1,0,Future,1,1,0.01,0.028,0,0.005714209242378514,1,-4.259960314242096,-4.749714318556062,-0.036571,-0.023429,0,0
2025-11-05,129.366,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-10.764167757764433,13.003688332265071,-4.275665613309565,-8.026240395564072,-0.002169776113507993,0.03842091848544804,1,0,Future,1,1,0.01,0.028,0,0.00563339415123359,1,-4.527537425033867,-4.6453087413250715,-0.036571,-0.023429,0,0
2025-11-04,129.647,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-9.038085043854988,12.961059941504153,-4.283060829842621,-6.046179220277365,0.0010572742604821883,0.03835458017672754,1,0,Future,1,1,0.01,0.028,0,0.0056309066318244155,1,-3.3300499962667858,-3.5798691126216315,-0.036571,-0.023429,0,0
2025-11-03,129.51,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-8.889495538619776,13.026564107441658,-4.222066413507695,-5.937357059200621,-0.002929840183696797,0.038908672652432356,1,0,Future,1,1,0.01,0.028,0,0.0055565894833724955,1,-3.5152363310356622,-3.270314593765047,-0.036571,-0.023429,0,0
2025-10-31,129.89,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-6.81101911248592,13.192643894342275,-4.300818163718437,-3.4832036791226146,6.083919772104096e-4,0.038196220753022904,1,0,Future,1,1,0.01,0.028,0,0.005643674007438238,1,-1.9376440932193577,-2.043160111492202,-0.036571,-0.023429,0,0
2025-10-30,129.811,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-7.184532282441784,13.296873657941749,-4.2256777462264585,-3.9852162908498654,0.0011176328930373458,0.03887542066990272,1,0,Future,1,1,0.01,0.028,0,0.005548446902359042,1,-2.410588715120633,-2.1439441887077844,-0.036571,-0.023429,0,0
2025-10-29,129.666,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-7.119099154200113,13.386029122750845,-4.1662443956135,-3.9698689234723443,-0.0027417533579567888,0.0394299960350285,1,0,Future,1,1,0.01,0.028,0,0.005476526383071791,1,-2.501871334505568,-2.035121720891397,-0.036571,-0.023429,0,0
2025-10-28,130.022,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-4.957686905687182,13.634746871994311,-4.21761061911825,-1.4483172730956728,-4.6904135728542684e-4,0.038949778638964073,1,0,Future,1,1,0.01,0.028,0,0.005528867669415044,1,-0.6341372998814332,-1.0210824407993357,-0.036571,-0.023429,0,0
2025-10-27,130.083,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-4.041860985811928,13.901121361592878,-4.141643677514276,-0.4776260205564986,7.998093188854583e-4,0.03966420406754892,1,0,Future,1,1,0.01,0.028,0,0.005426736610345999,1,-0.13100662174767574,-0.41485168745975115,-0.036571,-0.023429,0,0
2025-10-24,129.979,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-3.132476808366185,14.183111382435545,-4.07292468545319,0.49295119017754957,-0.0032030752301421828,0.04033342442759196,1,0,Future,1,1,0.01,0.028,0,0.0053409651415057,1,0.3740321982539018,0.18934059052044053,-0.036571,-0.023429,0,0
2025-10-23,130.396,gg,0,0,0,0,0,0,1,0,0,0,0,0,0.6584364369932274,14.329463943848287,-4.164030297223746,4.916529082358863,-0.0023133441188303294,0.03945096175441516,1,0,Future,1,1,0.01,0.028,0,0.0054429728365721014,1,3.1326074500351058,2.486282929803595,-0.036571,-0.023429,0,0
2025-10-22,130.698,gg,0,0,0,0,0,0,1,0,0,0,0,0,2.964386205920596,14.378004188543267,-4.177485522422295,7.565355472045833,-3.824881666547597e-4,0.03932389450981172,1,0,Future,1,1,0.01,0.028,0,0.005447943150990073,1,4.889852595325143,3.756267944155809,-0.036571,-0.023429,0,0
2025-10-21,130.748,gg,0,0,0,0,0,0,1,0,0,0,0,0,2.9037792689609234,14.315890523191015,-4.10051031461458,7.419115193427063,0.0017606581753089046,0.04006208676381314,1,0,Future,1,1,0.01,0.028,0,0.005345513242878559,1,5.056997715476589,3.4219910770114836,-0.036571,-0.023429,0,0
2025-10-20,130.518,gg,0,0,0,0,0,0,1,0,0,0,0,0,1.878612508979295,14.291774503366291,-4.071627355575536,6.218613080123301,2.911899728621492e-4,0.04034627574034935,1,0,Future,1,1,0.01,0.028,0,0.005317214357950113,1,4.421222323909308,2.685764053374466,-0.036571,-0.023429,0,0
2025-10-17,130.48,gg,0,0,0,0,0,0,1,0,0,0,0,0,2.4283569649484638,14.314097815854005,-3.9942339234570574,6.769499026255302,-0.0034428709269036517,0.0411280368521376,1,0,Future,1,1,0.01,0.028,0,0.005217663936881011,1,5.003643701535357,2.732926614184987,-0.036571,-0.023429,0,0
2025-10-16,130.93,gg,0,0,0,0,0,0,1,0,0,0,0,0,3.9035875559531448,14.303459575760385,-4.102189741218368,8.563432662307676,0.002669105369894176,0.0400456854419439,1,0,Future,1,1,0.01,0.028,0,0.0053402689746931764,1,6.434359985980896,3.3524201995135923,-0.036571,-0.023429,0,0
2025-10-15,130.581,gg,0,0,0,0,0,0,1,0,0,0,0,0,2.1583433301489037,14.172146034949138,-4.143132778598128,6.609810870196875,0.0019240283271386716,0.03964994818620903,1,0,Future,1,1,0.01,0.028,0,0.005407984237033334,1,5.002642684207269,2.5514268817320165,-0.036571,-0.023429,0,0
2025-10-14,130.33,gg,0,0,0,0,0,0,1,0,0,0,0,0,0.22934670824030834,14.13741489601557,-4.127221146575447,4.389331670278657,0.0021507036479677666,0.03980281021197685,1,0,Future,1,1,0.01,0.028,0,0.0053975900961944785,1,3.4237591670716587,1.592619884675378,-0.036571,-0.023429,0,0
2025-10-13,130.05,gg,0,0,0,0,0,0,1,0,0,0,-0,0,-1.9064450603278442,14.085701491841158,-4.12653683222593,1.9477424775655363,6.076432475135007e-4,0.039809410815651695,1,0,Future,1,1,0.01,0.028,0,0.005408314330355761,1,1.775782152769545,0.45020925016249663,-0.036571,-0.023429,0,0
