Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-07-10,116.71,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-10.371600007536093,12.486171086642909,0,-18.096342694791275,-0.011416038107259219,0.1296576609299792,1,0,Future,1,1,0.01,0.04,0,0.0026433443326282576,1,-10.932519369976923,-9.749015138355961,-0.03,-0.03,0,0
2025-07-09,118.05,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-8.278559191855866,12.549805005838438,0,-15.736113007897352,0.005265852154532347,0.12653680169825685,1,0,Future,1,1,0.01,0.04,0,0.0026777938927745313,1,-9.266707314052567,-8.71742183783012,-0.03,-0.03,0,0
2025-07-08,117.43,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-8.912015333659062,12.60213345012031,0,-16.486227106384796,-0.009829754599714136,0.12799403357414676,1,0,Future,1,1,0.01,0.04,0,0.002661283889537447,1,-9.74072409826914,-9.100678309027769,-0.03,-0.03,0,0
2025-07-07,118.59,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-6.5049044136117695,12.706378342198514,0,-13.787365643798422,-0.006304396117232436,0.1263106621800709,1,0,Future,1,1,0.01,0.04,0,0.002670372890030171,1,-7.735849543086207,-8.02113976411199,-0.03,-0.03,0,0
2025-07-04,119.34,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-5.097618170341486,12.825511656294793,0,-12.238605165680523,5.028916374527626e-4,0.12719841247173097,1,0,Future,1,1,0.01,0.04,0,0.0026350706683507703,1,-6.780183368636661,-7.206793963569652,-0.03,-0.03,0,0
2025-07-03,119.28,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-5.759556289001914,12.87219845532871,0,-13.018449272237971,0.0075738811939043416,0.1299439227615111,1,0,Future,1,1,0.01,0.04,0,0.0025806932609184633,1,-7.2665308764263665,-7.6116968632741715,-0.03,-0.03,0,0
2025-07-02,118.38,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-7.229158246977521,12.901917485708843,0,-14.712853882257303,-0.012174282431846706,0.1302195535960023,1,0,Future,1,1,0.01,0.04,0,0.002594809345836272,1,-8.393885165888138,-8.420804985263064,-0.03,-0.03,0,0
2025-07-01,119.83,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-5.224075283404308,13.048707386137284,0,-12.494725445530708,0.008632664765880982,0.12626977366809167,1,0,Future,1,1,0.01,0.04,0,0.002643595658637488,1,-6.953720802368881,-7.325965421094785,-0.03,-0.03,0,0
2025-06-30,118.8,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-7.518045538882108,13.156843258393494,0,-15.170473673633442,-0.0013458952233547095,0.12547075592867216,1,0,Future,1,1,0.01,0.04,0,0.0026834965184376887,1,-8.819665675624295,-8.518018522813923,-0.03,-0.03,0,0
2025-06-27,118.96,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-6.590067192286394,13.329577181703694,0,-14.196293953464869,-0.004696419232607774,0.12807705912350364,1,0,Future,1,1,0.01,0.04,0,0.002625352896490802,1,-8.221252712637348,-8.003083234179647,-0.03,-0.03,0,0
2025-06-26,119.52,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-5.141538376497855,13.470722119244414,0,-12.611404918476898,-0.002256488358732156,0.12984152813042424,1,0,Future,1,1,0.01,0.04,0,0.002577542225803407,1,-7.1135164914217714,-7.299517701123256,-0.03,-0.03,0,0
2025-06-25,119.79,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-3.791907069187675,13.59558587436671,0,-11.131401016254983,-0.00200150179401426,0.13243972231678966,1,0,Future,1,1,0.01,0.04,0,0.002521280499900736,1,-6.335463045496162,-6.386138115938104,-0.03,-0.03,0,0
2025-06-24,120.03,gx,0,0,0,0,0,0,1,0,0,0,-0,0,-1.84372919660432,13.709775113178734,0,-8.962006638422876,-0.009452806706177874,0.13517211713474903,1,0,Future,1,1,0.01,0.04,0,0.0024653754627214975,1,-5.287625307419064,-4.954667993635652,-0.03,-0.03,0,0
