Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-07-24,25562.8,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,17.29622437617419,-1.3527376137932454,20,0.0012369360014492514,0.19833853754362105,9.12,0,Index,1,0.1,1e-4,5,0,9.861761053379119e-4,1,14.20247304869615,12.317200399640601,-0.040732,-0.019268,0,0
2025-07-23,25531.2,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,18.29646765348635,-1.3296954654628474,20,0.008646346541665295,0.20177552452328523,9.12,0,Index,1,0.1,1e-4,5,0,9.705776618987511e-4,1,13.76582746362246,12.180775730677995,-0.040732,-0.019268,0,0
2025-07-22,25311.4,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,19.460526601217595,-1.32340167304805,20,0.010381059601487053,0.20273512227172358,9.12,0,Index,1,0.1,1e-4,5,0,9.743721088600085e-4,1,12.631627074280606,12.01827509846057,-0.040732,-0.019268,0,0
2025-07-21,25050,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.3244650263753823,20,0.006897988006864253,0.202572355371472,9.12,0,Index,1,0.1,1e-4,5,0,9.853308860291957e-4,1,11.46887590180747,11.819956795763785,-0.040732,-0.019268,0,0
2025-07-18,24877.8,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.3119401275499825,19.349845207725586,0.007865143338017688,0.20450628375933885,9.12,0,Index,1,0.1,1e-4,5,0,9.827688337312745e-4,1,10.5450204068898,11.569088401939442,-0.040732,-0.019268,0,0
2025-07-17,24682.9,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.3021670163641275,18.295951960391804,0.003974195322088647,0.20604115802989645,9.12,0,Index,1,0.1,1e-4,5,0,9.831501243804956e-4,1,9.676830625738052,11.232828757566867,-0.040732,-0.019268,0,0
2025-07-16,24585,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.2824413077974777,17.420093858393045,-0.0011788858862420426,0.20921035400894128,9.12,0,Index,1,0.1,1e-4,5,0,9.721127009494228e-4,1,9.17096924384127,10.737709451465063,-0.040732,-0.019268,0,0
2025-07-15,24614,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.259886882148399,16.592186001015236,0.013971364487980864,0.21295562625629239,9.12,0,Index,1,0.1,1e-4,5,0,9.538908644729178e-4,1,8.672908687290345,10.289589599584213,-0.040732,-0.019268,0,0
2025-07-14,24272.5,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.2743686260237346,14.25579041954427,0.007534752412800216,0.2105356287977251,9.12,0,Index,1,0.1,1e-4,5,0,9.784302985984467e-4,1,7.040600406714636,9.251731501335959,-0.040732,-0.019268,0,0
2025-07-11,24090.3,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,18.584941796755057,20,-1.2624520268347692,11.871159495423163,0.0021192787427377624,0.21252292704752043,9.12,0,Index,1,0.1,1e-4,5,0,9.766118895802522e-4,1,6.105070581049827,7.46196884229093,-0.040732,-0.019268,0,0
2025-07-10,24039.3,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,17.355671441193138,20,-1.2405959386362486,10.455351044967427,0.006992145136456074,0.21626703074244658,9.12,0,Index,1,0.1,1e-4,5,0,9.617404210850174e-4,1,5.670221842813004,6.278750780006914,-0.040732,-0.019268,0,0
2025-07-09,23871.8,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,16.499791245764463,20,-1.2264856415529903,9.470147101650166,-0.009111423879193836,0.21875510883297042,9.12,0,Index,1,0.1,1e-4,5,0,9.574732131089953e-4,1,5.187380507592273,5.635644751436488,-0.040732,-0.019268,0,0
2025-07-08,24090.3,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,18.144246386754798,20,-1.2178279682291835,11.34519556897722,0.008571183270534632,0.22031026302518655,9.12,0,Index,1,0.1,1e-4,5,0,9.420914600754527e-4,1,5.923160274792957,7.042777518323867,-0.040732,-0.019268,0,0
2025-07-07,23884.7,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,17.307022152166855,20,-1.2073455633455257,10.383126669863454,-4.897333980942165e-4,0.22222303882622227,9.12,0,Index,1,0.1,1e-4,5,0,9.420221865524299e-4,1,5.175198630375448,6.691231849468501,-0.040732,-0.019268,0,0
2025-07-04,23896.4,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,18.552474996351794,20,-1.1850795754023202,11.795368354960353,-0.0035548797929152443,0.2263982989571948,9.12,0,Index,1,0.1,1e-4,5,0,9.24196598141064e-4,1,5.515731729850554,7.964689247246992,-0.040732,-0.019268,0,0
2025-07-03,23981.5,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,19.957560936318117,20,-1.1647601981200142,13.391021169137856,-0.008945958766117812,0.23034784364459795,9.12,0,Index,1,0.1,1e-4,5,0,9.051269775141807e-4,1,6.301413134644524,9.002611058655882,-0.040732,-0.019268,0,0
2025-07-02,24197,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.153727418061889,15.113088818860897,-1.2397462668545245e-4,0.232550597133861,9.12,0,Index,1,0.1,1e-4,5,0,8.885687199896756e-4,1,7.38224135115024,9.889860156119354,-0.040732,-0.019268,0,0
2025-06-30,24200,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.1318419020766435,15.254417501390575,-4.213988023558102e-4,0.23704724088031848,9.12,0,Index,1,0.1,1e-4,5,0,8.71605041596957e-4,1,7.570148697950067,9.863471303639162,-0.040732,-0.019268,0,0
2025-06-27,24210.2,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.1101540217737274,15.560638426317189,-0.006537800771928559,0.24167817684552342,9.12,0,Index,1,0.1,1e-4,5,0,8.545435314742338e-4,1,7.88881154562249,9.894775227311442,-0.040732,-0.019268,0,0
2025-06-26,24369,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.0935527096850748,16.205071912097875,0.0010182045992692679,0.24534711278550622,9.12,0,Index,1,0.1,1e-4,5,0,8.362792955968426e-4,1,8.462696298939882,10.057385886314831,-0.040732,-0.019268,0,0
2025-06-25,24344.2,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.0723227002838467,15.155364387885042,-9.976865177101502e-4,0.2502045325805191,9.12,0,Index,1,0.1,1e-4,5,0,8.208793375571923e-4,1,8.070155470697172,9.250260972600021,-0.040732,-0.019268,0,0
2025-06-24,24368.5,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,19.847414310402286,20,-1.0512859758238193,13.208402199800238,0.026420616414549514,0.25521124239268195,9.12,0,Index,1,0.1,1e-4,5,0,8.039728918289023e-4,1,7.091990707411718,8.003326092359982,-0.040732,-0.019268,0,0
2025-06-23,23733.1,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,15.697792251530924,20,-1.1033701475124338,8.492019075505842,0.013169330007642088,0.24316409194583227,9.12,0,Index,1,0.1,1e-4,5,0,8.663953089149261e-4,1,4.470923278917255,5.234241378803707,-0.040732,-0.019268,0,0
2025-06-20,23422.6,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,13.804375140899314,20,-1.1016271829644166,6.327242323938567,0.008777835329793149,0.24354881955437935,9.12,0,Index,1,0.1,1e-4,5,0,8.764938508427535e-4,1,3.105871307732716,4.125262776768503,-0.040732,-0.019268,0,0
2025-06-19,23217.9,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,13.71117382843016,20,-1.0886791942783616,6.214252543916508,-0.014974812863709275,0.24644541882500517,9.12,0,Index,1,0.1,1e-4,5,0,8.738287280959804e-4,1,2.9334183960150604,4.168584511318092,-0.040732,-0.019268,0,0
2025-06-18,23568.2,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,16.374131708429825,20,-1.0917911730520802,9.259188967588699,-0.011193808247302428,0.24574296497559392,9.12,0,Index,1,0.1,1e-4,5,0,8.633015000063752e-4,1,5.001226717756221,5.580703530916579,-0.040732,-0.019268,0,0
2025-06-17,23833.5,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,18.740066789029974,20,-1.0839934975867298,11.959215936256193,-0.011654812986028773,0.2475107097942102,9.12,0,Index,1,0.1,1e-4,5,0,8.475946067565769e-4,1,6.5171537348104085,7.150521620910957,-0.040732,-0.019268,0,0
2025-06-16,24112.9,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.0770268778416945,14.592169663954841,0.014108152478970126,0.24911170326376547,9.12,0,Index,1,0.1,1e-4,5,0,8.323891834676376e-4,1,7.522019981639246,9.154745348594858,-0.040732,-0.019268,0,0
2025-06-13,23775.1,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.0765277609038233,13.85326995778707,-0.018180651806387615,0.24922720039726853,9.12,0,Index,1,0.1,1e-4,5,0,8.438246598736513e-4,1,7.126439921133828,8.705868602051394,-0.040732,-0.019268,0,0
2025-06-12,24211.3,hs,0,0,0,0,0,0,0.1,0,0,0,0,0,20,20,-1.0905310041350538,17.351618494629843,-0.0029941129941324363,0.2460269345691827,9.12,0,Index,1,0.1,1e-4,5,0,8.394005314357721e-4,1,9.261533655046376,10.568887481673443,-0.040732,-0.019268,0,0
