Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-03-14,638.97,lb,0,0,0,0,0,0,2,0,0,0,4.787346694205212,10.41785534970445,9.190656874192491,6.994322497502802,-19.558455536231456,16.785674375584318,-0.009625342979236784,0.2517146607450681,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.006217431663857316,1,10.115817958480214,9.067809899330433,-0.226926,0.166926,3102.9411764705883,3081.8041818521538
2025-03-13,645.15,lb,0,0,0,0,0,0,2,0,0,0,5.621990633708911,10.169155141629808,11.056947318453197,6.69278738983935,-19.276196304373006,18.928215678356196,-0.013211574279084815,0.25540049096113077,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.006069006052578784,1,11.503615799036194,10.128630690513745,-0.226926,0.166926,3102.9411764705883,3037.3289072326247
2025-03-12,653.73,lb,0,0,0,0,0,0,2,0,0,0,5.925819177340948,9.952705965581556,11.90795588221658,6.334991847332392,-19.116806973694498,20,0.007569919375736589,0.25752993200038343,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005939828029309686,1,12.547456712999885,10.771846213061915,-0.226926,0.166926,3102.9411764705883,3012.2141068887177
2025-03-11,648.8,lb,0,0,0,0,0,0,2,0,0,0,5.34892525818079,9.849785387275848,10.86099858600095,5.932137513479958,-18.776445236529653,18.83472367409736,0.011003598044733387,0.2621981923618849,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005878404478978038,1,11.698965777020529,9.826432707662166,-0.226926,0.166926,3102.9411764705883,2958.583684844708
2025-03-10,641.7,lb,0,0,0,0,0,0,2,0,0,0,4.6968230129134545,9.82507638153007,9.560888547885291,5.589234255087467,-18.52438251981271,17.394303901374382,0.0016064009942455826,0.2657659436007897,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005863658012498198,1,10.877251044906496,9.001953413807087,-0.226926,0.166926,3102.9411764705883,2918.866441679558
2025-03-07,640.67,lb,0,0,0,0,0,0,2,0,0,0,4.549198165569626,9.621738142511113,9.456083917873828,5.297374784496955,-18.111886472035646,17.214208892768006,0.022956486490454786,0.27181873117420624,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005742304666410001,1,10.593806868960725,9.079574722774142,-0.226926,0.166926,3102.9411764705883,2853.869896186386
2025-03-06,626.13,lb,0,0,0,0,0,0,2,0,0,0,4.532242083219985,9.98951484606521,9.07399839343589,4.987166566077015,-18.377425685383177,17.065413437865526,-0.030467193014927396,0.2678911662755746,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005961795765599739,1,10.475686245412435,9.027643397862454,-0.226926,0.166926,3102.9411764705883,2895.7106160031526
2025-03-05,645.5,lb,0,0,0,0,0,0,2,0,0,0,5.652735361809118,10.166211279992014,11.12063325485708,4.699660840711125,-19.281070543894945,20,-0.013540751588996258,0.2553359259171861,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.006067249140244489,1,14.210368475241324,10.923902193726903,-0.226926,0.166926,3102.9411764705883,3038.096935756873
2025-03-04,654.3,lb,0,0,0,0,0,0,2,0,0,0,5.522427827670228,9.95110589659583,11.09912382614558,4.499825144858868,-19.130399256526115,20,-0.0012829913783365399,0.25734695517766176,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005938873099600811,1,15.21529892532842,11.499937145188925,-0.226926,0.166926,3102.9411764705883,3014.35582784382
2025-03-03,655.14,lb,0,0,0,0,0,0,2,0,0,0,5.427400973840152,9.71763595483175,11.170208472651353,4.237456165840479,-18.705551085494527,20,0.01750743379751807,0.263191925086758,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005799536992527285,1,14.843394381401607,11.336286671786224,-0.226926,0.166926,3102.9411764705883,2947.412971966885
2025-02-28,643.77,lb,0,0,0,0,0,0,2,0,0,0,5.465660701849234,9.892235092679268,11.050406001559923,3.9692402005330587,-18.711169339824664,20,0.017455786377134963,0.2631128985360427,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.005903738689680448,1,14.086741893418353,10.991390535484358,-0.226926,0.166926,3102.9411764705883,2948.2982340806166
2025-02-27,632.63,lb,0,0,0,0,0,0,2,0,0,0,5.513560626594234,10.067742571556925,10.952923333917925,3.74886663025307,-18.713613295583528,20,0.011974096141609714,0.26307853658394653,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.006008482489607432,1,13.134538062364685,10.35119409023219,-0.226926,0.166926,3102.9411764705883,2948.6833254833596
2025-02-26,625.1,lb,0,0,0,0,0,0,2,0,0,0,5.518379410875195,10.065761400853,10.964653722881913,3.549297866167915,-18.4872322138664,20,-0.02070873827681119,0.2663000033237738,1.08,0.058823529411764705,Future,1,2,0.01,1,1,0.006007300116359522,1,12.854492886521681,10.072885201107674,-0.226926,0.166926,3102.9411764705883,2913.0127091079676
