Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-12-05,689.8,lf,0,0,0,0,0,0,1,0,0,0,6.765904855991135,9.049284183141449,14.953458680402187,15.160069797924823,20,-2.9103329366832162,0.016767805311142858,0.30590811171630555,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0023694951333556,1,-2.2634894536798584,-1.06260533110096,0.221396,-0.281396,4115.384615384615,2690.6018230736945
2025-12-04,678.33,lf,0,0,0,0,0,0,1,0,0,0,5.408716284563105,9.149861428459465,11.822509721819369,15.170916496293154,20,-6.4885603179207205,0.004432434897416293,0.30766129850869695,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.002395830618956918,1,-3.988713761112861,-3.4267837450822483,0.221396,-0.281396,4115.384615384615,2675.2696132615993
2025-12-03,675.33,lf,0,0,0,0,0,0,1,0,0,0,5.150334387347174,9.000804966778986,11.444163952794245,15.237545086955425,20,-6.920955482520864,0.002758008865694883,0.31414562530819123,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.002356801171610676,1,-4.435648770742582,-3.474014637852691,0.221396,-0.281396,4115.384615384615,2620.0489733684717
2025-12-02,673.47,lf,0,0,0,0,0,0,1,0,0,0,5.048934982369886,8.832068635973014,11.433187830550986,15.286441613427296,19.577203342887305,-6.510702965114749,-0.02223162158948533,0.3210315533798345,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0023126186808662824,1,-4.282411062726868,-3.1583923259757025,0.221396,-0.281396,4115.384615384615,2563.8505449434256
2025-12-01,688.61,lf,0,0,0,0,0,0,1,0,0,0,5.749711266642701,8.667664385403977,13.267037141689519,15.310780037858034,19.644698775264132,-4.482370613333254,0,0.3199285502872516,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.002269570516642195,1,-2.858894907522446,-2.2638143648584155,0.221396,-0.281396,4115.384615384615,2572.6898157038936
2025-11-30,688.61,lf,0,0,0,0,0,0,1,0,0,0,5.265330387765107,8.476744913502205,12.423000671822061,15.230913974125972,19.211992183375482,-5.0142771298645545,0.011847250926451558,0.32713421596321746,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0022195795173124535,1,-3.317176046979491,-2.413426387151428,0.221396,-0.281396,4115.384615384615,2516.02211848567
2025-11-28,680.5,lf,0,0,0,0,0,0,1,0,0,0,4.813184248334262,8.444631466319475,11.399394437829862,15.152609336415722,18.913800002158453,-5.88592064463861,-0.011237140506596077,0.3322917657627111,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0022111708238429176,1,-4.284029740990255,-2.4427367100252986,0.221396,-0.281396,4115.384615384615,2476.9705658751736
2025-11-27,688.19,lf,0,0,0,0,0,0,1,0,0,0,4.906989370984206,8.211904322016988,11.950917055446071,15.096267560594853,18.600396413400244,-4.942205492890448,0.012148650588965637,0.3378906481515729,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0021502327623715125,1,-3.8250675950701343,-1.8231672539475203,0.221396,-0.281396,4115.384615384615,2435.9269117969275
2025-11-26,679.88,lf,0,0,0,0,0,0,1,0,0,0,4.582228467962281,8.179653412166079,11.203967300489442,15.0453160685334,18.303625846779916,-5.499091789077697,-0.007882016281419268,0.3433691254733377,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0021417880752126776,1,-4.566866664503815,-1.717809665870696,0.221396,-0.281396,4115.384615384615,2397.06153528598
2025-11-25,685.26,lf,0,0,0,0,0,0,1,0,0,0,4.871888780010044,7.953302344705452,12.251234943314538,15.038532208584288,17.937951112413153,-3.9365397486251106,-0.02547321137130254,0.35036888887777257,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.002082519547235959,1,-3.467238422246631,-1.031664147610638,0.221396,-0.281396,4115.384615384615,2349.1723985917492
2025-11-24,702.94,lf,0,0,0,0,0,0,1,0,0,0,5.581460236276869,7.787170338890185,14.335015142541058,15.058782467958103,18.01639493644083,-1.6335204878224776,0.002392822677088624,0.3488433741695936,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0020390189817429184,1,-1.6598294683544645,-0.20705108915693846,0.221396,-0.281396,4115.384615384615,2359.445481904943
2025-11-23,701.26,lf,0,0,0,0,0,0,1,0,0,0,5.624381789536115,7.630094911366668,14.74262602201026,14.997505043312422,17.610795308119105,-0.7620798543930922,-0.0040842812167758424,0.3568776929172797,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.001997889821297267,1,-1.3778527981566078,0.5069043931359309,0.221396,-0.281396,4115.384615384615,2306.3277403211164
2025-11-21,704.13,lf,0,0,0,0,0,0,1,0,0,0,6.1139748717398925,7.4296356580960214,16.458343728006465,14.897570645449486,17.218302234471437,1.5912334546788063,-0.027579744488852143,0.3650127587734804,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.001945400893394463,1,0.08727032565189585,1.7312821939810257,0.221396,-0.281396,4115.384615384615,2254.9264465237725
2025-11-20,723.82,lf,0,0,0,0,0,0,1,0,0,0,7.269395502944499,7.269395502944499,20,14.755744882103118,17.31804399776664,6.260575602002945,-0.05356682632604226,0.36291049963901867,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0019034430699782165,1,3.430740798190919,3.7242027469553043,0.221396,-0.281396,4115.384615384615,2267.988729716072
2025-11-19,763.65,lf,0,0,0,0,0,0,1,0,0,0,7.618579092520932,7.618579092520932,20,14.510513191453272,19.148656047551313,12.946803643377514,-0.01937502251204748,0.3282162457977671,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0019948744803974404,1,7.895988798582746,6.900358222420127,0.221396,-0.281396,4115.384615384615,2507.7275534498317
2025-11-18,778.59,lf,0,0,0,0,0,0,1,0,0,0,7.438355199205599,7.438355199205599,20,14.633890091928558,19.061439554781625,13.265821418016369,0.04452999562480553,0.3297180143156298,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.00194768404748777,1,8.215111125531985,6.9458276379152935,0.221396,-0.281396,4115.384615384615,2496.305592478228
2025-11-17,744.68,lf,0,0,0,0,0,0,1,0,0,0,8.442707179253759,8.442707179253759,20,14.703631725392201,20,8.854056911902216,0.012295292232654909,0.3037225191818565,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0022106669620185885,1,5.548379194358015,4.57054299067309,0.221396,-0.281396,4115.384615384615,2709.963440623573
2025-11-16,735.58,lf,0,0,0,0,0,0,1,0,0,0,8.432163959828474,8.432163959828474,20,14.554790114606927,20,7.957260583077787,-0.009282755659856257,0.30786438803210514,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0022079062898358475,1,4.853051157389818,4.240960937556223,0.221396,-0.281396,4115.384615384615,2673.504812745961
2025-11-14,742.44,lf,0,0,0,0,0,0,1,0,0,0,8.208485648539703,8.208485648539703,20,14.386954315432929,20,8.772832693827798,0.023094770699168876,0.3133314619044608,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.002149337605362072,1,5.217385398002398,4.808709109229372,0.221396,-0.281396,4115.384615384615,2626.8569331473354
2025-11-13,725.49,lf,0,0,0,0,0,0,1,0,0,0,8.456013088330202,8.456013088330202,20,14.140698053884691,20,7.652795219273655,-0.005827314080814716,0.31126574804720447,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0022141510261902315,1,4.259308657096972,4.48674302207292,0.221396,-0.281396,4115.384615384615,2644.2900583847754
2025-11-12,729.73,lf,0,0,0,0,0,0,1,0,0,0,8.235021575968034,8.235021575968034,20,13.95591908728338,19.778661780448576,10.359067148798207,-0.04848145702661011,0.3177616397795271,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0021562858622217298,1,5.839307325693621,5.999626558647186,0.221396,-0.281396,4115.384615384615,2590.2337476858424
2025-11-11,765.98,lf,0,0,0,0,0,0,1,0,0,0,8.832935049479795,8.832935049479795,20,13.753251384498926,20,15.77716020848392,0.04006181980660006,0.28223179837205037,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0023128455455051025,1,9.565637176527854,8.465403061739483,0.221396,-0.281396,4115.384615384615,2916.315340172644
2025-11-10,735.9,lf,0,0,0,0,0,0,1.0210218150630228,0,0,0,10.21021815063023,10.21021815063023,20,14.002332593053385,20,13.493857537028976,0.0025852113180384606,0.2541409131577393,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.002673478004314232,1,7.3530637273513975,8.068487743538862,0.221396,-0.281396,4115.384615384615,3238.6635935555114
2025-11-09,734,lf,0,0,0,0,0,0,1.0030843557359268,0,0,0,10.030843557359269,10.030843557359269,20,14.10891970061341,20,12.968645336672024,3.270289449757158e-4,0.25935516017590327,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0026265099549965852,1,7.260589526779275,7.560719429417324,0.221396,-0.281396,4115.384615384615,3173.551366854182
2025-11-07,733.76,lf,0,0,0,0,0,0,1,0,0,0,9.824636507341053,9.824636507341053,20,14.183810663962701,20,12.68162333678666,-0.0024908986234697394,0.264885317354522,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0025725160045809237,1,7.257834440884609,7.235449372585862,0.221396,-0.281396,4115.384615384615,3107.295380873522
2025-11-06,735.59,lf,0,0,0,0,0,0,1,0,0,0,9.598359098975108,9.598359098975108,20,14.277104170287556,20,12.03844817768211,0.023674221336201562,0.27045536425704747,1.16,0.07692307692307693,Future,1,1,0.01,0.5,0,0.0025132667637503305,1,6.939278277375232,6.818948211404322,0.221396,-0.281396,4115.384615384615,3043.3004179375434
