Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-11-18,2.6524,lo,0,0,0,0,0,0,250,0,0,0,0,0,20,15.338507273451352,8.676085393965998,14.54926539461143,0.03854834084476433,0.3174300245955824,1.15,0,Future,1,250,0.1,0.0028,0,0.0033256076409963575,1,9.09611445647674,7.531617423079179,0.080162,-0.140162,0,0
2025-11-17,2.5521,lo,0,0,0,0,0,0,250,0,0,0,0,0,17.570635461196296,15.248966513084302,9.23090010065961,10.849826140707583,0.015319919003474736,0.29835118677139666,1.15,0,Future,1,250,0.1,0.0028,0,0.0036773297403228412,1,6.716404010193266,5.683397293472543,0.080162,-0.140162,0,0
2025-11-16,2.5133,lo,0,0,0,0,0,0,250,0,0,0,0,0,16.455753281125716,14.994508137267323,9.158396766216121,9.648178412213268,-0.009188547360271193,0.3007131128189658,1.15,0,Future,1,250,0.1,0.0028,0,0.003704770704874687,1,5.931519646745066,5.094969967212953,0.080162,-0.140162,0,0
2025-11-14,2.5365,lo,0,0,0,0,0,0,250,0,0,0,0,0,17.231357305771482,14.741339361694578,9.001721161514794,10.691258616509755,0.008591900497838645,0.30594704619094787,1.15,0,Future,1,250,0.1,0.0028,0,0.0036080861623225937,1,6.53190427853596,5.686676997475189,0.080162,-0.140162,0,0
2025-11-13,2.5148,lo,0,0,0,0,0,0,250,0,0,0,0,0,16.573682446239225,14.466658591458895,8.839135174866664,10.10221619226388,0.014983654388806666,0.3115745992697237,1.15,0,Future,1,250,0.1,0.0028,0,0.0035734896990111792,1,6.006878059013149,5.538511875002712,0.080162,-0.140162,0,0
2025-11-12,2.4774,lo,0,0,0,0,0,0,250,0,0,0,0,0,16.783226295989028,14.227219603744084,8.750084576349275,10.430745476209612,-0.047609274441532956,0.3147455291396794,1.15,0,Future,1,250,0.1,0.0028,0,0.0035908918746018056,1,6.149900923399802,5.770951049411185,0.080162,-0.140162,0,0
2025-11-11,2.5982,lo,0,0,0,0,0,0,250,0,0,0,0,0,20,14.055152425522108,9.843319981319802,15.845578065114008,0.035253533171683005,0.2797887303497711,1.15,0,Future,1,250,0.1,0.0028,0,0.00385172467176222,1,10.023003368461607,8.086228705954403,0.080162,-0.140162,0,0
2025-11-10,2.5082,lo,0,0,0,0,0,0,250,0,0,0,0,0,20,14.233922254417614,10.620970164085676,13.499708015287482,0.0027147892751432368,0.2593030540009136,1.15,0,Future,1,250,0.1,0.0028,0,0.0043051494874071835,1,8.095099650141606,7.333138081615517,0.080162,-0.140162,0,0
2025-11-09,2.5014,lo,0,0,0,0,0,0,250,0,0,0,0,0,20,14.313194336575705,10.407062097141448,13.17401840070557,0.0013201322049227748,0.2646328016776672,1.15,0,Future,1,250,0.1,0.0028,0,0.0042299108195924225,1,8.047249776888181,7.0087712524896135,0.080162,-0.140162,0,0
2025-11-07,2.4981,lo,0,0,0,0,0,0,250,0,0,0,0,0,20,14.42265246217368,10.19046275238594,13.243642894533549,-0.009918226731174373,0.270257599376945,1.15,0,Future,1,250,0.1,0.0028,0,0.00414734627254905,1,8.13901840925286,6.996573470214054,0.080162,-0.140162,0,0
