Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-09-26,45230.7,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.71177169476212,-16.032007007128122,-0.73258301877364,19.831750669930347,-0.008608297471367266,0.16312144417440305,174.8,0,Index,1,1,0.01,7,0,9.487541164561307e-4,1,12.265985059129173,10.398872849362654,-0.03478,-0.02522,0,0
2025-09-25,45621.74,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.86127337199573,-15.977186248209867,-0.729973289147736,20,-1.8476325643845826e-4,0.16370462012318224,174.8,0,Index,1,1,0.01,7,0,9.372711699228649e-4,1,13.830573505782853,11.724129824883171,-0.03478,-0.02522,0,0
2025-09-24,45630.17,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.874136254124384,-15.926044915805829,-0.7152728524292745,20,0.003211802657427043,0.1670691115902739,174.8,0,Index,1,1,0.01,7,0,9.182264316738993e-4,1,13.927572859525231,11.633812785017403,-0.03478,-0.02522,0,0
2025-09-23,45483.85,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.885559514731895,-15.970504781329819,-0.7022176974492628,20,-0.0053285535216520685,0.17017514715745855,174.8,0,Index,1,1,0.01,7,0,9.043669580295765e-4,1,13.841506857603017,11.31941474537403,-0.03478,-0.02522,0,0
2025-09-22,45726.86,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.894753323432962,-15.976338349246161,-0.6917104875051855,20,0.010738482470028288,0.17276013904459434,174.8,0,Index,1,1,0.01,7,0,8.861007723392084e-4,1,14.34536795967795,11.74723190664725,-0.03478,-0.02522,0,0
2025-09-21,45238.45,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.893683838307684,-16.012561269792688,-0.6929327562197907,20,-0.0010132259317643388,0.1724554062820143,174.8,0,Index,1,1,0.01,7,0,8.972500890991956e-4,1,13.622869654402555,11.007730759287119,-0.03478,-0.02522,0,0
2025-09-19,45284.31,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.906099167414585,-15.991704099033454,-0.6787438086690469,20,-0.010875559349015518,0.176060537825499,174.8,0,Index,1,1,0.01,7,0,8.77987354866076e-4,1,14.21435947385164,11.554176985163313,-0.03478,-0.02522,0,0
2025-09-18,45779.49,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.905475239043785,-15.971135915568244,-0.679456869664246,20,0.01800814363148362,0.17587576980279998,174.8,0,Index,1,1,0.01,7,0,8.694028879996803e-4,1,15.217216183903542,12.299639630642952,-0.03478,-0.02522,0,0
2025-09-17,44962.465,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.87936470630214,-15.95291898071826,-0.7092974785118398,20,0.004062288124279334,0.16847656113302434,174.8,0,Index,1,1,0.01,7,0,9.240775894439968e-4,1,13.87587861645348,12.078154858441454,-0.03478,-0.02522,0,0
2025-09-16,44780.185,ny,0,0,0,0,0,0,1,0,0,0,0,0,16.890052787163803,-15.928811622914159,-0.6970825289556558,20,-0.003433900082397301,0.17142876924347913,174.8,0,Index,1,1,0.01,7,0,9.118605967120426e-4,1,13.716049662988897,11.711487233705206,-0.03478,-0.02522,0,0
