Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-07-24,345.8,oj,0,0,0,0,0,0,300,0,0,0,221.99793749714777,886.3100577596038,5.009487042453508,-12.977851529208007,3.3400452828197484,10.544031171712424,0.013391757631666223,0.5650222796999863,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.003070864743928672,1,7.703047992272827,4.3472733468270865,0.045488,-0.105488,3732.142857142857,1321.0604222985821
2025-07-23,341.2,oj,0,0,0,0,0,0,300,0,0,0,190.53520089823246,880.0241432997187,4.33022667273209,-13.081545405052905,3.272241119972794,9.853482625662444,0.020893785112214402,0.5767301157855049,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.003049085465978237,1,7.247966166793201,4.013156833963878,0.045488,-0.105488,3732.142857142857,1294.2424038528623
2025-07-22,334.145,oj,0,0,0,0,0,0,300,0,0,0,154.8831796037586,883.5087977489023,3.5060925255840445,-13.23477095495724,3.2172701797107575,9.015713274005005,0.0117402272629068,0.5865842452092928,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.00306115900886437,1,6.671406463243716,3.6322658499048632,0.045488,-0.105488,3732.142857142857,1272.5002035508921
2025-07-21,330.245,oj,0,0,0,0,0,0,300,0,0,0,122.23305815383493,874.7962899400954,2.794549075241397,-13.340178372040937,3.148363520894856,8.289677797277495,0.023545637799453623,0.5994225214068049,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.0030309721314538867,1,6.279610288274578,3.194307194328273,0.045488,-0.105488,3732.142857142857,1245.2461240140813
2025-07-18,322.56,oj,0,0,0,0,0,0,300,0,0,0,83.62761549698553,881.3088326163772,1.8978050009714948,-13.449722022075129,3.0979922098702,7.344784907212745,0.009062518230213534,0.6091687364440048,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.003053536625135113,1,5.717280640714652,2.6767592532427704,0.045488,-0.105488,3732.142857142857,1225.3231769342183
2025-07-17,319.65,oj,0,0,0,0,0,0,300,0,0,0,41.67642848722793,869.2972825137236,0.9588533019846402,-13.496418310154288,3.0282011425563873,6.329940928924254,0.01789735760056388,0.6232082715637701,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.0030119193091549578,1,5.181663141142735,2.0525550633421266,0.045488,-0.105488,3732.142857142857,1197.7192946358266
2025-07-16,313.98,oj,0,0,0,0,0,0,300,0,0,0,-9.649370736053202,867.441810394681,-0.22247880193053626,-13.524725232761943,2.968137558681783,5.024032349119468,-0.0038780683715522457,0.6358195881049893,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.0030054905161340205,1,4.4837754597809125,1.2579757963556224,0.045488,-0.105488,3732.142857142857,1173.9628432229395
2025-07-15,315.2,oj,0,0,0,0,0,0,300,0,0,0,-55.61014351035186,843.6068645734896,-1.3183900189922522,-13.519505279291181,2.897797290719077,3.804122544009192,-0.0062936054288202925,0.6512532833280753,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.0029229077967403536,1,3.814736612694247,0.5328320090305442,0.045488,-0.105488,3732.142857142857,1146.1417401446722
2025-07-14,317.19,oj,0,0,0,0,0,0,300,0,0,0,-119.75742114004446,818.585530198579,-2.925959883776415,-13.486246504443773,2.8296012501019954,1.9843684742835577,0.0819255809255175,0.6669490974857233,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.0028362145081950434,1,2.692039928136347,-0.4241902432408526,0.045488,-0.105488,3732.142857142857,1119.1687255331349
2025-07-11,292.24,oj,0,0,0,0,0,0,300,0,0,0,-288.4949625678424,937.1153115014588,-6.157085665490022,-13.542279063597746,2.9845192284902202,-1.7577894144348338,0.0897650840832469,0.6323296502782723,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.003246893506274647,1,-0.22608750904473843,-1.7828146788807862,0.045488,-0.105488,3732.142857142857,1180.4421492809756
2025-07-10,267.15,oj,0,0,0,0,0,0,300,0,0,0,-559.1998509278396,1115.8721512794414,-10.022650897536424,-13.685962261567553,3.2487126970623867,-6.235833386360474,0.05897662621212074,0.5809070164026754,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.0038662456982128815,1,-3.796514573262173,-3.3301521540069396,0.045488,-0.105488,3732.142857142857,1284.936401785788
2025-07-09,251.85,oj,0,0,0,0,0,0,300,0,0,0,-835.8758463375801,1219.798943438121,-13.705141340450478,-13.914800520933335,3.347895520317744,-10.379566174492751,-0.009720323096764183,0.5636973999179308,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.004226328627652291,1,-7.265533223105506,-4.596828119171924,0.045488,-0.105488,3732.142857142857,1324.1653616590118
2025-07-08,254.31,oj,0,0,0,0,0,0,300,0,0,0,-900.4095617178865,1181.699008246453,-15.239236987327631,-14.199291063468605,3.2750052244582073,-11.954127923154951,0.06973464875177449,0.5762433555544035,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.004094320932713334,1,-8.210442017844686,-5.451418465760973,0.045488,-0.105488,3732.142857142857,1295.3356671860151
2025-07-07,237.18,oj,0,0,0,0,0,0,300,0,0,0,-1338.6346874833475,1338.6346874833475,-20,-14.60015296947434,3.4600456401932096,-18.725526789202647,0.05846877631283576,0.5454263313979345,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.004638067717728146,1,-14.012992549273267,-7.387609495529757,0.045488,-0.105488,3732.142857142857,1368.523168867674
2025-07-03,223.71,oj,0,0,0,0,0,0,300,0,0,0,-1474.6550987724233,1474.6550987724233,-20,-14.63440497939428,3.5951543683307414,-20,0.06005764208543418,0.5249287809792273,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.0051093478096388215,1,-18.65657134140241,-9.410060169693692,0.045488,-0.105488,3732.142857142857,1421.9616040792196
2025-07-02,210.67,oj,0,0,0,0,0,0,300,0,0,0,-1644.3184818428956,1644.3184818428956,-20,-14.597025851203979,3.7751161800836925,-20,-0.06340458944973104,0.4999051446300553,1.16,0.07142857142857142,Future,0.01,300,0.01,0.6,0,0.005697193222026202,1,-20,-10.665007371939073,0.045488,-0.105488,3732.142857142857,1493.1404076286328
