Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-07-10,2.16185,rb,0,0,0,0,0,0,250,0,0,0,0,0,13.01220047071628,19.951838529790745,7.482112231074173,1.154110871814718,-0.018242742648232446,0.2954747177967162,1.17538,0,Future,1,250,0.1,0.0025,0,0.003913759411706662,1,2.18347521871876,-0.8644913652162255,0.058431,-0.118431,0,0
2025-07-09,2.20165,rb,0,0,0,0,0,0,250,0,0,0,0,0,14.61222554827583,19.769543309417234,7.4562237404714224,3.0868028159423355,0.0022736066907075303,0.29650062510868574,1.17538,0,Future,1,250,0.1,0.0025,0,0.0038297120012668775,1,3.4826648010883723,0.04510984570286832,0.058431,-0.118431,0,0
2025-07-08,2.19665,rb,0,0,0,0,0,0,250,0,0,0,0,0,13.464485674882155,19.57231804374633,7.287012798103886,1.9583182075116408,0.01495200648635453,0.30338563431304166,1.17538,0,Future,1,250,0.1,0.0025,0,0.0037513201630139086,1,2.6853878886825977,-0.4473099372407225,0.058431,-0.118431,0,0
2025-07-07,2.16405,rb,0,0,0,0,0,0,250,0,0,0,0,0,11.421162902198159,19.371651492368294,7.206670257043012,-0.23640327219347046,0.023092151907175174,0.30676788602051414,1.17538,0,Future,1,250,0.1,0.0025,0,0.003765848325585703,1,0.912914711830128,-1.183089880051237,0.058431,-0.118431,0,0
2025-07-06,2.11465,rb,0,0,0,0,0,0,250,0,0,0,0,0,9.259980893279806,19.16455252137973,7.248326952856931,-2.623604430512838,-0.008053924469442975,0.3050048672443815,1.17538,0,Future,1,250,0.1,0.0025,0,0.0038760979400007654,1,-0.812168631130405,-2.1862364323128385,0.058431,-0.118431,0,0
2025-07-04,2.13175,rb,0,0,0,0,0,0,250,0,0,0,0,0,9.914185741225094,18.95065046048171,7.104982917398283,-1.6973186989684612,-9.377564864915255e-4,0.31115838358828113,1.17538,0,Future,1,250,0.1,0.0025,0,0.0037689660919632217,1,-0.2881340901929861,-1.6516587086281125,0.058431,-0.118431,0,0
2025-07-03,2.13375,rb,0,0,0,0,0,0,250,0,0,0,0,0,8.64760700744259,18.724219059426755,6.939349262616873,-2.9488047239445696,0.0015477701134035682,0.3185853480397242,1.17538,0,Future,1,250,0.1,0.0025,0,0.003677652378139891,1,-0.526431194369458,-2.843631347281479,0.058431,-0.118431,0,0
2025-07-02,2.13045,rb,0,0,0,0,0,0,250,0,0,0,0,0,6.852066085538187,18.495045434186974,6.777070543613877,-4.805125319713926,0.011329158912947723,0.3262139571622495,1.17538,0,Future,1,250,0.1,0.0025,0,0.0035972127498736304,1,-1.2289559420569,-4.262615851901872,0.058431,-0.118431,0,0
2025-07-01,2.10645,rb,0,0,0,0,0,0,250,0,0,0,0,0,5.39177282712396,18.264512906890115,6.65606645462422,-6.298263592615499,0.011699111565595222,0.3321443701127851,1.17538,0,Future,1,250,0.1,0.0025,0,0.00357323811830244,1,-2.6464187075353953,-4.551596826882318,0.058431,-0.118431,0,0
2025-06-30,2.08195,rb,0,0,0,0,0,0,250,0,0,0,0,0,4.3200832448062325,18.026445169623887,6.537818017828874,-7.3448935996621145,0.004525221345915598,0.33815181058437754,1.17538,0,Future,1,250,0.1,0.0025,0,0.0035510598844689894,1,-3.853698582048989,-4.540465531850571,0.058431,-0.118431,0,0
2025-06-29,2.07255,rb,0,0,0,0,0,0,250,0,0,0,0,0,4.238892607415441,17.78868939880813,6.387439866566535,-7.243615938498257,-0.0030832253739681015,0.34611284742917925,1.17538,0,Future,1,250,0.1,0.0025,0,0.0034851162717613876,1,-4.251861382572596,-4.026556832853985,0.058431,-0.118431,0,0
2025-06-27,2.07895,rb,0,0,0,0,0,0,250,0,0,0,0,0,4.987916341485784,17.546449063790313,6.236545071695851,-6.191021248902186,-0.009764814444852887,0.3544871358395944,1.17538,0,Future,1,250,0.1,0.0025,0,0.003392309626501471,1,-3.9384937238550894,-3.1369591320331236,0.058431,-0.118431,0,0
2025-06-26,2.09935,rb,0,0,0,0,0,0,250,0,0,0,0,0,6.236940862910703,17.296148539831442,6.108211379353832,-4.574247544837549,0.007170716960547718,0.3619349205026809,1.17538,0,Future,1,250,0.1,0.0025,0,0.0032902179862522125,1,-3.2793911067140544,-1.9483203731002876,0.058431,-0.118431,0,0
2025-06-25,2.08435,rb,0,0,0,0,0,0,250,0,0,0,0,0,7.37010604862063,17.036274606071547,5.971110945772766,-3.080714434641437,-0.01211240100901445,0.37024517214256636,1.17538,0,Future,1,250,0.1,0.0025,0,0.003239514721265738,1,-2.5117340391692284,-1.0090824575638426,0.058431,-0.118431,0,0
2025-06-24,2.10975,rb,0,0,0,0,0,0,250,0,0,0,0,0,9.53022222706754,16.06460873740265,5.855076904137883,-0.0681602755502199,-0.024487388628163798,0.3775825725598253,1.17538,0,Future,1,250,0.1,0.0025,0,0.0031383188980736226,1,-0.8175976527253664,0.7397001949536866,0.058431,-0.118431,0,0
2025-06-23,2.16205,rb,0,0,0,0,0,0,250,0,0,0,0,0,12.96990632203983,12.706265872924636,5.828707678335093,5.555263306701371,-0.09530807742032665,0.3792907659818487,1.17538,0,Future,1,250,0.1,0.0025,0,0.003048610953095902,1,3.080760280150107,3.268112070365746,0.058431,-0.118431,0,0
2025-06-22,2.37825,rb,0,0,0,0,0,0,250,0,0,0,0,0,20,8.730266648724804,9.286564158021323,17.83548397999605,0.015679948328268134,0.23806167301287962,1.17538,0,Future,1,250,0.1,0.0025,0,0.004415633524159788,1,12.841971428169709,7.541438834682921,0.058431,-0.118431,0,0
2025-06-20,2.34125,rb,0,0,0,0,0,0,250,0,0,0,0,0,20,9.167832931616964,9.31054129351364,17.02859958930502,0.006642407109630155,0.2374486004954596,1.17538,0,Future,1,250,0.1,0.0025,0,0.004496997064383257,1,12.235966250163294,7.225290423328158,0.058431,-0.118431,0,0
2025-06-19,2.32575,rb,0,0,0,0,0,0,250,0,0,0,0,0,20,9.697932885217236,9.148733123693928,16.25349793959293,0.007206383132783434,0.241648211846338,1.17538,0,Future,1,250,0.1,0.0025,0,0.004448293078343127,1,11.705271049747715,6.87015516692992,0.058431,-0.118431,0,0
2025-06-18,2.30905,rb,0,0,0,0,0,0,250,0,0,0,0,0,20,9.77398487091901,8.993631965811806,15.353665210825426,0.007476832849051651,0.24581559579088752,1.17538,0,Future,1,250,0.1,0.0025,0,0.004404506327188299,1,11.093841266138627,6.45320468909043,0.058431,-0.118431,0,0
2025-06-17,2.29185,rb,0,0,0,0,0,0,250,0,0,0,0,0,20,10.25298067801696,8.841613204302789,14.348010954954447,0.017252050726727974,0.2500420397178336,1.17538,0,Future,1,250,0.1,0.0025,0,0.004362553698546228,1,10.46272515103305,5.935001654629174,0.058431,-0.118431,0,0
2025-06-16,2.25265,rb,0,0,0,0,0,0,250,0,0,0,0,0,19.89356822520896,10.586901488403939,8.877921409079706,13.003095094354133,-0.007958833159170231,0.2490194380115797,1.17538,0,Future,1,250,0.1,0.0025,0,0.004456696302400586,1,9.640425815844505,5.22025429198879,0.058431,-0.118431,0,0
2025-06-15,2.27065,rb,0,0,0,0,0,0,250,0,0,0,0,0,19.532595894417078,10.99442652137062,8.731187959960014,12.460159495811341,0.007714706078716382,0.253204376098453,1.17538,0,Future,1,250,0.1,0.0025,0,0.004348291039599463,1,9.15998025047402,5.0802020304532265,0.058431,-0.118431,0,0
2025-06-13,2.2532,rb,0,0,0,0,0,0,250,0,0,0,0,0,18.034863401858193,11.408186567107627,8.580869149230397,10.616744601097494,0.031078907842354897,0.25763998512881187,1.17538,0,Future,1,250,0.1,0.0025,0,0.0043065252775621185,1,7.781976343500055,4.351446057754225,0.058431,-0.118431,0,0
