Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-07-24,16.604,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-15.116877806812724,-14.647388280915182,0.26841694382604314,-10.08694611066997,0.020074887916326833,0.2725237794504036,1.16,0,Future,0.01,5000,1,0.04,0,0.008839808633057753,1,-6.230037146158155,-5.297901266036097,-0.027074,-0.032926,0,0
2025-07-23,16.274,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-18.192109104882665,-14.59156389073923,0.2704698034712157,-13.630434790517608,6.146659484200789e-4,0.2704553301743528,1.16,0,Future,0.01,5000,1,0.04,0,0.009088038007737316,1,-8.250783852748642,-7.326855907842911,-0.027074,-0.032926,0,0
2025-07-22,16.264,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-17.262941367722462,-14.403895971208515,0.2645277934826603,-12.659391759962741,-0.006740634628211062,0.27653048867545515,1.16,0,Future,0.01,5000,1,0.04,0,0.008893845986965599,1,-7.774345114919902,-6.693531182180373,-0.027074,-0.032926,0,0
2025-07-21,16.374,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-14.711458815201908,-14.281381246346477,0.2594863510183146,-9.8021483411381,-0.02538651210999987,0.28190307394949266,1.16,0,Future,0.01,5000,1,0.04,0,0.008665734792970795,1,-6.32539713912277,-4.877058107892201,-0.027074,-0.032926,0,0
2025-07-18,16.795,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-11.55681923623567,-14.180841948312729,0.26533586609487936,-6.250040371731842,0.0023845018749826252,0.2756883231679008,1.16,0,Future,0.01,5000,1,0.04,0,0.008638962946727976,1,-4.268977674056897,-2.873925607922351,-0.027074,-0.032926,0,0
2025-07-17,16.755,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-12.367655376573381,-14.049696064074162,0.25957063872667213,-7.23940057483869,0.011706572232160095,0.28181153445874474,1.16,0,Future,0.01,5000,1,0.04,0,0.008471431324357034,1,-4.801368598573954,-3.4722320583845487,-0.027074,-0.032926,0,0
2025-07-16,16.56,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-13.867826055473703,-13.967631027769453,0.2561169731136449,-8.993187036070614,-3.018867947455206e-4,0.2856116840313494,1.16,0,Future,0.01,5000,1,0.04,0,0.008457143290163654,1,-5.976800847943066,-4.301127193280493,-0.027074,-0.032926,0,0
2025-07-15,16.565,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-14.601467792831077,-13.775188764504822,0.2503800763705332,-9.924987419168374,0.014594360589364364,0.2921558338841087,1.16,0,Future,0.01,5000,1,0.04,0,0.008265211822043103,1,-6.227791498401014,-5.115051266362843,-0.027074,-0.032926,0,0
2025-07-14,16.325,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-16.166519771069996,-13.589967173132937,0.24797647873444428,-11.80502724830932,-0.014654727013577507,0.29498765517327796,1.16,0,Future,0.01,5000,1,0.04,0,0.008306211009392711,1,-7.324710334041005,-6.166749378312503,-0.027074,-0.032926,0,0
2025-07-11,16.566,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-15.405129074166226,-13.369630278333007,0.24552620075849024,-11.043809760259856,0.017660772036628636,0.2979315436561222,1.16,0,Future,0.01,5000,1,0.04,0,0.008104492925656157,1,-6.4778851196559195,-6.1436117492124875,-0.027074,-0.032926,0,0
2025-07-10,16.276,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-17.276979254062734,-13.132815407461683,0.24442756295298484,-13.30092522524592,-0.017056943747042475,0.2992706678259121,1.16,0,Future,0.01,5000,1,0.04,0,0.008211985188276833,1,-7.94139871369821,-7.259658686582841,-0.027074,-0.032926,0,0
2025-07-09,16.556,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-16.3977723700094,-12.742500341333553,0.24296491566606515,-12.490543567177001,0.0241476415199795,0.30107227539196846,1.16,0,Future,0.01,5000,1,0.04,0,0.008024792449596788,1,-7.215077916052461,-7.05982901786411,-0.027074,-0.032926,0,0
2025-07-08,16.161,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-19.36603053712371,-12.318481079938605,0.24571038449436342,-16.09622098041926,-0.005861139029564644,0.2977082151026385,1.16,0,Future,0.01,5000,1,0.04,0,0.008313826214433719,1,-9.680615654374755,-8.715065466104402,-0.027074,-0.032926,0,0
2025-07-07,16.256,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-19.089027958226424,-11.81965451795012,0.24062524359447923,-16.026517315080948,-0.008026266168015717,0.3039996922487407,1.16,0,Future,0.01,5000,1,0.04,0,0.008094185566630408,1,-9.459187013752876,-8.856832774911064,-0.027074,-0.032926,0,0
2025-07-03,16.387,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-20,-11.282845903040734,0.23598655866590418,-17.33764113379561,0.051399289026890393,0.3099752817005201,1.16,0,Future,0.01,5000,1,0.04,0,0.007874690148235865,1,-10.098248305904605,-9.716198704147525,-0.027074,-0.032926,0,0
2025-07-02,15.566,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-20,-10.695050270996086,0.27277675948786045,-20,-0.009335703074913493,0.2681680071914462,1.16,0,Future,0.01,5000,1,0.04,0,0.009582437615110299,1,-16.653122317280555,-12.607361478595564,-0.027074,-0.032926,0,0
2025-07-01,15.712,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-20,-10.905583091338695,0.26854195862153485,-20,-0.03040128829214961,0.2723969109910779,1.16,0,Future,0.01,5000,1,0.04,0,0.009346012177553275,1,-14.84380424236233,-12.271853997719152,-0.027074,-0.032926,0,0
2025-06-30,16.197,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-20,-11.140315066873416,0.2821818400146649,-20,-0.031061606730669045,0.25923000571616645,1.16,0,Future,0.01,5000,1,0.04,0,0.00952664845918751,1,-11.759367821124611,-11.614800847304043,-0.027074,-0.032926,0,0
2025-06-27,16.708,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-20,-11.332462714932264,0.3008711356337336,-17.498803385912773,0.01872827046094283,0.24312734369125172,1.16,0,Future,0.01,5000,1,0.04,0,0.009846949701731656,1,-9.88333373071209,-10.115298710331082,-0.027074,-0.032926,0,0
2025-06-26,16.398,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-20,-11.485779496744092,0.304865253366986,-20,-0.014529859687710367,0.2399420701182518,1.16,0,Future,0.01,5000,1,0.04,0,0.010166295003282954,1,-12.154030050194097,-11.606609834073645,-0.027074,-0.032926,0,0
2025-06-25,16.638,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-20,-11.558492476871198,0.304827164620782,-19.3857956546091,0.018073146429839593,0.23997205134588864,1.16,0,Future,0.01,5000,1,0.04,0,0.010018396304526592,1,-11.3561242956836,-10.799070738155372,-0.027074,-0.032926,0,0
