Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-07-24,39.0545,si,0,0,0,0,0,0,33.35293663317652,0,0,0,186.69598401638027,222.35291088784348,16.792762754570024,4.373165525684561,-5.989707800953079,20,-0.0060755544461108535,0.19941707336874429,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.0032100115001957277,1,14.265259668991948,11.963372167986398,-0.052019,0.017778,3732.142857142857,3743.052482012622
2025-07-23,39.2925,si,0,0,0,0,0,0,32.663797640546846,0,0,0,183.19354309532952,217.75865093697894,16.82537454260287,4.3596946734360005,-5.901695718915158,20,0.0012223539472242528,0.20239098335275785,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.0031436861833007194,1,14.978174884341376,12.425467602724593,-0.052019,0.017778,3732.142857142857,3688.052496526399
2025-07-22,39.2445,si,0,0,0,0,0,0,32.04603824551192,0,0,0,180.19589338836184,213.64025497007944,16.869095518875735,4.34093834961211,-5.783005735039,20,0.006980697264233893,0.2065448409920944,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.0030842307061346233,1,14.462450939878453,12.185138367226598,-0.052019,0.017778,3732.142857142857,3613.88145955745
2025-07-21,38.9715,si,0,0,0,0,0,0,31.822712254981102,0,0,0,179.21347361564023,212.15141503320734,16.89486479150644,4.3195898064338305,-5.7027559972762525,20,0.019694092329532342,0.2094513601091284,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.00306273697663845,1,13.144078785484453,11.792222601031508,-0.052019,0.017778,3732.142857142857,3563.73227196838
2025-07-20,38.2115,si,0,0,0,0,0,0,33.59396361489046,0,0,0,187.5927708815343,223.9597574326031,16.752364177567678,4.299192177475319,-5.902769300503881,19.94734762159163,0.0011521492783965748,0.20235417296387267,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.003233208839358649,1,11.760531367346688,11.036437343043746,-0.052019,0.017778,3732.142857142857,3688.723392730997
2025-07-18,38.1675,si,0,0,0,0,0,0,32.95363961294722,0,0,0,181.98081071782866,219.69093075298144,16.56698436244929,4.2842186948609715,-5.78359106612605,19.6833825998603,0.0012846395600427662,0.20652393752313877,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.003171581659938274,1,11.670724527760099,10.82456987208024,-0.052019,0.017778,3732.142857142857,3614.2472411700082
2025-07-17,38.1185,si,0,0,0,0,0,0,32.32452086049412,0,0,0,175.58687436325494,215.49680573662746,16.296007150829972,4.266036316753999,-5.665893077810655,19.32393655290544,0.005840969049862199,0.2108140735443502,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.00311103291568304,1,11.496742672211722,10.587756245394495,-0.052019,0.017778,3732.142857142857,3540.6961161515665
2025-07-16,37.8965,si,0,0,0,0,0,0,31.981919768301456,0,0,0,169.0856860406625,213.212798455343,15.860744501796606,4.245830057749118,-5.5731933120723545,18.790246772072027,0.0025099751611619148,0.21432057585597222,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.0030780597038182673,1,11.200497706669935,10.274070032840953,-0.052019,0.017778,3732.142857142857,3482.766731320219
2025-07-15,37.8015,si,0,0,0,0,0,0,31.415878584197564,0,0,0,172.1638708979036,209.43919056131708,16.44046373904406,4.228819620928628,-5.460830785451792,19.405106998311936,-0.012291384590282117,0.21873045456419124,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.003023581780913256,1,11.667011002141201,10.510254138786728,-0.052019,0.017778,3732.142857142857,3412.54981120846
2025-07-14,38.269,si,0,0,0,0,0,0,30.953840350514398,0,0,0,174.9876656720867,206.358935670096,16.959543341688658,4.211730108816985,-5.447059613528623,20,-0.00630374580272397,0.2192834455186422,1.16,0.07142857142857142,Future,1,30,0.01,0.025,0,0.0029791134913600727,1,13.381593090147309,11.484375794547594,-0.052019,0.017778,3732.142857142857,3403.944012568493
