Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-03-14,445.79,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-9.200781546276124,2.9220035244163727,-17.945794163356975,-3.0032835905595547,-0.014807168546672855,0.20638819136590164,1.08,0,Future,0.01,150,0.1,0.9,0,0.00978199287358636,1,-3.171149447680972,-0.26117465581566174,-0.178152,0.118152,0,0
2025-03-13,452.44,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-7.2576049719473055,2.7065381371060044,-18.04185191851103,-0.6267487915229789,0.005807654920154448,0.20528934705421692,1.08,0,Future,0.01,150,0.1,0.9,0,0.009689806451112592,1,-1.6049934840495328,0.888709150880414,-0.178152,0.118152,0,0
2025-03-12,449.82,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-7.760007510951429,2.3780075942990258,-17.716008219675818,-1.1995796998275228,-0.01622968368887623,0.2090651547500679,1.08,0,Future,0.01,150,0.1,0.9,0,0.009570223801857165,1,-1.8275154849170756,0.4565672565427638,-0.178152,0.118152,0,0
2025-03-11,457.18,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-6.210968778028755,2.12849350961765,-17.89238034419089,0.7836933852537569,-0.005453408799077408,0.20700431852839027,1.08,0,Future,0.01,150,0.1,0.9,0,0.0095098984700084,1,-0.10809085542805258,1.0037404385752033,-0.178152,0.118152,0,0
2025-03-10,459.68,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-6.361951292594786,1.8426573428682766,-17.556853847364874,0.586296774997114,0.007577365410502246,0.21096034814665313,1.08,0,Future,0.01,150,0.1,0.9,0,0.009280813965347657,1,-0.33082205927140634,1.0008755164109653,-0.178152,0.118152,0,0
2025-03-07,456.21,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-8.468719536116353,1.4803987264787237,-17.27815764622703,-1.7796571528302516,0.012195676524512145,0.21436313268091903,1.08,0,Future,0.01,150,0.1,0.9,0,0.009202961678769281,1,-2.3484601127354976,0.3145662237866387,-0.178152,0.118152,0,0
2025-03-06,450.68,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-10.767034552165176,1.1126624102000906,-17.178137548049396,-4.272444776406978,0.016713854940540784,0.21561126691645177,1.08,0,Future,0.01,150,0.1,0.9,0,0.009261957254647908,1,-4.472165789109554,-0.41062824106984913,-0.178152,0.118152,0,0
2025-03-05,443.21,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-11.493257277858302,0.7421164449211833,-17.335795932623654,-4.838311430843967,0.008679056054391232,0.2136504152676338,1.08,0,Future,0.01,150,0.1,0.9,0,0.00950449874081471,1,-4.8063910575769935,-0.7231077205303967,-0.178152,0.118152,0,0
2025-03-04,439.38,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-10.594991148723361,0.32420483238571773,-17.09100101000391,-3.725163224017602,-0.008408267380729306,0.2167105366053192,1.08,0,Future,0.01,150,0.1,0.9,0,0.009451967015553737,1,-3.9533427388841695,-0.3039866599930901,-0.178152,0.118152,0,0
2025-03-03,443.09,zc,0,0,0,0,0,0,150,0,0,0,-0,0,-9.026807487044488,-0.13236801587615277,-16.834854537049907,-1.8327401373020993,-0.02687609580704553,0.22000784098542284,1.08,0,Future,0.01,150,0.1,0.9,0,0.009232353004259898,1,-2.748435515376164,0.6538753584594793,-0.178152,0.118152,0,0
