Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-07-24,268.05,zm,0,0,0,0,0,0,5.865628323944548,0,0,0,-39.10418882629699,39.10418882629699,-20,-12.160522778855132,-20,-13.927747005611273,-0.004949491897122016,0.16521031024178554,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.015806840888372815,1,-9.243033795313794,-6.674391353956232,-0.207299,0.147299,3732.142857142857,4518.050782279703
2025-07-23,269.38,zm,0,0,0,0,0,0,5.749340792632183,0,0,0,-38.328938617547884,38.328938617547884,-20,-12.04620466345288,-20,-12.951379922611803,-0.005663640229478517,0.1677197081006203,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.015493466360830276,1,-8.365753198552358,-6.43582385586113,-0.207299,0.147299,3732.142857142857,4450.452364135797
2025-07-22,270.91,zm,0,0,0,0,0,0,5.6383287232243156,0,0,0,-37.58885815482877,37.58885815482877,-20,-12.000044381779967,-20,-12.984310732060678,0.011172885849584091,0.17005604330541343,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.01519430827905139,1,-8.053106906611184,-6.78610535860102,-0.207299,0.147299,3732.142857142857,4389.309294277872
2025-07-21,267.9,zm,0,0,0,0,0,0,5.7323605396396395,0,0,0,-38.21573693093092,38.21573693093092,-20,-11.938523696015674,-20,-15.907758810535396,-0.010840617004115316,0.16914582683992135,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.015447707553337861,1,-9.89895709053943,-8.281338692929594,-0.207299,0.147299,3732.142857142857,4412.929277498446
2025-07-18,270.82,zm,0,0,0,0,0,0,5.695252091638459,0,0,0,-37.96834727758972,37.96834727758972,-20,-11.879441385997147,-20,-15.677511899182136,0.019086540788910256,0.16841230221032968,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.015347706786024552,1,-9.636580211355449,-8.280576244852705,-0.207299,0.147299,3732.142857142857,4432.1499179814
2025-07-17,265.7,zm,0,0,0,0,0,0,6.18692997943883,0,0,0,-41.24619986292553,41.24619986292553,-20,-11.833824248247907,-20,-20,0.004450989959305929,0.1580158833759781,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.016672692569570623,1,-14.286546949827702,-11.019059258790017,-0.207299,0.147299,3732.142857142857,4723.756596370394
2025-07-16,264.52,zm,0,0,0,0,0,0,6.121340797596076,0,0,0,-40.808938650640506,40.808938650640506,-20,-11.960593879287625,-20,-20,0.008656747810942278,0.16042144566402095,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.016495941213342556,1,-15.63365562655737,-11.72255882824678,-0.207299,0.147299,3732.142857142857,4652.9226085635455
2025-07-15,262.24,zm,0,0,0,0,0,0,6.16204110346349,0,0,0,-41.080274023089935,41.080274023089935,-20,-12.052485935683297,-20,-20,-0.006688988150796327,0.16074740532501097,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.016605621408442555,1,-16.999750861969787,-12.372871221532119,-0.207299,0.147299,3732.142857142857,4643.487525782373
2025-07-14,264,zm,0,0,0,0,0,0,6.062938278070568,0,0,0,-40.419588520470455,40.419588520470455,-20,-12.062431982630835,-20,-20,-0.010999884889089984,0.16228576414630608,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.016338556653217724,1,-15.775906118386844,-11.996430328534254,-0.207299,0.147299,3732.142857142857,4599.470417846638
2025-07-11,266.92,zm,0,0,0,0,0,0,6.048498759576193,0,0,0,-40.32332506384129,40.32332506384129,-20,-12.11826545827414,-20,-20,-0.002170578300654924,0.16089360647273376,1.16,0.07142857142857142,Future,1,2,0.001,0.7,0,0.01629964468015363,1,-14.586370148158878,-11.17828026585329,-0.207299,0.147299,3732.142857142857,4639.268071569189
