Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/25/2024,10800,10800,10800,10800,-800.,-6.90%,0,0
04/24/2024,11600,11600,11600,11600,1069,+10.15%,0,0
04/23/2024,10531,10531,10531,10531,-419.,-3.83%,0,0
04/22/2024,10950,10950,10950,10950,-1300.,-10.61%,0,0
04/19/2024,12250,12250,12250,12250,962,+8.52%,0,0
04/18/2024,11288,11288,11288,11288,858,+8.23%,0,0
04/17/2024,10430,10430,10430,10430,392,+3.91%,0,0
04/16/2024,10038,10038,10038,10038,-943.,-8.59%,0,0
04/15/2024,10981,10981,10981,10981,141,+1.30%,0,0
04/12/2024,10840,10840,10840,10840,405,+3.88%,0,0
04/11/2024,10435,10435,10435,10435,-41.,-0.39%,0,0
04/10/2024,10476,10476,10476,10476,265,+2.60%,0,0
04/09/2024,10211,10211,10211,10211,498,+5.13%,0,0
04/08/2024,9713,9713,9713,9713,-227.,-2.28%,0,0
04/05/2024,9940,9940,9940,9940,324,+3.37%,0,0
04/04/2024,9616,9616,9616,9616,191,+2.03%,0,0
04/03/2024,9425,9425,9425,9425,-430.,-4.36%,0,0
04/02/2024,9855,9855,9855,9855,-445.,-4.32%,0,0
04/01/2024,10300,10300,10300,10300,559,+5.74%,0,0
03/28/2024,9741,9741,9741,9741,-156.,-1.58%,0,0
03/27/2024,9897,9897,9897,9897,273,+2.84%,0,0
03/26/2024,9624,9624,9624,9624,-23.,-0.24%,0,0
03/25/2024,9647,9647,9647,9647,775,+8.74%,0,0
03/22/2024,8872,8872,8872,8872,436,+5.17%,0,0
03/21/2024,8436,8436,8436,8436,48,+0.57%,0,0
03/20/2024,8388,8388,8388,8388,308,+3.81%,0,0
03/19/2024,8080,8080,8080,8080,-178.,-2.16%,0,0
03/18/2024,8258,8258,8258,8258,118,+1.45%,0,0
03/15/2024,8140,8140,8140,8140,667,+8.93%,0,0
03/14/2024,7473,7473,7473,7473,438,+6.23%,0,0
03/13/2024,7035,7035,7035,7035,-939.,-11.78%,0,0
03/12/2024,7974,7974,7974,7974,1246,+18.52%,0,0
03/11/2024,6728,6728,6728,6728,-200.,-2.89%,0,0
03/08/2024,6928,6928,6928,6928,-72.,-1.03%,0,0
03/07/2024,7000,7000,7000,7000,451,+6.89%,0,0
03/06/2024,6549,6549,6549,6549,-451.,-6.44%,0,0
03/05/2024,7000,7000,7000,7000,414,+6.29%,0,0
03/04/2024,6586,6586,6586,6586,-183.,-2.70%,0,0
03/01/2024,6769,6769,6769,6769,303,+4.69%,0,0
02/29/2024,6466,6466,6466,6466,104,+1.63%,0,0
02/28/2024,6362,6362,6362,6362,-381.,-5.65%,0,0
02/27/2024,6743,6743,6743,6743,-137.,-1.99%,0,0
02/26/2024,6880,6880,6880,6880,229,+3.44%,0,0
02/23/2024,6651,6651,6651,6651,519,+8.46%,0,0
02/22/2024,6132,6132,6132,6132,-167.,-2.65%,0,0
02/21/2024,6299,6299,6299,6299,260,+4.31%,0,0
02/20/2024,6039,6039,6039,6039,335,+5.87%,0,0
02/16/2024,5704,5704,5704,5704,-266.,-4.46%,0,0
02/15/2024,5970,5970,5970,5970,14,+0.24%,0,0
02/14/2024,5956,5956,5956,5956,-39.,-0.65%,0,0
02/13/2024,5995,5995,5995,5995,127,+2.16%,0,0
02/12/2024,5868,5868,5868,5868,-18.,-0.31%,0,0
02/09/2024,5886,5886,5886,5886,22,+0.38%,0,0
02/08/2024,5864,5864,5864,5864,435,+8.01%,0,0
02/07/2024,5429,5429,5429,5429,193,+3.69%,0,0
02/06/2024,5236,5236,5236,5236,-6.,-0.11%,0,0
02/05/2024,5242,5242,5242,5242,213,+4.24%,0,0
02/02/2024,5029,5029,5029,5029,50,+1.00%,0,0
02/01/2024,4979,4979,4979,4979,169,+3.51%,0,0
01/31/2024,4810,4810,4810,4810,10,+0.21%,0,0
01/30/2024,4800,4800,4800,4800,60,+1.27%,0,0
01/29/2024,4740,4740,4740,4740,53,+1.13%,0,0
01/26/2024,4687,4687,4687,4687,71,+1.54%,0,0
01/25/2024,4616,4616,4616,4616,-181.,-3.77%,0,0
01/24/2024,4797,4797,4797,4797,129,+2.76%,0,0
01/23/2024,4668,4668,4668,4668,82,+1.79%,0,0
01/22/2024,4586,4586,4586,4586,-16.,-0.35%,0,0
01/19/2024,4602,4602,4602,4602,111,+2.47%,0,0
01/18/2024,4491,4491,4491,4491,47,+1.06%,0,0
01/17/2024,4444,4444,4444,4444,5,+0.11%,0,0
01/16/2024,4439,4439,4439,4439,124,+2.87%,0,0
01/12/2024,4315,4315,4315,4315,43,+1.01%,0,0
01/11/2024,4272,4272,4272,4272,73,+1.74%,0,0
01/10/2024,4199,4199,4199,4199,49,+1.18%,0,0
01/09/2024,4150,4150,4150,4150,29,+0.70%,0,0
01/08/2024,4121,4121,4121,4121,-83.,-1.97%,0,0
01/05/2024,4204,4204,4204,4204,-61.,-1.43%,0,0
01/04/2024,4265,4265,4265,4265,30,+0.71%,0,0
01/03/2024,4235,4235,4235,4235,-51.,-1.19%,0,0
01/02/2024,4286,4286,4286,4286,86,+2.05%,0,0
12/29/2023,4200,4200,4200,4200,-55.,-1.29%,0,0
12/28/2023,4255,4255,4255,4255,-31.,-0.72%,0,0
12/27/2023,4286,4286,4286,4286,-10.,-0.23%,0,0
12/26/2023,4296,4296,4296,4296,-19.,-0.44%,0,0
12/22/2023,4315,4315,4315,4315,23,+0.54%,0,0
12/21/2023,4292,4292,4292,4292,-18.,-0.42%,0,0
12/20/2023,4310,4310,4310,4310,8,+0.19%,0,0
12/19/2023,4302,4302,4302,4302,13,+0.30%,0,0
12/18/2023,4289,4289,4289,4289,33,+0.78%,0,0
12/15/2023,4256,4256,4256,4256,-25.,-0.58%,0,0
12/14/2023,4281,4281,4281,4281,27,+0.63%,0,0
12/13/2023,4254,4254,4254,4254,-211.,-4.73%,0,0
12/12/2023,4465,4465,4465,4465,77,+1.75%,0,0
12/11/2023,4388,4388,4388,4388,117,+2.74%,0,0
12/08/2023,4271,4271,4271,4271,-95.,-2.18%,0,0
12/07/2023,4366,4366,4366,4366,136,+3.22%,0,0
12/06/2023,4230,4230,4230,4230,-10.,-0.24%,0,0
12/05/2023,4240,4240,4240,4240,-13.,-0.31%,0,0
12/04/2023,4253,4253,4253,4253,-146.,-3.32%,0,0
12/01/2023,4399,4399,4399,4399,-59.,-1.32%,0,0
11/30/2023,4458,4458,4458,4458,39,+0.88%,0,0
11/29/2023,4419,4419,4419,4419,38,+0.87%,0,0
11/28/2023,4381,4381,4381,4381,114,+2.67%,0,0
11/27/2023,4267,4267,4267,4267,23,+0.54%,0,0
11/24/2023,4244,4244,4244,4244,81,+1.95%,0,0
11/22/2023,4163,4163,4163,4163,-88.,-2.07%,0,0
11/21/2023,4251,4251,4251,4251,191,+4.70%,0,0
11/20/2023,4060,4060,4060,4060,-28.,-0.68%,0,0
11/17/2023,4088,4088,4088,4088,71,+1.77%,0,0
11/16/2023,4017,4017,4017,4017,57,+1.44%,0,0
11/15/2023,3960,3960,3960,3960,26,+0.66%,0,0
11/14/2023,3934,3934,3934,3934,-114.,-2.82%,0,0
11/13/2023,4048,4048,4048,4048,42,+1.05%,0,0
11/10/2023,4006,4006,4006,4006,52,+1.32%,0,0
11/09/2023,3954,3954,3954,3954,31,+0.79%,0,0
11/08/2023,3923,3923,3923,3923,34,+0.87%,0,0
