Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/25/2024,8094.55,8095.43,7955.51,8016.65,-75.21,-0.93%,0,0
04/24/2024,8105.22,8146.96,8078.77,8091.86,-13.92,-0.17%,0,0
04/23/2024,8064.32,8111.17,8052.57,8105.78,65.42,+0.81%,0,0
04/22/2024,8068.14,8071.81,8007.45,8040.36,17.95,+0.22%,0,0
04/19/2024,7971.68,8039.48,7946.84,8022.41,-0.85,-0.01%,0,0
04/18/2024,8013.91,8039.19,7976.4,8023.26,41.75,+0.52%,0,0
04/17/2024,7958.52,8060.99,7958,7981.51,48.9,+0.62%,0,0
04/16/2024,7899.36,7975.96,7899.36,7932.61,-112.5,-1.40%,0,0
04/15/2024,8051.26,8126.38,8028.84,8045.11,34.28,+0.43%,0,0
04/12/2024,8092.45,8118.02,7980.39,8010.83,-12.91,-0.16%,0,0
04/11/2024,8048.16,8092.82,7974.06,8023.74,-21.64,-0.27%,0,0
04/10/2024,8101.04,8101.47,7976.01,8045.38,-3.79,-0.05%,0,0
04/09/2024,8090.47,8103.2,8032.27,8049.17,-70.13,-0.86%,0,0
04/08/2024,8050.02,8145.22,8049.51,8119.3,57.99,+0.72%,0,0
04/05/2024,8050.25,8062.01,8019.29,8061.31,-90.24,-1.11%,0,0
04/04/2024,8154.41,8189.66,8137.98,8151.55,-1.68,-0.02%,0,0
04/03/2024,8144.96,8160.04,8120.95,8153.23,23.18,+0.29%,0,0
04/02/2024,8195.65,8253.05,8121.39,8130.05,-75.76,-0.92%,0,0
03/28/2024,8216.77,8253.59,8205.81,8205.81,1,+0.01%,0,0
03/27/2024,8186.07,8230.38,8174.26,8204.81,20.06,+0.25%,0,0
03/26/2024,8160.64,8188.53,8136.64,8184.75,33.15,+0.41%,0,0
03/25/2024,8147.8,8165.95,8101.83,8151.6,-0.32,0.00%,0,0
03/22/2024,8149.23,8179.32,8129.17,8151.92,-27.8,-0.34%,0,0
03/21/2024,8228.71,8229.25,8139.52,8179.72,18.31,+0.22%,0,0
03/20/2024,8149.71,8168.23,8125.65,8161.41,-39.64,-0.48%,0,0
03/19/2024,8145.5,8202.36,8140.6,8201.05,52.91,+0.65%,0,0
03/18/2024,8175.98,8184.34,8134.14,8148.14,-16.21,-0.20%,0,0
03/15/2024,8163.19,8212.69,8155.69,8164.35,2.93,+0.04%,0,0
03/14/2024,8158.27,8218.07,8153.69,8161.42,23.84,+0.29%,0,0
03/13/2024,8104.34,8156.64,8090.31,8137.58,50.1,+0.62%,0,0
03/12/2024,8052.16,8094.07,8000.23,8087.48,67.75,+0.84%,0,0
03/11/2024,7985.37,8025.41,7984.06,8019.73,-8.28,-0.10%,0,0
03/08/2024,8018.1,8048.09,8008.04,8028.01,11.79,+0.15%,0,0
03/07/2024,7925.41,8029.37,7905.41,8016.22,61.48,+0.77%,0,0
03/06/2024,7925.79,7969.45,7919.37,7954.74,21.92,+0.28%,0,0
03/05/2024,7946.89,7963.96,7923.71,7932.82,-23.59,-0.30%,0,0
03/04/2024,7934.35,7956.41,7916.71,7956.41,22.24,+0.28%,0,0
03/01/2024,7950.66,7964.78,7900.48,7934.17,6.74,+0.09%,0,0
02/29/2024,7972.86,7977.68,7927.43,7927.43,-26.96,-0.34%,0,0
02/28/2024,7947.23,7956.73,7931.67,7954.39,5.99,+0.08%,0,0
02/27/2024,7926.68,7955.48,7917.08,7948.4,18.58,+0.23%,0,0
02/26/2024,7950.15,7953.15,7922.89,7929.82,-36.86,-0.46%,0,0
02/23/2024,7921.95,7976.4,7907.84,7966.68,55.08,+0.70%,0,0
02/22/2024,7875.88,7923.96,7855.01,7911.6,99.51,+1.27%,0,0
02/21/2024,7802.04,7821.93,7788.68,7812.09,16.87,+0.22%,0,0
02/20/2024,7764.5,7804.54,7757.49,7795.22,26.67,+0.34%,0,0
02/19/2024,7742.87,7769.13,7727.96,7768.55,0.37,0.00%,0,0
02/16/2024,7774.39,7800.91,7756.58,7768.18,24.76,+0.32%,0,0
02/15/2024,7724.49,7752.35,7724.49,7743.42,66.07,+0.86%,0,0
02/14/2024,7610.06,7681.03,7610.06,7677.35,52.04,+0.68%,0,0
02/13/2024,7689.05,7691.19,7598.02,7625.31,-64.49,-0.84%,0,0
02/12/2024,7674.14,7693.08,7663.38,7689.8,42.28,+0.55%,0,0
02/09/2024,7652.45,7668.19,7617.74,7647.52,-18.11,-0.24%,0,0
02/08/2024,7628.6,7685.46,7607.46,7665.63,54.37,+0.71%,0,0
02/07/2024,7632.84,7652.85,7610.18,7611.26,-27.71,-0.36%,0,0
02/06/2024,7634.19,7641.63,7592.09,7638.97,49.01,+0.65%,0,0
02/05/2024,7591.77,7606.12,7558.23,7589.96,-2.3,-0.03%,0,0
02/02/2024,7624.45,7644.13,7588.5,7592.26,3.51,+0.05%,0,0
02/01/2024,7590.15,7620.93,7570.07,7588.75,-68.,-0.89%,0,0
01/31/2024,7691.66,7702.95,7653.45,7656.75,-20.72,-0.27%,0,0
01/30/2024,7660.65,7686.03,7644.73,7677.47,36.66,+0.48%,0,0
01/29/2024,7643.04,7649.19,7620.53,7640.81,6.67,+0.09%,0,0
01/26/2024,7555.05,7645.74,7553.65,7634.14,169.94,+2.28%,0,0
01/25/2024,7448.05,7466.27,7410.89,7464.2,8.56,+0.11%,0,0
01/24/2024,7414.76,7466.92,7403.87,7455.64,67.6,+0.91%,0,0
01/23/2024,7449.38,7449.38,7373.22,7388.04,-25.21,-0.34%,0,0
01/22/2024,7436.61,7453.21,7390.68,7413.25,41.61,+0.56%,0,0
01/19/2024,7446.82,7446.82,7350.68,7371.64,-29.71,-0.40%,0,0
01/18/2024,7346.71,7409.64,7326.45,7401.35,82.66,+1.13%,0,0
01/17/2024,7313.26,7323.25,7281.1,7318.69,-79.31,-1.07%,0,0
01/16/2024,7364.11,7399.29,7343.52,7398,-13.68,-0.18%,0,0
01/15/2024,7467.8,7479.27,7401.07,7411.68,-53.46,-0.72%,0,0
01/12/2024,7412.68,7478.66,7408.46,7465.14,77.52,+1.05%,0,0
01/11/2024,7466.11,7479.42,7382.88,7387.62,-38.46,-0.52%,0,0
01/10/2024,7428.26,7454.32,7409.53,7426.08,-0.54,-0.01%,0,0
01/09/2024,7457.26,7460.18,7400.62,7426.62,-23.62,-0.32%,0,0
01/08/2024,7406.24,7451.17,7376.2,7450.24,29.55,+0.40%,0,0
01/05/2024,7398.4,7441.1,7350.3,7420.69,-29.94,-0.40%,0,0
01/04/2024,7419.85,7455.37,7410.18,7450.63,38.77,+0.52%,0,0
01/03/2024,7522.81,7532.6,7380.06,7411.86,-119.,-1.58%,0,0
01/02/2024,7577.33,7610.1,7482.06,7530.86,-12.32,-0.16%,0,0
12/29/2023,7547.53,7569.92,7530.93,7543.18,8.02,+0.11%,0,0
12/28/2023,7591.85,7593.96,7531.71,7535.16,-36.66,-0.48%,0,0
12/27/2023,7580.97,7603.27,7560.54,7571.82,3,+0.04%,0,0
12/22/2023,7560.97,7589,7557.58,7568.82,-2.58,-0.03%,0,0
12/21/2023,7557.16,7574.71,7537.81,7571.4,-12.03,-0.16%,0,0
12/20/2023,7595.25,7604.96,7552.29,7583.43,8.76,+0.12%,0,0
12/19/2023,7560.57,7579.86,7553.08,7574.67,5.81,+0.08%,0,0
12/18/2023,7563.31,7580.64,7548.18,7568.86,-28.05,-0.37%,0,0
12/15/2023,7607.92,7641.91,7587.68,7596.91,21.06,+0.28%,0,0
12/14/2023,7626.54,7653.99,7547,7575.85,44.63,+0.59%,0,0
12/13/2023,7542.1,7579.25,7529.11,7531.22,-12.33,-0.16%,0,0
12/12/2023,7557.32,7582.47,7542.53,7543.55,-7.98,-0.11%,0,0
12/11/2023,7534.23,7559.95,7527.58,7551.53,24.98,+0.33%,0,0
12/08/2023,7441,7545.68,7437.97,7526.55,98.03,+1.32%,0,0
12/07/2023,7424.82,7436.95,7415.66,7428.52,-7.47,-0.10%,0,0
12/06/2023,7400.21,7455,7384.99,7435.99,49,+0.66%,0,0
12/05/2023,7320.49,7392.64,7320.49,7386.99,54.4,+0.74%,0,0
12/04/2023,7331.8,7354.32,7313.71,7332.59,-13.56,-0.18%,0,0
12/01/2023,7336.55,7360.1,7313.19,7346.15,35.38,+0.48%,0,0
11/30/2023,7276.87,7321.47,7255.04,7310.77,43.13,+0.59%,0,0
11/29/2023,7241.41,7296.4,7241.41,7267.64,17.51,+0.24%,0,0
11/28/2023,7230.74,7253.42,7213.74,7250.13,-15.36,-0.21%,0,0
11/27/2023,7292.91,7307.67,7265.49,7265.49,-27.31,-0.37%,0,0
11/24/2023,7275,7298.91,7268.58,7292.8,14.87,+0.20%,0,0
11/23/2023,7274.25,7285.29,7263.67,7277.93,17.2,+0.24%,0,0
11/22/2023,7252.01,7274.77,7243.83,7260.73,31.28,+0.43%,0,0
11/21/2023,7231.04,7248.06,7214.39,7229.45,-17.48,-0.24%,0,0
11/20/2023,7242.4,7267.04,7236.02,7246.93,13.02,+0.18%,0,0
11/17/2023,7196.69,7246.72,7196.69,7233.91,65.51,+0.91%,0,0
11/16/2023,7203.96,7210.01,7168.4,7168.4,-41.21,-0.57%,0,0
11/15/2023,7214.69,7245.37,7198.91,7209.61,23.93,+0.33%,0,0
11/14/2023,7098.72,7207.77,7083.23,7185.68,98.62,+1.39%,0,0
11/13/2023,7069.88,7103.67,7056.09,7087.06,42.02,+0.60%,0,0
11/10/2023,7079.4,7083.12,7006.09,7045.04,-68.62,-0.96%,0,0
11/09/2023,7043.88,7122.51,7025.61,7113.66,79.5,+1.13%,0,0
