Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/26/2024,27.4241,27.717,27.1513,27.2075,-0.2164,-0.79%,3097,0
04/25/2024,27.1604,27.496,27.0184,27.4239,0.2637,+0.97%,2996,0
04/24/2024,27.3102,27.4617,27.0835,27.1602,-0.1501,-0.55%,2978,0
04/23/2024,27.1913,27.3565,26.7059,27.3103,0.1194,+0.44%,2732,0
04/22/2024,28.6895,28.6895,27.1438,27.1909,-1.4851,-5.18%,2629,0
04/19/2024,28.2308,28.7731,28.1368,28.676,0.446,+1.58%,2730,0
04/18/2024,28.2296,28.5908,28.1756,28.23,-0.002,-0.01%,2848,0
04/17/2024,28.1136,28.7591,28.0991,28.232,0.1177,+0.42%,2759,0
04/16/2024,28.8604,28.9853,28.0349,28.1143,-0.7451,-2.58%,2556,0
04/15/2024,27.8785,28.8747,27.8785,28.8594,0.9126,+3.27%,2353,0
04/12/2024,28.4652,29.6442,27.9468,27.9468,-0.5192,-1.82%,2522,0
04/11/2024,27.8936,28.4859,27.818,28.466,0.5738,+2.06%,2831,0
04/10/2024,28.1627,28.4072,27.7216,27.8922,-0.2712,-0.96%,2579,0
04/09/2024,27.851,28.2685,27.7242,28.1634,0.3126,+1.12%,2688,0
04/08/2024,27.483,27.9867,26.9866,27.8508,0.3851,+1.40%,2483,0
04/05/2024,26.8938,27.4657,26.3825,27.4657,0.574,+2.13%,2728,0
04/04/2024,27.1422,27.2594,26.8037,26.8917,-0.2481,-0.91%,2834,0
04/03/2024,26.1347,27.1398,26.1345,27.1398,1.0055,+3.85%,2724,0
04/02/2024,25.0701,26.1369,25.0701,26.1343,1.0653,+4.25%,2878,0
04/01/2024,24.967,25.3183,24.8164,25.069,0.1154,+0.46%,2838,0
03/29/2024,24.9444,24.9536,24.9444,24.9536,0.011,+0.04%,846,0
03/28/2024,24.6439,24.9426,24.4061,24.9426,0.2988,+1.21%,3029,0
03/27/2024,24.4408,24.6438,24.3557,24.6438,0.2041,+0.84%,3197,0
03/26/2024,24.6712,24.8508,24.4109,24.4397,-0.2307,-0.94%,3086,0
03/25/2024,24.7045,24.8612,24.5753,24.6704,-0.0159,-0.06%,3021,0
03/22/2024,24.7381,24.9045,24.438,24.6863,-0.0515,-0.21%,3144,0
03/21/2024,25.5688,25.739,24.7297,24.7378,-0.8296,-3.24%,2863,0
03/20/2024,24.9127,25.5817,24.7851,25.5674,0.655,+2.63%,3025,0
03/19/2024,25.0364,25.1404,24.797,24.9124,-0.1235,-0.49%,3140,0
03/18/2024,25.188,25.2908,24.9882,25.0359,-0.1469,-0.58%,3174,0
03/15/2024,24.8118,25.4047,24.8055,25.1828,0.3707,+1.49%,3117,0
03/14/2024,25.0149,25.1171,24.8007,24.8121,-0.2026,-0.81%,3104,0
03/13/2024,24.1392,25.0154,24.0816,25.0147,0.8754,+3.63%,3211,0
03/12/2024,24.4706,24.5368,24.0858,24.1393,-0.3315,-1.35%,3124,0
03/11/2024,24.296,24.5137,24.2529,24.4708,0.1576,+0.65%,3021,0
03/08/2024,24.3239,24.5396,24.2532,24.3132,-0.0105,-0.04%,3132,0
03/07/2024,24.1688,24.4761,24.0292,24.3237,0.155,+0.64%,3048,0
03/06/2024,23.6744,24.2737,23.5988,24.1687,0.4941,+2.09%,3116,0
03/05/2024,23.898,24.111,23.6652,23.6746,-0.2238,-0.94%,2993,0
03/04/2024,23.132,23.9341,23.0286,23.8984,0.7538,+3.26%,3180,0
03/01/2024,22.6707,23.2578,22.5247,23.1446,0.4739,+2.09%,3355,0
02/29/2024,22.4638,22.745,22.3341,22.6707,0.2066,+0.92%,3411,0
02/28/2024,22.4583,22.507,22.285,22.4641,0.0057,+0.03%,3499,0
02/27/2024,22.5202,22.6964,22.4584,22.4584,-0.0619,-0.27%,3607,0
02/26/2024,22.9505,22.9505,22.4568,22.5203,-0.427,-1.86%,3317,0
02/23/2024,22.7533,22.9901,22.5729,22.9473,0.194,+0.85%,3365,0
02/22/2024,22.8777,23.1487,22.7492,22.7533,-0.1241,-0.54%,3417,0
02/21/2024,22.9954,23.1726,22.7968,22.8774,-0.1175,-0.51%,3398,0
02/20/2024,22.9832,23.1512,22.9314,22.9949,0.0117,+0.05%,3469,0
02/19/2024,23.4185,23.4353,22.9473,22.9832,-0.4357,-1.86%,3180,0
02/16/2024,22.926,23.4946,22.8947,23.4189,0.4929,+2.15%,3449,0
02/15/2024,22.3701,23.0105,22.3631,22.926,0.5563,+2.49%,3322,0
02/14/2024,22.1116,22.411,21.9487,22.3697,0.2587,+1.17%,3277,0
02/13/2024,22.6923,22.9302,22.0056,22.111,-0.5813,-2.56%,3479,0
02/12/2024,22.6105,23.0442,22.5738,22.6923,0.0824,+0.36%,3268,0
02/09/2024,22.582,22.694,22.3874,22.6099,0.0278,+0.12%,3514,0
02/08/2024,22.2143,22.6056,22.164,22.5821,0.368,+1.66%,3385,0
02/07/2024,22.4304,22.4386,22.2021,22.2141,-0.2163,-0.96%,3352,0
02/06/2024,22.3554,22.4631,22.2701,22.4304,0.075,+0.34%,3379,0
02/05/2024,22.6875,22.7012,22.2823,22.3554,-0.3305,-1.46%,3043,0
02/02/2024,23.1735,23.2398,22.491,22.6859,-0.4875,-2.10%,3263,0
02/01/2024,22.9275,23.2265,22.5538,23.1734,0.2466,+1.08%,2964,0
01/31/2024,23.1625,23.2878,22.8181,22.9268,-0.2358,-1.02%,3085,0
01/30/2024,23.2017,23.2641,23.0012,23.1626,-0.039,-0.17%,3279,0
01/29/2024,22.8089,23.2017,22.8089,23.2016,0.4022,+1.76%,3107,0
01/26/2024,22.9127,22.9661,22.7415,22.7994,-0.1133,-0.49%,3361,0
01/25/2024,22.6664,22.978,22.661,22.9127,0.2464,+1.09%,3129,0
01/24/2024,22.4379,22.9102,22.3555,22.6663,0.2289,+1.02%,3142,0
01/23/2024,22.0875,22.4519,22.0669,22.4374,0.3507,+1.59%,3216,0
01/22/2024,22.616,22.6265,21.9693,22.0867,-0.5237,-2.32%,3038,0
01/19/2024,22.7461,22.8271,22.4931,22.6104,-0.1358,-0.60%,3370,0
01/18/2024,22.5539,22.7605,22.4518,22.7462,0.1922,+0.85%,3260,0
01/17/2024,22.9183,22.9273,22.5249,22.554,-0.3642,-1.59%,3105,0
01/16/2024,23.2105,23.2204,22.8808,22.9182,-0.2923,-1.26%,3032,0
01/15/2024,23.1955,23.3159,23.1269,23.2105,0.0194,+0.08%,3005,0
01/12/2024,22.7535,23.496,22.752,23.1911,0.4375,+1.92%,3140,0
01/11/2024,22.8906,23.103,22.516,22.7536,-0.1366,-0.60%,3164,0
01/10/2024,22.9752,23.0736,22.8065,22.8902,-0.0846,-0.37%,3285,0
01/09/2024,23.1053,23.236,22.9047,22.9748,-0.1303,-0.56%,3162,0
01/08/2024,23.189,23.1972,22.8577,23.1051,-0.083,-0.36%,3055,0
01/05/2024,23.0098,23.4221,22.931,23.1881,0.1778,+0.77%,3069,0
01/04/2024,22.9913,23.0509,22.7596,23.0103,0.0191,+0.08%,3274,0
01/03/2024,23.6571,23.7172,22.8718,22.9912,-0.6657,-2.81%,3060,0
01/02/2024,23.7965,24.0873,23.6461,23.6569,-0.1366,-0.57%,2985,0
01/01/2024,23.7935,23.7935,23.7935,23.7935,0.0004,0.00%,2,0
12/29/2023,23.9753,23.9829,23.5855,23.7931,-0.1819,-0.76%,3239,0
12/28/2023,24.2717,24.4609,23.9653,23.975,-0.2973,-1.22%,3163,0
12/27/2023,24.228,24.4129,23.9799,24.2723,0.0444,+0.18%,3203,0
12/26/2023,24.1623,24.3984,24.1266,24.2279,0.0299,+0.12%,3473,0
12/25/2023,24.198,24.198,24.198,24.198,0.01,+0.04%,2,0
12/22/2023,24.4022,24.5585,24.1072,24.188,-0.2145,-0.88%,3042,0
12/21/2023,24.1425,24.4034,24.1425,24.4025,0.261,+1.08%,3159,0
12/20/2023,24.052,24.3558,23.9721,24.1415,0.0897,+0.37%,3227,0
12/19/2023,23.8039,24.1526,23.7847,24.0518,0.2479,+1.04%,3240,0
12/18/2023,23.8765,24.0432,23.6852,23.8039,-0.0517,-0.22%,3153,0
12/15/2023,24.1663,24.2664,23.7781,23.8556,-0.3104,-1.28%,3061,0
12/14/2023,23.7977,24.2038,23.7806,24.166,0.3691,+1.55%,2767,0
12/13/2023,22.77,23.7969,22.5318,23.7969,1.027,+4.51%,3062,0
12/12/2023,22.8242,23.0414,22.7156,22.7699,-0.0544,-0.24%,3188,0
12/11/2023,23.0121,23.0717,22.7401,22.8243,-0.1787,-0.78%,3001,0
12/08/2023,23.8053,23.8807,22.9646,23.003,-0.8026,-3.37%,2996,0
12/07/2023,23.9045,24.0063,23.6444,23.8056,-0.0988,-0.41%,3043,0
12/06/2023,24.158,24.3329,23.897,23.9044,-0.2535,-1.05%,3066,0
12/05/2023,24.5028,24.6287,24.0064,24.1579,-0.3452,-1.41%,2910,0
12/04/2023,25.485,25.769,24.4628,24.5031,-0.9528,-3.74%,2583,0
12/01/2023,25.2729,25.4931,25.1237,25.4559,0.1833,+0.73%,3122,0
11/30/2023,25.0252,25.2803,24.9512,25.2726,0.2472,+0.99%,3164,0
11/29/2023,25.0259,25.1846,24.8912,25.0254,0.0001,0.00%,2922,0
11/28/2023,24.6469,25.0288,24.5757,25.0253,0.3783,+1.53%,3192,0
11/27/2023,24.3265,24.8269,24.2973,24.647,0.3093,+1.27%,2976,0
11/24/2023,23.6624,24.3377,23.5926,24.3377,0.6754,+2.85%,3184,0
11/23/2023,23.6378,23.7701,23.6069,23.6623,0.0248,+0.10%,3141,0
11/22/2023,23.749,23.91,23.5821,23.6375,-0.1118,-0.47%,3038,0
11/21/2023,23.4311,23.9737,23.4311,23.7493,0.3186,+1.36%,2870,0
11/20/2023,23.726,23.7919,23.3149,23.4307,-0.2881,-1.21%,2867,0
11/17/2023,23.7389,24.135,23.6862,23.7188,-0.0195,-0.08%,3119,0
11/16/2023,23.4419,23.9999,23.3016,23.7383,0.2966,+1.27%,3146,0
11/15/2023,23.0872,23.4857,23.0423,23.4417,0.3546,+1.54%,3119,0
11/14/2023,22.3092,23.1385,22.3068,23.0871,0.7778,+3.49%,3153,0
11/13/2023,22.2662,22.3551,21.9508,22.3093,0.0649,+0.29%,3096,0
11/10/2023,22.6377,22.7333,22.2066,22.2444,-0.3931,-1.74%,3219,0
11/09/2023,22.5451,22.9612,22.3937,22.6375,0.0925,+0.41%,3065,0
11/08/2023,22.6277,22.7914,22.3252,22.545,-0.0823,-0.36%,3086,0
11/07/2023,23.031,23.0606,22.4793,22.6273,-0.4035,-1.75%,3177,0
11/06/2023,23.2165,23.2352,23.0168,23.0308,-0.1743,-0.75%,3094,0
11/03/2023,22.7639,23.232,22.6029,23.2051,0.4417,+1.94%,3308,0
11/02/2023,22.9223,23.1039,22.704,22.7634,-0.1574,-0.69%,3172,0
11/01/2023,22.8539,22.9695,22.5728,22.9208,0.0668,+0.29%,3067,0
10/31/2023,23.3173,23.324,22.7709,22.854,-0.463,-1.99%,3050,0
10/30/2023,23.1165,23.5533,23.0549,23.317,0.211,+0.91%,2987,0
10/27/2023,22.7954,23.106,22.6745,23.106,0.3111,+1.36%,3175,0
10/26/2023,22.8614,23.1241,22.5428,22.7949,-0.0663,-0.29%,3036,0
