Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/25/2024,587.25,587.25,587.25,587.25,7.75,+1.34%,0,0
04/24/2024,579.5,579.5,579.5,579.5,2,+0.35%,0,0
04/23/2024,577.5,577.5,577.5,577.5,14.75,+2.62%,0,0
04/22/2024,562.75,562.75,562.75,562.75,20,+3.68%,0,0
04/19/2024,542.75,542.75,542.75,542.75,13.5,+2.55%,0,0
04/18/2024,529.25,529.25,529.25,529.25,1.25,+0.24%,0,0
04/17/2024,528,528,528,528,-14.25,-2.63%,0,0
04/16/2024,542.25,542.25,542.25,542.25,-2.,-0.37%,0,0
04/15/2024,544.25,544.25,544.25,544.25,-4.25,-0.77%,0,0
04/12/2024,548.5,548.5,548.5,548.5,4.25,+0.78%,0,0
04/11/2024,544.25,544.25,544.25,544.25,-6.75,-1.23%,0,0
04/10/2024,551,551,551,551,0.75,+0.14%,0,0
04/09/2024,550.25,550.25,550.25,550.25,-9.,-1.61%,0,0
04/08/2024,559.25,559.25,559.25,559.25,-1.5,-0.27%,0,0
04/05/2024,560.75,560.75,560.75,560.75,11,+2.00%,0,0
04/04/2024,549.75,549.75,549.75,549.75,0.25,+0.05%,0,0
04/03/2024,549.5,549.5,549.5,549.5,10.75,+2.00%,0,0
04/02/2024,538.75,538.75,538.75,538.75,-19.25,-3.45%,0,0
04/01/2024,558,558,558,558,-2.25,-0.40%,0,0
03/28/2024,560.25,560.25,560.25,560.25,12.75,+2.33%,0,0
03/27/2024,547.5,547.5,547.5,547.5,5.5,+1.01%,0,0
03/26/2024,542,542,542,542,-11.5,-2.08%,0,0
03/25/2024,553.5,553.5,553.5,553.5,5.25,+0.96%,0,0
03/22/2024,548.25,548.25,548.25,548.25,10.5,+1.95%,0,0
03/21/2024,537.75,537.75,537.75,537.75,1.75,+0.33%,0,0
03/20/2024,536,536,536,536,-7.5,-1.38%,0,0
03/19/2024,543.5,543.5,543.5,543.5,9.75,+1.83%,0,0
03/18/2024,533.75,533.75,533.75,533.75,14.25,+2.74%,0,0
03/15/2024,519.5,519.5,519.5,519.5,-6.25,-1.19%,0,0
03/14/2024,525.75,525.75,525.75,525.75,-14.5,-2.68%,0,0
03/13/2024,540.25,540.25,540.25,540.25,-13.25,-2.39%,0,0
03/12/2024,553.5,553.5,553.5,553.5,0.25,+0.05%,0,0
03/11/2024,553.25,553.25,553.25,553.25,9.5,+1.75%,0,0
03/08/2024,543.75,543.75,543.75,543.75,-2.75,-0.50%,0,0
03/07/2024,546.5,546.5,546.5,546.5,0,0.00%,0,0
03/06/2024,546.5,546.5,546.5,546.5,-29.5,-5.12%,0,0
03/05/2024,576,576,576,576,-14.,-2.37%,0,0
03/04/2024,590,590,590,590,6.25,+1.07%,0,0
03/01/2024,583.75,583.75,583.75,583.75,-16.75,-2.79%,0,0
02/29/2024,600.5,600.5,600.5,600.5,6.5,+1.09%,0,0
02/28/2024,594,594,594,594,-17.,-2.78%,0,0
02/27/2024,611,611,611,611,7.75,+1.28%,0,0
02/26/2024,603.25,603.25,603.25,603.25,2.75,+0.46%,0,0
02/23/2024,600.5,600.5,600.5,600.5,-7.75,-1.27%,0,0
02/22/2024,608.25,608.25,608.25,608.25,0,0.00%,0,0
02/21/2024,608.25,608.25,608.25,608.25,0.5,+0.08%,0,0
02/20/2024,607.75,607.75,607.75,607.75,22.25,+3.80%,0,0
02/16/2024,585.5,585.5,585.5,585.5,5,+0.86%,0,0
02/15/2024,580.5,580.5,580.5,580.5,-17.,-2.85%,0,0
02/14/2024,597.5,597.5,597.5,597.5,-10.,-1.65%,0,0
02/13/2024,607.5,607.5,607.5,607.5,-1.,-0.16%,0,0
02/12/2024,608.5,608.5,608.5,608.5,1.75,+0.29%,0,0
02/09/2024,606.75,606.75,606.75,606.75,8.25,+1.38%,0,0
02/08/2024,598.5,598.5,598.5,598.5,-13.5,-2.21%,0,0
02/07/2024,612,612,612,612,7,+1.16%,0,0
02/06/2024,605,605,605,605,3.75,+0.62%,0,0
02/05/2024,601.25,601.25,601.25,601.25,-9.5,-1.56%,0,0
02/02/2024,610.75,610.75,610.75,610.75,-1.75,-0.29%,0,0
02/01/2024,612.5,612.5,612.5,612.5,9.75,+1.62%,0,0
01/31/2024,602.75,602.75,602.75,602.75,-10.75,-1.75%,0,0
01/30/2024,613.5,613.5,613.5,613.5,12,+2.00%,0,0
01/29/2024,601.5,601.5,601.5,601.5,-6.25,-1.03%,0,0
01/26/2024,607.75,607.75,607.75,607.75,-12.,-1.94%,0,0
01/25/2024,619.75,619.75,619.75,619.75,1.5,+0.24%,0,0
01/24/2024,618.25,618.25,618.25,618.25,14.25,+2.36%,0,0
01/23/2024,604,604,604,604,0,0.00%,0,0
01/22/2024,604,604,604,604,3.25,+0.54%,0,0
01/19/2024,600.75,600.75,600.75,600.75,7.75,+1.31%,0,0
01/18/2024,593,593,593,593,3,+0.51%,0,0
01/17/2024,590,590,590,590,0.5,+0.08%,0,0
01/16/2024,589.5,589.5,589.5,589.5,-14.,-2.32%,0,0
01/12/2024,603.5,603.5,603.5,603.5,-7.75,-1.27%,0,0
01/11/2024,611.25,611.25,611.25,611.25,-7.,-1.13%,0,0
01/10/2024,618.25,618.25,618.25,618.25,0.25,+0.04%,0,0
01/09/2024,618,618,618,618,13.75,+2.28%,0,0
01/08/2024,604.25,604.25,604.25,604.25,-19.25,-3.09%,0,0
01/05/2024,623.5,623.5,623.5,623.5,2.5,+0.40%,0,0
01/04/2024,621,621,621,621,15.75,+2.60%,0,0
01/03/2024,605.25,605.25,605.25,605.25,-6.5,-1.06%,0,0
01/02/2024,611.75,611.75,611.75,611.75,-21.25,-3.36%,0,0
12/29/2023,633,633,633,633,-3.5,-0.55%,0,0
12/28/2023,636.5,636.5,636.5,636.5,8.5,+1.35%,0,0
12/27/2023,628,628,628,628,-13.25,-2.07%,0,0
12/26/2023,641.25,641.25,641.25,641.25,20,+3.22%,0,0
12/22/2023,621.25,621.25,621.25,621.25,3.75,+0.61%,0,0
12/21/2023,617.5,617.5,617.5,617.5,2.5,+0.41%,0,0
12/20/2023,615,615,615,615,-12.75,-2.03%,0,0
12/19/2023,627.75,627.75,627.75,627.75,5.75,+0.92%,0,0
12/18/2023,622,622,622,622,-12.25,-1.93%,0,0
12/15/2023,634.25,634.25,634.25,634.25,15.5,+2.51%,0,0
12/14/2023,618.75,618.75,618.75,618.75,10.5,+1.73%,0,0
12/13/2023,608.25,608.25,608.25,608.25,-20.25,-3.22%,0,0
12/12/2023,628.5,628.5,628.5,628.5,16,+2.61%,0,0
12/11/2023,612.5,612.5,612.5,612.5,-16.25,-2.58%,0,0
