Date,Close,Period
2021-02-22,20304.79,Weekly
2021-02-23,20273.98,Weekly
2021-02-24,20243.170000000002,Weekly
2021-02-25,20212.36,Weekly
2021-02-26,20181.55,Weekly
2021-02-27,20150.739999999998,Weekly
2021-02-28,20119.93,Weekly
2021-03-01,20089.12,Weekly
2021-03-02,20060.72142857143,Weekly
2021-03-03,20032.322857142855,Weekly
2021-03-04,20003.924285714285,Weekly
2021-03-05,19975.525714285715,Weekly
2021-03-06,19947.127142857145,Weekly
2021-03-07,19918.72857142857,Weekly
2021-03-08,19890.33,Weekly
2021-03-09,19899.41,Weekly
2021-03-10,19908.49,Weekly
2021-03-11,19917.57,Weekly
2021-03-12,19926.65,Weekly
2021-03-13,19935.73,Weekly
2021-03-14,19944.81,Weekly
2021-03-15,19953.89,Weekly
2021-03-16,19946.897857142856,Weekly
2021-03-17,19939.905714285713,Weekly
2021-03-18,19932.91357142857,Weekly
2021-03-19,19925.92142857143,Weekly
2021-03-20,19918.929285714286,Weekly
2021-03-21,19911.937142857143,Weekly
2021-03-22,19904.945,Weekly
2021-03-23,19887.57857142857,Weekly
2021-03-24,19870.212142857144,Weekly
2021-03-25,19852.845714285715,Weekly
2021-03-26,19835.479285714286,Weekly
2021-03-27,19818.112857142856,Weekly
2021-03-28,19800.74642857143,Weekly
2021-03-29,19783.38,Weekly
2021-03-30,19799.807142857142,Weekly
2021-03-31,19816.234285714287,Weekly
2021-04-01,19832.661428571428,Weekly
2021-04-02,19849.088571428572,Weekly
2021-04-03,19865.515714285713,Weekly
2021-04-04,19881.942857142858,Weekly
2021-04-05,19898.37,Weekly
2021-04-06,19907.588571428572,Weekly
2021-04-07,19916.807142857142,Weekly
2021-04-08,19926.025714285715,Weekly
2021-04-09,19935.244285714285,Weekly
2021-04-10,19944.46285714286,Weekly
2021-04-11,19953.681428571428,Weekly
2021-04-12,19962.9,Weekly
2021-04-13,19975.347142857143,Weekly
2021-04-14,19987.794285714288,Weekly
2021-04-15,20000.24142857143,Weekly
2021-04-16,20012.68857142857,Weekly
2021-04-17,20025.135714285712,Weekly
2021-04-18,20037.582857142857,Weekly
2021-04-19,20050.03,Weekly
2021-04-20,20011.682857142856,Weekly
2021-04-21,19973.335714285713,Weekly
2021-04-22,19934.98857142857,Weekly
2021-04-23,19896.641428571427,Weekly
2021-04-24,19858.294285714284,Weekly
2021-04-25,19819.94714285714,Weekly
2021-04-26,19781.6,Weekly
2021-04-27,19778.872857142855,Weekly
2021-04-28,19776.145714285714,Weekly
2021-04-29,19773.41857142857,Weekly
2021-04-30,19770.691428571427,Weekly
2021-05-01,19767.964285714283,Weekly
2021-05-02,19765.237142857142,Weekly
2021-05-03,19762.51,Weekly
2021-05-04,19749.592857142856,Weekly
2021-05-05,19736.675714285713,Weekly
2021-05-06,19723.75857142857,Weekly
2021-05-07,19710.841428571428,Weekly
2021-05-08,19697.924285714285,Weekly
2021-05-09,19685.007142857143,Weekly
2021-05-10,19672.09,Weekly
2021-05-11,19681.338571428572,Weekly
2021-05-12,19690.587142857144,Weekly
2021-05-13,19699.835714285717,Weekly
2021-05-14,19709.084285714285,Weekly
2021-05-15,19718.332857142857,Weekly
2021-05-16,19727.58142857143,Weekly
2021-05-17,19736.83,Weekly
2021-05-18,19698.99142857143,Weekly
2021-05-19,19661.152857142857,Weekly
2021-05-20,19623.314285714285,Weekly
2021-05-21,19585.475714285716,Weekly
2021-05-22,19547.637142857144,Weekly
2021-05-23,19509.79857142857,Weekly
2021-05-24,19471.96,Weekly
2021-05-25,19487.01,Weekly
2021-05-26,19502.06,Weekly
2021-05-27,19517.11,Weekly
2021-05-28,19532.16,Weekly
