Date,Close,Period
2021-02-15,5764.97,Weekly
2021-02-16,5757.372857142857,Weekly
2021-02-17,5749.7757142857145,Weekly
2021-02-18,5742.178571428572,Weekly
2021-02-19,5734.581428571429,Weekly
2021-02-20,5726.984285714286,Weekly
2021-02-21,5719.387142857143,Weekly
2021-02-22,5711.79,Weekly
2021-02-23,5730.8042857142855,Weekly
2021-02-24,5749.818571428572,Weekly
2021-02-25,5768.832857142857,Weekly
2021-02-26,5787.847142857143,Weekly
2021-02-27,5806.861428571428,Weekly
2021-02-28,5825.875714285715,Weekly
2021-03-01,5844.89,Weekly
2021-03-02,5876.795714285715,Weekly
2021-03-03,5908.701428571429,Weekly
2021-03-04,5940.607142857143,Weekly
2021-03-05,5972.512857142857,Weekly
2021-03-06,6004.418571428571,Weekly
2021-03-07,6036.324285714285,Weekly
2021-03-08,6068.23,Weekly
2021-03-09,6059.389999999999,Weekly
2021-03-10,6050.55,Weekly
2021-03-11,6041.71,Weekly
2021-03-12,6032.87,Weekly
2021-03-13,6024.03,Weekly
2021-03-14,6015.1900000000005,Weekly
2021-03-15,6006.35,Weekly
2021-03-16,6008.425714285715,Weekly
2021-03-17,6010.501428571429,Weekly
2021-03-18,6012.577142857143,Weekly
2021-03-19,6014.652857142857,Weekly
2021-03-20,6016.728571428572,Weekly
2021-03-21,6018.8042857142855,Weekly
2021-03-22,6020.88,Weekly
2021-03-23,6037.597142857143,Weekly
2021-03-24,6054.314285714286,Weekly
2021-03-25,6071.0314285714285,Weekly
2021-03-26,6087.748571428571,Weekly
2021-03-27,6104.465714285714,Weekly
2021-03-28,6121.182857142857,Weekly
2021-03-29,6137.9,Weekly
2021-03-30,6144.83,Weekly
2021-03-31,6151.759999999999,Weekly
2021-04-01,6158.69,Weekly
2021-04-02,6165.62,Weekly
2021-04-03,6172.55,Weekly
2021-04-04,6179.48,Weekly
2021-04-05,6186.41,Weekly
2021-04-06,6204.761428571428,Weekly
2021-04-07,6223.112857142857,Weekly
2021-04-08,6241.464285714285,Weekly
2021-04-09,6259.815714285714,Weekly
2021-04-10,6278.167142857143,Weekly
2021-04-11,6296.518571428572,Weekly
2021-04-12,6314.87,Weekly
2021-04-13,6306.511428571428,Weekly
2021-04-14,6298.152857142857,Weekly
2021-04-15,6289.794285714285,Weekly
2021-04-16,6281.435714285714,Weekly
2021-04-17,6273.0771428571425,Weekly
2021-04-18,6264.7185714285715,Weekly
2021-04-19,6256.36,Weekly
