Date,Close,Period
2021-02-15,423.42,Weekly
2021-02-16,423.24857142857144,Weekly
2021-02-17,423.07714285714286,Weekly
2021-02-18,422.9057142857143,Weekly
2021-02-19,422.73428571428576,Weekly
2021-02-20,422.5628571428572,Weekly
2021-02-21,422.3914285714286,Weekly
2021-02-22,422.22,Weekly
2021-02-23,421.8057142857143,Weekly
2021-02-24,421.3914285714286,Weekly
2021-02-25,420.9771428571429,Weekly
2021-02-26,420.5628571428571,Weekly
2021-02-27,420.1485714285714,Weekly
2021-02-28,419.7342857142857,Weekly
2021-03-01,419.32,Weekly
2021-03-02,416.62857142857143,Weekly
2021-03-03,413.9371428571429,Weekly
2021-03-04,411.2457142857143,Weekly
2021-03-05,408.5542857142857,Weekly
2021-03-06,405.86285714285714,Weekly
2021-03-07,403.1714285714286,Weekly
2021-03-08,400.48,Weekly
2021-03-09,401.58000000000004,Weekly
2021-03-10,402.68,Weekly
2021-03-11,403.78000000000003,Weekly
2021-03-12,404.88,Weekly
2021-03-13,405.98,Weekly
2021-03-14,407.08,Weekly
2021-03-15,408.18,Weekly
2021-03-16,407.58,Weekly
2021-03-17,406.98,Weekly
2021-03-18,406.38,Weekly
2021-03-19,405.78000000000003,Weekly
2021-03-20,405.18,Weekly
2021-03-21,404.58000000000004,Weekly
2021-03-22,403.98,Weekly
2021-03-23,404.75857142857143,Weekly
2021-03-24,405.5371428571429,Weekly
2021-03-25,406.3157142857143,Weekly
2021-03-26,407.0942857142857,Weekly
2021-03-27,407.87285714285713,Weekly
2021-03-28,408.6514285714286,Weekly
2021-03-29,409.43,Weekly
2021-03-30,408.2528571428571,Weekly
2021-03-31,407.0757142857143,Weekly
2021-04-01,405.8985714285714,Weekly
2021-04-02,404.7214285714286,Weekly
2021-04-03,403.5442857142857,Weekly
2021-04-04,402.3671428571429,Weekly
2021-04-05,401.19,Weekly
2021-04-06,401.31857142857143,Weekly
2021-04-07,401.44714285714286,Weekly
2021-04-08,401.5757142857143,Weekly
2021-04-09,401.7042857142857,Weekly
2021-04-10,401.8328571428571,Weekly
2021-04-11,401.96142857142854,Weekly
2021-04-12,402.09,Weekly
2021-04-13,404.9385714285714,Weekly
2021-04-14,407.78714285714284,Weekly
2021-04-15,410.63571428571424,Weekly
2021-04-16,413.4842857142857,Weekly
2021-04-17,416.3328571428571,Weekly
2021-04-18,419.18142857142857,Weekly
2021-04-19,422.03,Weekly
2021-04-20,422.2085714285714,Weekly
2021-04-21,422.3871428571428,Weekly
2021-04-22,422.56571428571425,Weekly
2021-04-23,422.7442857142857,Weekly
2021-04-24,422.92285714285714,Weekly
2021-04-25,423.1014285714285,Weekly
2021-04-26,423.28,Weekly
2021-04-27,425.52142857142854,Weekly
2021-04-28,427.7628571428571,Weekly
2021-04-29,430.0042857142857,Weekly
2021-04-30,432.2457142857143,Weekly
2021-05-01,434.4871428571429,Weekly
2021-05-02,436.72857142857146,Weekly
2021-05-03,438.97,Weekly
2021-05-04,435.8357142857143,Weekly
2021-05-05,432.7014285714286,Weekly
2021-05-06,429.56714285714287,Weekly
2021-05-07,426.43285714285713,Weekly
2021-05-08,423.2985714285714,Weekly
2021-05-09,420.1642857142857,Weekly
2021-05-10,417.03,Weekly
2021-05-11,414.01142857142855,Weekly
2021-05-12,410.99285714285713,Weekly
2021-05-13,407.9742857142857,Weekly
2021-05-14,404.95571428571424,Weekly
2021-05-15,401.9371428571428,Weekly
2021-05-16,398.9185714285714,Weekly
2021-05-17,395.9,Weekly
2021-05-18,395.50857142857143,Weekly
2021-05-19,395.1171428571428,Weekly
2021-05-20,394.7257142857143,Weekly
2021-05-21,394.3342857142857,Weekly
2021-05-22,393.9428571428572,Weekly
2021-05-23,393.5514285714286,Weekly
2021-05-24,393.16,Weekly
2021-05-25,393.24142857142857,Weekly
2021-05-26,393.3228571428572,Weekly
2021-05-27,393.4042857142857,Weekly
2021-05-28,393.4857142857143,Weekly
2021-05-29,393.56714285714287,Weekly
2021-05-30,393.6485714285715,Weekly
2021-05-31,393.73,Weekly
2021-06-01,392.06857142857143,Weekly
2021-06-02,390.4071428571429,Weekly
2021-06-03,388.7457142857143,Weekly
2021-06-04,387.0842857142857,Weekly
2021-06-05,385.42285714285714,Weekly
2021-06-06,383.7614285714286,Weekly
2021-06-07,382.1,Weekly
2021-06-08,380.66,Weekly
2021-06-09,379.22,Weekly
2021-06-10,377.78000000000003,Weekly
2021-06-11,376.34,Weekly
2021-06-12,374.9,Weekly
2021-06-13,373.46,Weekly
2021-06-14,372.02,Weekly
2021-06-15,368.58142857142855,Weekly
2021-06-16,365.1428571428571,Weekly
2021-06-17,361.7042857142857,Weekly
2021-06-18,358.2657142857143,Weekly
2021-06-19,354.82714285714286,Weekly
2021-06-20,351.3885714285714,Weekly
2021-06-21,347.95,Weekly
2021-06-22,352.3671428571428,Weekly
2021-06-23,356.7842857142857,Weekly
2021-06-24,361.20142857142855,Weekly
2021-06-25,365.61857142857144,Weekly
2021-06-26,370.0357142857143,Weekly
2021-06-27,374.45285714285717,Weekly
2021-06-28,378.87,Weekly
2021-06-29,375.01,Weekly
2021-06-30,371.15000000000003,Weekly
2021-07-01,367.29,Weekly
2021-07-02,363.43,Weekly
2021-07-03,359.57,Weekly
2021-07-04,355.71000000000004,Weekly
2021-07-05,351.85,Weekly
2021-07-06,353.2942857142857,Weekly
2021-07-07,354.73857142857145,Weekly
2021-07-08,356.18285714285713,Weekly
2021-07-09,357.62714285714287,Weekly
2021-07-10,359.07142857142856,Weekly
2021-07-11,360.5157142857143,Weekly
2021-07-12,361.96,Weekly
2021-07-13,360.44714285714286,Weekly
2021-07-14,358.9342857142857,Weekly
2021-07-15,357.4214285714286,Weekly
2021-07-16,355.9085714285714,Weekly
2021-07-17,354.3957142857143,Weekly
2021-07-18,352.8828571428571,Weekly
2021-07-19,351.37,Weekly
2021-07-20,351.16,Weekly
2021-07-21,350.95,Weekly
2021-07-22,350.74,Weekly
2021-07-23,350.53,Weekly
2021-07-24,350.32,Weekly
2021-07-25,350.10999999999996,Weekly
2021-07-26,349.9,Weekly
2021-07-27,350.5928571428571,Weekly
2021-07-28,351.2857142857143,Weekly
2021-07-29,351.9785714285714,Weekly
2021-07-30,352.6714285714286,Weekly
2021-07-31,353.3642857142857,Weekly
2021-08-01,354.0571428571429,Weekly
2021-08-02,354.75,Weekly
2021-08-03,355.04,Weekly
2021-08-04,355.33,Weekly
2021-08-05,355.62,Weekly
2021-08-06,355.90999999999997,Weekly
2021-08-07,356.2,Weekly
2021-08-08,356.48999999999995,Weekly
2021-08-09,356.78,Weekly
2021-08-10,356.0785714285714,Weekly
2021-08-11,355.3771428571428,Weekly
2021-08-12,354.67571428571426,Weekly
2021-08-13,353.9742857142857,Weekly
2021-08-14,353.27285714285716,Weekly
2021-08-15,352.57142857142856,Weekly
2021-08-16,351.87,Weekly
2021-08-17,351.5842857142857,Weekly
2021-08-18,351.29857142857145,Weekly
2021-08-19,351.0128571428572,Weekly
2021-08-20,350.72714285714284,Weekly
2021-08-21,350.44142857142856,Weekly
2021-08-22,350.1557142857143,Weekly
2021-08-23,349.87,Weekly
2021-08-24,348.04857142857145,Weekly
2021-08-25,346.22714285714284,Weekly
2021-08-26,344.4057142857143,Weekly
2021-08-27,342.5842857142857,Weekly
2021-08-28,340.7628571428572,Weekly
2021-08-29,338.94142857142856,Weekly
2021-08-30,337.12,Weekly
2021-08-31,337.43285714285713,Weekly
2021-09-01,337.7457142857143,Weekly
2021-09-02,338.05857142857144,Weekly
2021-09-03,338.37142857142857,Weekly
2021-09-04,338.6842857142857,Weekly
2021-09-05,338.9971428571429,Weekly
2021-09-06,339.31,Weekly
2021-09-07,339.19714285714286,Weekly
2021-09-08,339.0842857142857,Weekly
2021-09-09,338.9714285714286,Weekly
2021-09-10,338.8585714285714,Weekly
2021-09-11,338.74571428571426,Weekly
2021-09-12,338.6328571428571,Weekly
2021-09-13,338.52,Weekly
2021-09-14,338.1014285714285,Weekly
2021-09-15,337.68285714285713,Weekly
2021-09-16,337.2642857142857,Weekly
2021-09-17,336.8457142857143,Weekly
2021-09-18,336.4271428571428,Weekly
2021-09-19,336.00857142857143,Weekly
2021-09-20,335.59,Weekly
2021-09-21,333.9042857142857,Weekly
2021-09-22,332.2185714285714,Weekly
2021-09-23,330.53285714285715,Weekly
2021-09-24,328.84714285714284,Weekly
2021-09-25,327.1614285714286,Weekly
2021-09-26,325.4757142857143,Weekly
2021-09-27,323.79,Weekly
2021-09-28,322.71857142857147,Weekly
2021-09-29,321.64714285714285,Weekly
2021-09-30,320.5757142857143,Weekly
2021-10-01,319.50428571428574,Weekly
2021-10-02,318.4328571428572,Weekly
2021-10-03,317.3614285714286,Weekly
2021-10-04,316.29,Weekly
2021-10-05,315.98857142857145,Weekly
2021-10-06,315.6871428571429,Weekly
2021-10-07,315.3857142857143,Weekly
2021-10-08,315.0842857142857,Weekly
2021-10-09,314.78285714285715,Weekly
2021-10-10,314.4814285714286,Weekly
2021-10-11,314.18,Weekly
2021-10-12,315.6457142857143,Weekly
2021-10-13,317.1114285714286,Weekly
2021-10-14,318.57714285714286,Weekly
2021-10-15,320.04285714285714,Weekly
2021-10-16,321.50857142857143,Weekly
2021-10-17,322.9742857142857,Weekly
2021-10-18,324.44,Weekly
2021-10-19,325.12714285714287,Weekly
2021-10-20,325.8142857142857,Weekly
2021-10-21,326.50142857142856,Weekly
2021-10-22,327.18857142857144,Weekly
2021-10-23,327.8757142857143,Weekly
2021-10-24,328.5628571428571,Weekly
2021-10-25,329.25,Weekly
2021-10-26,329.46714285714285,Weekly
2021-10-27,329.6842857142857,Weekly
2021-10-28,329.90142857142854,Weekly
2021-10-29,330.11857142857144,Weekly
2021-10-30,330.3357142857143,Weekly
2021-10-31,330.55285714285714,Weekly
2021-11-01,330.77,Weekly
2021-11-02,334.93,Weekly
2021-11-03,339.09,Weekly
2021-11-04,343.25,Weekly
2021-11-05,347.40999999999997,Weekly
2021-11-06,351.57,Weekly
2021-11-07,355.72999999999996,Weekly
2021-11-08,359.89,Weekly
2021-11-09,361.1871428571429,Weekly
2021-11-10,362.4842857142857,Weekly
2021-11-11,363.7814285714286,Weekly
2021-11-12,365.0785714285714,Weekly
2021-11-13,366.3757142857143,Weekly
2021-11-14,367.67285714285714,Weekly
2021-11-15,368.97,Weekly
2021-11-16,366.48857142857145,Weekly
2021-11-17,364.00714285714287,Weekly
2021-11-18,361.5257142857143,Weekly
2021-11-19,359.04428571428576,Weekly
2021-11-20,356.5628571428572,Weekly
2021-11-21,354.0814285714286,Weekly
2021-11-22,351.6,Weekly
2021-11-23,353.0557142857143,Weekly
2021-11-24,354.5114285714286,Weekly
2021-11-25,355.9671428571429,Weekly
2021-11-26,357.42285714285714,Weekly
2021-11-27,358.87857142857143,Weekly
2021-11-28,360.3342857142857,Weekly
2021-11-29,361.79,Weekly
2021-11-30,362.81,Weekly
2021-12-01,363.83000000000004,Weekly
2021-12-02,364.85,Weekly
2021-12-03,365.87,Weekly
2021-12-04,366.89,Weekly
2021-12-05,367.91,Weekly
2021-12-06,368.93,Weekly
2021-12-07,370.7657142857143,Weekly
2021-12-08,372.6014285714286,Weekly
2021-12-09,374.4371428571429,Weekly
2021-12-10,376.2728571428571,Weekly
2021-12-11,378.1085714285714,Weekly
2021-12-12,379.9442857142857,Weekly
2021-12-13,381.78,Weekly
2021-12-14,385.4685714285714,Weekly
2021-12-15,389.15714285714284,Weekly
2021-12-16,392.8457142857143,Weekly
2021-12-17,396.5342857142857,Weekly
2021-12-18,400.22285714285715,Weekly
2021-12-19,403.9114285714286,Weekly
2021-12-20,407.6,Weekly
2021-12-21,407.2457142857143,Weekly
2021-12-22,406.8914285714286,Weekly
2021-12-23,406.5371428571429,Weekly
2021-12-24,406.18285714285713,Weekly
2021-12-25,405.8285714285714,Weekly
2021-12-26,405.4742857142857,Weekly
2021-12-27,405.12,Weekly
2021-12-28,408.43857142857144,Weekly
2021-12-29,411.75714285714287,Weekly
2021-12-30,415.0757142857143,Weekly
2021-12-31,418.39428571428573,Weekly
2022-01-01,421.71285714285716,Weekly
2022-01-02,425.0314285714286,Weekly
2022-01-03,428.35,Weekly
2022-01-04,425.7657142857143,Weekly
2022-01-05,423.18142857142857,Weekly
2022-01-06,420.59714285714284,Weekly
2022-01-07,418.0128571428572,Weekly
2022-01-08,415.42857142857144,Weekly
2022-01-09,412.8442857142857,Weekly
2022-01-10,410.26,Weekly
2022-01-11,408.4242857142857,Weekly
2022-01-12,406.5885714285714,Weekly
2022-01-13,404.7528571428571,Weekly
2022-01-14,402.9171428571429,Weekly
2022-01-15,401.0814285714286,Weekly
2022-01-16,399.2457142857143,Weekly
2022-01-17,397.41,Weekly
2022-01-18,399.8828571428572,Weekly
2022-01-19,402.3557142857143,Weekly
2022-01-20,404.8285714285715,Weekly
2022-01-21,407.3014285714286,Weekly
2022-01-22,409.7742857142857,Weekly
2022-01-23,412.2471428571429,Weekly
2022-01-24,414.72,Weekly
2022-01-25,419.33000000000004,Weekly
2022-01-26,423.94,Weekly
2022-01-27,428.55,Weekly
2022-01-28,433.16,Weekly
2022-01-29,437.77000000000004,Weekly
2022-01-30,442.38,Weekly
2022-01-31,446.99,Weekly
2022-02-01,448.59714285714284,Weekly
2022-02-02,450.20428571428573,Weekly
2022-02-03,451.81142857142856,Weekly
2022-02-04,453.41857142857145,Weekly
2022-02-05,455.0257142857143,Weekly
2022-02-06,456.6328571428572,Weekly
2022-02-07,458.24,Weekly
2022-02-08,456.9714285714286,Weekly
2022-02-09,455.70285714285717,Weekly
2022-02-10,454.43428571428575,Weekly
2022-02-11,453.1657142857143,Weekly
2022-02-12,451.89714285714285,Weekly
2022-02-13,450.62857142857143,Weekly
2022-02-14,449.36,Weekly
2022-02-15,448.9714285714286,Weekly
2022-02-16,448.58285714285716,Weekly
2022-02-17,448.19428571428574,Weekly
2022-02-18,447.80571428571426,Weekly
2022-02-19,447.41714285714284,Weekly
2022-02-20,447.0285714285714,Weekly
2022-02-21,446.64,Weekly
2022-02-22,449.23285714285714,Weekly
2022-02-23,451.8257142857143,Weekly
2022-02-24,454.41857142857145,Weekly
