Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-26,2333.775,gc,0,0,0,0,0,0,0.8559155658489118,0,0,0,3.123654322959213,8.559155658489118,7.298977720684676,5.87849689082705,-13.573618130767802,13.579530914216612,0.0013163312709192354,0.1357652014552261,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,9.468339093125607e-4,1,13.531237812189952,9.1013137115044,-0.066698,0.043713,2030.4761904761906,9347.370352970287
2024-04-25,2330.705,gc,0,0,0,0,0,0,0.8377015754659758,0,0,0,3.2189494729844546,8.377015754659757,7.685193790387459,6.138796313753335,-13.267294184262221,13.81117398910439,0.006186760311223338,0.1388998370282597,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,9.266851651997553e-4,1,13.601171198402982,9.417452116771,-0.066698,0.043713,2030.4761904761906,9136.422663976393
2024-04-24,2316.33,gc,0,0,0,0,0,0,0.831655984086157,0,0,0,3.3074486372525804,8.31655984086157,7.953886463973157,5.619823855945006,-13.090308081729349,14.34042406485638,-0.003017464775997958,0.14077781733587327,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,9.199973899697504e-4,1,13.950638809389286,9.95006796537135,-0.066698,0.043713,2030.4761904761906,9014.542511480166
2024-04-23,2323.33,gc,0,0,0,0,0,0,0.8116967916262845,0,0,0,3.6035333243733856,8.116967916262844,8.879013349685625,5.094785596366767,-12.814759166267244,15.698671251197737,-0.004522047820216812,0.14380488748090836,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,8.979180623146216e-4,1,15.144491265584037,11.019960819745526,-0.066698,0.043713,2030.4761904761906,8824.787816868176
2024-04-22,2333.86,gc,0,0,0,0,0,0,0.7929664406027485,0,0,0,3.8621149102892325,7.929664406027484,9.740929029363633,4.4097044999062085,-12.575791476024186,17.070948860543833,-0.022316878891768255,0.1465374965475021,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,8.771981079289087e-4,1,16.51070610401149,11.940875330228234,-0.066698,0.043713,2030.4761904761906,8660.224508723202
2024-04-21,2386.53,gc,0,0,0,0,0,0,0.8639589769881945,0,0,0,4.419069896381734,8.639589769881946,10.229814178878815,3.618113372827819,-14.010890491704684,18.83614079794352,-0.002207882931128502,0.13152804249601885,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,9.557317197007402e-4,1,18.489257696129744,12.90431030044279,-0.066698,0.043713,2030.4761904761906,9648.49468573237
2024-04-19,2391.805,gc,0,0,0,0,0,0,0.8434652623168443,0,0,0,4.346269392794818,8.434652623168443,10.30574603832863,3.43656216845712,-13.708776297883599,18.877101782484747,0.004977235540034819,0.13442665924051156,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,9.330610910162796e-4,1,18.580572179377324,12.881264124763918,-0.066698,0.043713,2030.4761904761906,9440.44601136061
2024-04-18,2379.93,gc,0,0,0,0,0,0,0.8338714999711311,0,0,0,4.249614002884097,8.33871499971131,10.192491296395715,3.232483709598371,-13.48556148195868,18.716527281374443,0.00507181224604647,0.1366517072696882,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,9.22448245696896e-4,1,18.45638996579227,12.737822169831803,-0.066698,0.043713,2030.4761904761906,9286.73080200233
2024-04-17,2367.89,gc,0,0,0,0,0,0,0.8243449928527758,0,0,0,4.205336580146806,8.243449928527758,10.202855883417392,3.075646520473746,-13.26405294767621,18.698011058157757,-0.006256019595501705,0.13893377893390066,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,9.119097996902273e-4,1,18.552959356041917,12.610392407554345,-0.066698,0.043713,2030.4761904761906,9134.190610703701
2024-04-16,2382.75,gc,0,0,0,0,0,0,0.8082716383405594,0,0,0,4.1470945463746824,8.082716383405593,10.261635691904196,2.957401800513569,-13.08704323814387,18.74700164135408,2.8542526459141015e-4,0.14081293738136738,1.06849,0.047619047619047616,Future,1,0.1,0.01,0.3,0,8.94129077273438e-4,1,18.564933205402955,12.68006953018718,-0.066698,0.043713,2030.4761904761906,9012.29420142429
