Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-26,130.45,gg,0,0,0,0,0,0,17.469876332751948,0,0,0,-83.98400642902686,174.6987633275195,-9.61472248908556,-8.576515468632962,3.8373827028341987,-10.450063602548031,0.004533064502396655,0.06682288941642714,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0032120973369787822,1,-8.926073406678922,-8.490699264234463,-0.019743,-0.040257,2030.4761904761906,11394.726838037457
2024-04-25,129.86,gg,0,0,0,0,0,0,17.651244161433045,0,0,0,-86.89343762169422,176.51244161433047,-9.845587860775431,-8.606685784112896,3.8596855184319545,-10.753950348193436,-0.0036127484622880957,0.0664367598799023,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003245444517486752,1,-9.141857834068311,-8.781392746254086,-0.019743,-0.040257,2030.4761904761906,11460.952834018479
2024-04-24,130.33,gg,0,0,0,0,0,0,17.51569672119479,0,0,0,-79.68775520990677,175.1569672119479,-9.099010616401111,-8.600755301326023,3.8439082385785754,-9.753590623827757,-0.006119502000704102,0.06670944884335282,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003220522098831312,1,-7.728515583144325,-8.527468789901935,-0.019743,-0.040257,2030.4761904761906,11414.103768366585
2024-04-23,131.13,gg,0,0,0,0,0,0,17.941256401215398,0,0,0,-75.90059815148263,179.412564012154,-8.46101259066125,-8.66801728930231,3.961467647956118,-8.92807530020857,-0.0018133476462036668,0.06472979783952043,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003298767593469248,1,-6.63670389937201,-8.2434216009756085,-0.019743,-0.040257,2030.4761904761906,11763.184759456877
2024-04-22,131.368,gg,0,0,0,0,0,0,17.615296164919776,0,0,0,-72.12870093557851,176.15296164919775,-8.189325942667965,-8.759218072932304,3.89655433825431,-8.487769389551623,0.0011348620913569363,0.06580814169137972,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003238834942142848,1,-6.219712972160808,-7.926569343758565,-0.019743,-0.040257,2030.4761904761906,11570.431132965905
2024-04-19,131.219,gg,0,0,0,0,0,0,17.294134094228514,0,0,0,-70.18720153473026,172.94134094228514,-8.116879532945624,-8.848344852272808,3.8211733951181346,-8.308920315350163,-0.001096800347591298,0.06710635019274554,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0031797845051301957,1,-6.0746577378800515,-7.773542787703553,-0.019743,-0.040257,2030.4761904761906,11346.594908552855
2024-04-18,131.363,gg,0,0,0,0,0,0,16.934861669724732,0,0,0,-65.09231414345363,169.34861669724734,-7.687374767261583,-8.879809073849678,3.745897686503425,-7.682877329342317,-0.0026152749919816642,0.06845488624099544,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0031137269111313768,1,-5.458236024091126,-7.346559524812737,-0.019743,-0.040257,2030.4761904761906,11123.07116760025
2024-04-17,131.707,gg,0,0,0,0,0,0,16.673554854858857,0,0,0,-59.84873032857882,166.73554854858858,-7.17888067056537,-8.912464140592654,3.6977560794000333,-6.96448686349085,0.0018695287546384165,0.06934611004455582,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0030656817556776136,1,-4.8088923667031285,-6.798585739114955,-0.019743,-0.040257,2030.4761904761906,10980.119446344477
2024-04-16,131.461,gg,0,0,0,0,0,0,16.417497947108405,0,0,0,-57.14086131375671,164.17497947108407,-6.960970727433026,-8.971402216836548,3.6341688515188624,-6.612677620585193,-0.005227411367184409,0.07055946228057891,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0030186018739523897,1,-4.49644855088449,-6.524680816757498,-0.019743,-0.040257,2030.4761904761906,10791.303488124093
2024-04-15,132.15,gg,0,0,0,0,0,0,16.504621027736874,0,0,0,-50.8590973554036,165.04621027736874,-6.163013045853309,-9.026660296427023,3.672602484410856,-5.540321821796328,-0.0042437257396752415,0.06982106043015833,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0030346207518165357,1,-3.504117585671707,-5.729752117322173,-0.019743,-0.040257,2030.4761904761906,10905.42834407714
