Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-26,19.708,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.9832554142406273,9.290587040624592,10.490116521582387,-15.201359000090992,0.011636346467327474,0.2535052870507921,1.06849,0,Future,0.01,5000,1,0.04,0,0.008006273400073661,1,-15.798191614115753,-9.537406719369237,0.076372,-0.136372,0,0
2024-04-25,19.48,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-4.036641602190593,9.216659618808979,10.397067916406026,-15.189052570528293,-0.027643131071221738,0.25577403373539226,1.06849,0,Future,0.01,5000,1,0.04,0,0.008028133506598962,1,-15.95708079408471,-9.3580068234624445,0.076372,-0.136372,0,0
2024-04-24,20.026,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.420059308803919,9.169335386503302,10.94603786893005,-14.617765706121903,7.493069261843566e-4,0.24294635482198826,1.06849,0,Future,0.01,5000,1,0.04,0,0.00822158199111587,1,-15.503702713094713,-8.859240130441792,0.076372,-0.136372,0,0
2024-04-23,20.011,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.5196794264111335,9.022484337101663,10.722408951697808,-14.565352546281247,0.002752272360635466,0.2480132973830401,1.06849,0,Future,0.01,5000,1,0.04,0,0.008059650937103842,1,-15.511099183103036,-8.764488394032375,0.076372,-0.136372,0,0
2024-04-22,19.956,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.438992992889035,8.922812908265975,10.509806304329704,-14.301633596816552,-0.0013520621003610955,0.2530303530812412,1.06849,0,Future,0.01,5000,1,0.04,0,0.00792161761201587,1,-15.170472512842583,-8.665583481851671,0.076372,-0.136372,0,0
2024-04-19,19.983,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.2758723374965024,8.883303925140158,10.294207391234934,-13.956585441516216,4.504842782093732e-4,0.2583297478797908,1.06849,0,Future,0.01,5000,1,0.04,0,0.0077486292719209085,1,-14.747285086491301,-8.513690649369059,0.076372,-0.136372,0,0
2024-04-18,19.974,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.105100805888849,8.902089115347811,10.081894289175956,-13.632126110113683,0.017270539852387135,0.2637698753551757,1.06849,0,Future,0.01,5000,1,0.04,0,0.007592236913723151,1,-14.313809446873561,-8.406400736649244,0.076372,-0.136372,0,0
2024-04-17,19.632,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-2.8914280453298433,9.060753612959642,10.119562719422458,-13.445395559964174,-0.015817597388814164,0.26278803479284835,1.06849,0,Future,0.01,5000,1,0.04,0,0.007753358383143502,1,-14.089486930705009,-8.31950566923528,0.076372,-0.136372,0,0
2024-04-16,19.945,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-2.064765137095029,9.243309894583097,10.117765734530174,-12.433557997350007,-0.01754387366925636,0.2628347077580846,1.06849,0,Future,0.01,5000,1,0.04,0,0.007630328520213328,1,-12.895369717730915,-7.827226944519095,0.076372,-0.136372,0,0
2024-04-15,20.298,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-1.2105794244366228,9.357623882402155,10.166004675824851,-11.375920178362334,-0.015593619161804906,0.2615875247749902,1.06849,0,Future,0.01,5000,1,0.04,0,0.007533377224035176,1,-11.705704736310926,-7.2541622276262965,0.076372,-0.136372,0,0
