Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-26,587.33,sw,0,0,0,0,0,0,2.0962319621626415,0,0,0,2.086247426412594,20.962319621626413,1.9904738254827996,11.763234082324246,17.84462891991597,-12.149966400476375,0.005583125166121583,0.22027076145097613,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.005410769114491239,1,-12.136829871499252,-8.113114129294706,0.127226,-0.187226,2030.4761904761906,5761.307631971213
2024-04-25,584.06,sw,0,0,0,0,0,0,2.0702053604822166,0,0,0,2.1081373145194218,20.702053604822165,2.036645595418968,11.670978572748247,17.524954172655306,-11.882438912143153,-0.02410529700248354,0.22428874628003923,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.005343589558473821,1,-12.015386914778036,-7.788677938793889,0.127226,-0.187226,2030.4761904761906,5658.097608977358
2024-04-24,598.31,sw,0,0,0,0,0,0,2.119752684402284,0,0,0,2.9341822469041765,21.19752684402284,2.768419418448847,11.587107468818877,18.38219858683967,-11.293427136564144,0.006354656998679431,0.2138291554968872,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.0054714805241739195,1,-11.605452531087996,-7.216926029852243,0.127226,-0.187226,2030.4761904761906,5934.86709564306
2024-04-23,594.52,sw,0,0,0,0,0,0,2.0988894925125394,0,0,0,2.3327948113670374,20.988894925125393,2.2228848347556354,11.473486731912981,18.08597976328297,-11.815886801257129,0.006124482409548548,0.21733132799251278,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.0054176287003565434,1,-12.3955484862233,-7.297596182538581,0.127226,-0.187226,2030.4761904761906,5839.230040002971
2024-04-22,590.89,sw,0,0,0,0,0,0,2.0764518759400383,0,0,0,2.161037658501567,20.76451875940038,2.081471459600513,11.456783040259097,17.783388184307437,-11.844790332815917,0.008856309532758289,0.22102930888437314,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.005359712990194374,1,-12.493435963164028,-7.247881258195832,0.127226,-0.187226,2030.4761904761906,5741.535479855727
2024-04-19,585.68,sw,0,0,0,0,0,0,2.069025184410629,0,0,0,2.353240393317838,20.690251844106285,2.2747334455362553,11.546153134900807,17.56354464062357,-11.521870960380515,-0.008111392708903153,0.22379594099180927,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.005340543301974983,1,-12.160716930097982,-7.042401337202875,0.127226,-0.187226,2030.4761904761906,5670.556907437678
2024-04-18,590.45,sw,0,0,0,0,0,0,2.0234976752812845,0,0,0,2.9009908916916842,20.234976752812845,2.867303409467392,11.784457909715139,17.31696721725016,-10.727641350859459,0.016616245070705027,0.22698258596254162,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.005223028234604944,1,-11.330956016295765,-6.548446235136668,0.127226,-0.187226,2030.4761904761906,5590.9470484975745
2024-04-17,580.72,sw,0,0,0,0,0,0,2.076144368670276,0,0,0,3.4845791627976346,20.76144368670276,3.356779244623947,11.986978637504397,17.474724243928907,-10.255145781218056,-0.020470270362150877,0.2249334493141196,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.005358919256071555,1,-10.85443196039221,-6.2374776749712195,0.127226,-0.187226,2030.4761904761906,5641.880400257385
2024-04-16,592.73,sw,0,0,0,0,0,0,2.0898451166769405,0,0,0,4.809357906952246,20.898451166769405,4.602597454302832,12.220784698507225,17.953825824305405,-8.950508655669205,-0.0183384024636446,0.21893105338466592,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.005394283464564689,1,-9.552257863197143,-5.3652565629182005,0.127226,-0.187226,2030.4761904761906,5796.56288785072
2024-04-15,603.7,sw,0,0,0,0,0,0,2.093378432321139,0,0,0,6.368526158508994,20.933784323211388,6.084448048361299,12.4710291260725,18.31702420516896,-7.281429267805665,-0.01626586425066545,0.214589987760719,1.06849,0.047619047619047616,Future,1,2,0.001,0.7,0,0.00540340361705948,1,-7.824061413947102,-4.3116540323956745,0.127226,-0.187226,2030.4761904761906,5913.824928601445
