Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-09-11,56172,bt,0,0,0,0,0,0,0.006077201900835212,0,0,0,-0.038724193192313607,0.048617615206681696,-15.930108059677762,-14.15468545385249,-7.35545824250625,-7.450765934309501,-0.015246702373927334,0.44184874590391493,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0030218141433069235,1,-4.85361886081538,-3.661542206966907,-0.35,0.1,2427.7777777777774,1236.2827892212422
2024-09-10,57035,bt,0,0,0,0,0,0,0.005893881701891787,0,0,0,-0.035441324716046614,0.047151053615134296,-15.033099792565755,-13.976137754915948,-7.243176076692583,-6.5710285614137405,1.9972188049344197e-4,0.4486981906263463,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002930660421748825,1,-4.330158566911199,-3.1795883604187902,-0.35,0.1,2427.7777777777774,1217.4107482748686
2024-09-09,57023.61,bt,0,0,0,0,0,0,0.0057675286953936256,0,0,0,-0.03674474683798315,0.046140229563149004,-15.927422635681996,-13.826423253463346,-7.086481437380311,-7.746316381071879,0.04816899032768873,0.4586197012888022,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002867832938259586,1,-5.059925121222004,-3.793007885717286,-0.35,0.1,2427.7777777777774,1191.0739954366136
2024-09-06,54341.945313,bt,0,0,0,0,0,0,0.006304072049776929,0,0,0,-0.04808986305116904,0.05043257639821543,-19.070952342966443,-13.686615093115577,-7.381464429814733,-11.261334344782206,-0.050349700555978316,0.4402920356660949,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0031346225436123354,1,-7.521139916850528,-5.348956477186279,-0.35,0.1,2427.7777777777774,1240.6538291650145
2024-09-05,57148.097656,bt,0,0,0,0,0,0,0.006335395337386429,0,0,0,-0.041449386437674596,0.050683162699091434,-16.35627464046068,-13.50920598093828,-7.80120482957777,-8.03767989812561,-0.01430608147292034,0.4166023160522375,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0031501976643764245,1,-4.593036730125718,-4.592883153446409,-0.35,0.1,2427.7777777777774,1311.2025040482633
2024-09-04,57971.539063,bt,0,0,0,0,0,0,0.0061534597912595475,0,0,0,-0.036913108807226924,0.04922767833007638,-14.996892016609408,-13.264302200179456,-7.686353953466147,-6.663977085016523,-1.1521692038662934e-4,0.4228272624024058,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0030597324444565587,1,-3.7747615759705213,-3.841212235476933,-0.35,0.1,2427.7777777777774,1291.898722178733
2024-09-03,57978.21875,bt,0,0,0,0,0,0,0.006021781292182614,0,0,0,-0.03491658575452278,0.048174250337460915,-14.49595396292911,-13.04816952097243,-7.52273959646535,-6.2813499703429505,-0.019374676345085717,0.43202346144309606,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002994256925069024,1,-3.6648324906368765,-3.513853189755067,-0.35,0.1,2427.7777777777774,1264.3989244828294
2024-09-02,59112.480469,bt,0,0,0,0,0,0,0.005843638242133997,0,0,0,-0.03154717385327945,0.046749105937071975,-13.496375265762072,-12.884141002671102,-7.4430114688773585,-5.260852639382424,0.030696731091239826,0.43665121484626745,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002905677477330951,1,-3.0729689162369205,-2.9394341002001356,-0.35,0.1,2427.7777777777774,1250.9984661151557
2024-09-01,57325.488281,bt,0,0,0,0,0,0,0.006060611759489463,0,0,0,-0.036680820806896546,0.048484894075915705,-15.130824355092203,-12.727983265886772,-7.486010102836559,-7.18537400717228,-0.028281771270561862,0.4341431490679564,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.003013564898905292,1,-4.578787250407704,-3.6330687577891876,-0.35,0.1,2427.7777777777774,1258.225544207529
2024-08-31,58969.898438,bt,0,0,0,0,0,0,0.005902390998532935,0,0,0,-0.031174487921674234,0.04721912798826348,-13.20417773467684,-12.54044152804721,-7.4997111594412855,-5.070412495886426,-0.0035371892120306114,0.433350022541684,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0029348915651861165,1,-2.915663980348913,-2.8790931578070023,-0.35,0.1,2427.7777777777774,1260.5283756445542
2024-08-30,59178.855469,bt,0,0,0,0,0,0,0.005757001360545107,0,0,0,-0.028267449729621117,0.04605601088436086,-12.275248848883626,-12.364216482199353,-7.340896074381726,-4.176299549005032,-0.0035309044575200232,0.44272524322226225,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0028625983500632965,1,-2.6029041951672873,-2.170009575124178,-0.35,0.1,2427.7777777777774,1233.8352248095437
2024-08-29,59388.179688,bt,0,0,0,0,0,0,0.00561399167770666,0,0,0,-0.024804832277397004,0.04491193342165328,-11.045987285614343,-12.148200256335162,-7.183861659831021,-2.957954511190443,0.006089656751159467,0.45240292114373015,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002791488538462062,1,-2.1254806891999003,-1.255038752160606,-0.35,0.1,2427.7777777777774,1207.4413635946753
2024-08-28,59027.625,bt,0,0,0,0,0,0,0.0055297874234994755,0,0,0,-0.020508698557462728,0.044238299387995804,-9.271919961293912,-11.95846038413092,-7.0331507800646,-1.1006743736667113,-0.05016263301673973,0.4620973019961544,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002749619005337794,1,-1.2657670024979035,0.007853432593090676,-0.35,0.1,2427.7777777777774,1182.110342649319
2024-08-27,62064.128906,bt,0,0,0,0,0,0,0.005499595395750684,0,0,0,-0.009425596804804273,0.043996763166005474,-4.284677383761291,-11.816766494612402,-7.354575083947679,4.688896636409994,-0.022087084694225823,0.44190180437392634,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0027346063896710555,1,2.129340186487193,3.2293988265528,-0.35,0.1,2427.7777777777774,1236.1343506481287
2024-08-26,63450.195313,bt,0,0,0,0,0,0,0.005334379545985751,0,0,0,-0.004473342578146832,0.042675036367886006,-2.0964680801130515,-11.61622571681651,-7.292947014742622,7.058622845650365,-0.013825886442230484,0.44563603621830195,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0026524548337963803,1,3.692091392757285,4.374906145128847,-0.35,0.1,2427.7777777777774,1225.776094400971
2024-08-25,64333.542969,bt,0,0,0,0,0,0,0.005172763501680957,0,0,0,-0.0027067560849025774,0.041382108013447653,-1.308176994764492,-11.4268635862794,-7.170447734077702,7.80359623759056,0.0024052261566396282,0.45324924196215916,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002572093237055876,1,4.366416751733522,4.5519789483699755,-0.35,0.1,2427.7777777777774,1205.186792227675
2024-08-24,64178.992188,bt,0,0,0,0,0,0,0.005072026043040487,0,0,0,-0.004012966607724834,0.0405762083443239,-1.9779899460646364,-11.278582862554515,-7.013915831850216,6.885689408842781,0.001319630816974282,0.4633645566777033,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0025220027707116973,1,3.9469895909337747,3.922369733457976,-0.35,0.1,2427.7777777777774,1178.8773917379012
2024-08-23,64094.355469,bt,0,0,0,0,0,0,0.005,0,0,0,-0.006632958834101061,0.039731598502191996,-3.33888345002536,-11.088282147419836,-6.8588612573617755,5.157704902361822,0.05718582884327361,0.47383958911717294,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.0024695062844961486,1,2.887890350747595,3.0066295376659165,-0.35,0.1,2427.7777777777774,1152.8162959488827
2024-08-22,60531.898438,bt,0,0,0,0,0,0,0.005588962181142997,0,0,0,-0.015390912099024637,0.044711697449143974,-6.8845125446335755,-10.919439691632428,-7.289565585506386,1.236488301845321,-0.010571265150904452,0.4458427545342171,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002779042928138414,1,-0.024509829324588978,1.4376393171478128,-0.35,0.1,2427.7777777777774,1225.207754179342
2024-08-21,61175.191406,bt,0,0,0,0,0,0,0.00542529168691857,0,0,0,-0.015620654870351879,0.04340233349534856,-7.198071445640566,-10.721734715546258,-7.151293650498827,0.7101468165761811,0.03433699740761753,0.45446322845004433,1.1045,0.05555555555555555,Index,1,0.005,0.001,75,0,0.002697659781361369,1,-0.12042128468049472,0.9320176464818445,-0.35,0.1,2427.7777777777774,1201.9674327953794
