Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-02-21,71.277,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-3.9627146954125254,-2.6571605698580005,6.188273061501016,-6.29437304057868,-0.023789851404892204,0.2241982514687991,1.03,0,Future,1,8,0.01,0.025,0,0.001564438067928534,1,-2.5345957625058624,-4.658973426726915,0.025496,-0.085496,0,0
2025-02-20,72.993,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-0.7503066011804558,-2.7811090537391108,6.4981130268771885,-2.7159952450609883,0.007715355446049621,0.21350813601756416,1.03,0,Future,1,8,0.01,0.025,0,0.0016041477488594718,1,-0.3574086016486899,-2.7465859641352965,0.025496,-0.085496,0,0
2025-02-19,72.432,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-2.885450160618179,-2.95173728478276,6.416116781610491,-5.029847074834641,0.005273989093867115,0.2162367125200226,1.03,0,Future,1,8,0.01,0.025,0,0.0015961735188896077,1,-1.6890068863869114,-4.0593897705669635,0.025496,-0.085496,0,0
2025-02-18,72.051,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.594860764624691,-2.97696815690893,6.307483033778776,-6.916526883720284,0.006768073963556276,0.2199609563069751,1.03,0,Future,1,8,0.01,0.025,0,0.0015774456206424424,1,-2.826803473487276,-5.077798679335905,0.025496,-0.085496,0,0
2025-02-17,71.565,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-6.462757305979277,-2.96703182122769,6.213089099045346,-9.00903698859943,0.012924637235133929,0.22330276902244603,1.03,0,Future,1,8,0.01,0.025,0,0.0015643906966768511,1,-4.160507672550091,-6.1355346001349735,0.025496,-0.085496,0,0
2025-02-16,70.646,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-8.223452236700762,-2.908435985048935,6.206088424314805,-11.047057347290949,-0.004082474362903099,0.22355466199358554,1.03,0,Future,1,8,0.01,0.025,0,0.0015829554798933126,1,-5.588072980274003,-7.037135416629939,0.025496,-0.085496,0,0
2025-02-14,70.935,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-7.102398060731481,-2.829944160995762,6.090578427521908,-9.747343488384766,-0.010364095042094235,0.22779445606195,1.03,0,Future,1,8,0.01,0.025,0,0.0015471637642552798,1,-4.800667340194368,-6.339153789388222,0.025496,-0.085496,0,0
2025-02-13,71.674,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-5.197452802443084,-2.7796629291999952,6.035670045634384,-7.567949618152148,0.0032001368851100054,0.22986677361588218,1.03,0,Future,1,8,0.01,0.025,0,0.0015174072898724781,1,-3.627532383233797,-5.021552894654372,0.025496,-0.085496,0,0
2025-02-12,71.445,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.797849156438299,-2.792250237825961,5.916707274843285,-7.045484697295289,-0.027227593512058057,0.23448853146731818,1.03,0,Future,1,8,0.01,0.025,0,0.0014922670900837322,1,-3.276543428454518,-4.775439082740099,0.025496,-0.085496,0,0
2025-02-11,73.417,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-1.753708399181041,-2.7800959570435437,6.29213516239645,-3.7602577731690716,0.009484062575964458,0.22049748840290148,1.03,0,Future,1,8,0.01,0.025,0,0.001544328646739643,1,-1.1559556021756867,-3.1414818528746804,0.025496,-0.085496,0,0
2025-02-10,72.724,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-4.189075666068437,-2.6289368222087544,6.229993926512379,-6.588043599087168,0.017337706652435614,0.22269684631565642,1.03,0,Future,1,8,0.01,0.025,0,0.0015436476768012368,1,-3.1320443321859353,-4.3971483524851145,0.025496,-0.085496,0,0
2025-02-09,71.474,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-6.819404246109701,-2.415305988134141,6.326274117604147,-9.749088917431804,1.3991199535823284e-5,0.21930760099997515,1.03,0,Future,1,8,0.01,0.025,0,0.0015949175490896736,1,-5.569721402771788,-5.57209450286456,0.025496,-0.085496,0,0
2025-02-07,71.473,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-6.865464433497822,-2.0559481481062076,6.197274984556012,-9.916908485079556,0.007344352399003995,0.2238725897200763,1.03,0,Future,1,8,0.01,0.025,0,0.0015624174257446407,1,-5.865467006916392,-5.4681426903173875,0.025496,-0.085496,0,0
2025-02-06,70.95,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-7.146053567329689,-1.6594668724281851,6.107016503896354,-10.390693178396585,-0.010222414070452324,0.22718130843674997,1.03,0,Future,1,8,0.01,0.025,0,0.0015510114802213056,1,-6.299154688101709,-5.575923230065818,0.025496,-0.085496,0,0
2025-02-05,71.679,cl,0,0,0,0,0,0,8,0,0,0,-0,0,-5.1749167167634855,-1.1230659768899316,6.049708457133432,-8.377511773565734,-0.019315862087570856,0.22933336537301496,1.03,0,Future,1,8,0.01,0.025,0,0.0015208305455878532,1,-4.555958274525931,-5.01834089526348,0.025496,-0.085496,0,0
