Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-09-11,69.077,ct,0,0,0,0,0,0,1026.4152790727026,0,0,0,-4928.52655156258,8211.32223258162,-12.004221517471889,0.2421019866229734,-2.265603512876018,-12.707359542555636,0.01845316111998141,0.21273581068391262,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.010207448288930294,1,-7.5657130145708145,-6.956983605492771,-0.049279,-0.010721,2427.7777777777774,2567.7388223632443
2024-09-10,67.814,ct,0,0,0,0,0,0,1069.0188263966916,0,0,0,-6662.9833770811465,8552.150611173533,-15.582006632053096,0.33092306036220953,-2.316498635282889,-16.815219792028913,0.005634150966167262,0.20806185363504065,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.01063113012132419,1,-10.427487225351637,-8.789906822681404,-0.049279,-0.010721,2427.7777777777774,2625.4211930562333
2024-09-09,67.433,ct,0,0,0,0,0,0,1056.6935161283595,0,0,0,-6627.459564730538,8453.548129026876,-15.67971096532564,0.4514883071278899,-2.2769256892022636,-17.006950983620687,-7.263833102992834e-4,0.21167796660455054,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.010508557932684631,1,-10.789389668781347,-8.647125741070868,-0.049279,-0.010721,2427.7777777777774,2580.570896263782
2024-09-06,67.482,ct,0,0,0,0,0,0,1033.517005237736,0,0,0,-5639.236079901311,8268.136041901887,-13.640888469474529,0.6248829004314707,-2.2286039989605153,-14.787726272992082,-0.023983228845860793,0.21626767259899332,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.010278073214406082,1,-9.550704230500049,-7.3495543672051875,-0.049279,-0.010721,2427.7777777777774,2525.8051443169898
2024-09-05,69.12,ct,0,0,0,0,0,0,1062.777324943696,0,0,0,-4031.8100539574552,8502.218599549567,-9.484136420983234,0.8634334568586884,-2.347325639329661,-10.097066961316782,-0.005899807230670184,0.20532941485598064,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.010569059919695567,1,-6.689708214360204,-4.849796884287547,-0.049279,-0.010721,2427.7777777777774,2660.3592105064104
2024-09-04,69.529,ct,0,0,0,0,0,0,1039.1920961883523,0,0,0,-3264.448598196076,8313.536769506818,-7.8533329164303005,1.1245860557238012,-2.3088150850429594,-8.383123104117907,-0.008777826978805692,0.20875426668958721,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.010334510602463796,1,-5.6097910809330305,-3.970921038058863,-0.049279,-0.010721,2427.7777777777774,2616.712983463284
2024-09-03,70.142,ct,0,0,0,0,0,0,1018.4619493882767,0,0,0,-2740.2073011720154,8147.695595106214,-6.726336960398663,1.4390037905157045,-2.2827076075475237,-7.265390331939704,0.007613523524701016,0.21114180300902408,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.010128354375254401,1,-4.826946937138315,-3.476356299364204,-0.049279,-0.010721,2427.7777777777774,2587.1238770119508
2024-08-30,69.61,ct,0,0,0,0,0,0,1011.9249210599688,0,0,0,-3339.5217382407122,8095.399368479751,-8.250418753257499,1.7952020627221803,-2.2508536515417497,-9.201224209313072,4.023219779538678e-4,0.21412987009167178,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.01006334523130951,1,-5.8629599685925395,-4.652724842050971,-0.049279,-0.010721,2427.7777777777774,2551.021955816548
2024-08-29,69.582,ct,0,0,0,0,0,0,990.8499647863819,0,0,0,-3367.04478642913,7926.799718291055,-8.4953446689455,2.2393560006463353,-2.203089491652293,-9.727098590434736,0.020266648018114175,0.21877232033752927,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.009853759958428096,1,-6.274070340693747,-4.842613762660237,-0.049279,-0.010721,2427.7777777777774,2496.8880850979094
2024-08-28,68.186,ct,0,0,0,0,0,0,1039.822583945748,0,0,0,-4337.21382821108,8318.580671565984,-10.42777367787333,2.762976054550175,-2.2655924719620875,-12.166147423149278,-0.021372644209595393,0.2127368474095395,1.1045,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.010340780648625068,1,-8.043028704579278,-5.861139779019897,-0.049279,-0.010721,2427.7777777777774,2567.7263090602
