Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-05-13,97.6685,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-0.6880526490277675,0.10088133341760129,-0.8234725603490343,-0.5561079185713069,0.001311415132955851,0.09411363988516033,0.85974,0,Future,1,0.01,0.01,0.02,0,0.002175819714974725,1,-0.22197139434563642,-0.7048751366065418,-0.0331,-0.0269,0,0
2024-05-10,97.5405,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-0.9318674283571944,-0.13380145246046454,-0.8080382903772986,-0.7715700330573776,-0.0035205358096410677,0.0959112964359805,0.85974,0,Future,1,0.01,0.01,0.02,0,0.0021378402860344997,1,-0.26175043398360254,-1.0241996211120268,-0.0331,-0.0269,0,0
2024-05-09,97.8845,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-0.9971374968868583,-0.3233854660153625,-0.7982442462736683,-0.7687018063712958,-3.983494087647088e-4,0.09708807844438885,0.85974,0,Future,1,0.01,0.01,0.02,0,0.002104505975587538,1,-0.05755426391387055,-1.2236154133716224,-0.0331,-0.0269,0,0
2024-05-08,97.9235,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-1.5806766620959292,-0.4668368553377028,-0.7821766199858132,-1.4830621451328143,-2.9610570168792094e-4,0.09908248088699663,0.85974,0,Future,1,0.01,0.01,0.02,0,0.0020613236961922413,1,-0.46078707846808076,-2.0109831634199433,-0.0331,-0.0269,0,0
2024-05-07,97.9525,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-2.4521899873366975,-0.597244323768873,-0.7662562883426106,-2.5878363437265217,-2.0926321560743588e-4,0.10114109493003984,0.85974,0,Future,1,0.01,0.01,0.02,0,0.002018769896449444,1,-1.1780080093606067,-3.13505256351693,-0.0331,-0.0269,0,0
2024-05-06,97.973,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-3.747709825647404,-0.7392874291438718,-0.7505157658894972,-4.252044836679854,0.009048397276834486,0.10326232108948227,0.85974,0,Future,1,0.01,0.01,0.02,0,0.001976886366360969,1,-2.363452202205991,-4.723289192260433,-0.0331,-0.0269,0,0
2024-05-03,97.0905,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-5.433767324245819,-0.8237372377610422,-0.7700085662574847,-6.4481501969851625,0.007090652204822412,0.10064823093680308,0.85974,0,Future,1,0.01,0.01,0.02,0,0.002046666646751719,1,-4.510490824498692,-6.236426170476578,-0.0331,-0.0269,0,0
2024-05-02,96.4045,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-6.578303041513424,-0.8631037637476018,-0.7771435234813306,-7.9509470784034315,0.007966966386567798,0.09972417920029382,0.85974,0,Future,1,0.01,0.01,0.02,0,0.0020803299363621086,1,-6.085598585346158,-7.165979878659561,-0.0331,-0.0269,0,0
2024-05-01,95.6395,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-7.219699345807362,-0.7601173765962238,-0.7917435530973362,-8.850335329563036,-7.211991031077503e-4,0.09788523025772232,0.85974,0,Future,1,0.01,0.01,0.02,0,0.0021363653817548706,1,-7.179272096222799,-7.5712867863822595,-0.0331,-0.0269,0,0
2024-04-30,95.7085,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-6.800304427695771,-0.6341750203551159,-0.7759886448618301,-8.361990737652555,-0.006758119293385434,0.09987259544732044,0.85974,0,Future,1,0.01,0.01,0.02,0,0.0020923442970884687,1,-6.764503983472733,-7.1721472459481905,-0.0331,-0.0269,0,0
2024-04-29,96.3575,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-6.349898352875963,-0.4452162835391141,-0.781493289410742,-7.853176350693022,0.004243221642139083,0.09916911770085213,0.85974,0,Future,1,0.01,0.01,0.02,0,0.002092994189241823,1,-6.3402063630640875,-6.7484208880909495,-0.0331,-0.0269,0,0
2024-04-26,95.9495,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-6.7326067996210215,-0.505081457950218,-0.7739588073788912,-8.337288933496806,0.003602121313458717,0.10013452817012762,0.85974,0,Future,1,0.01,0.01,0.02,0,0.002081629452264332,1,-6.862573416665335,-7.032908139162676,-0.0331,-0.0269,0,0
2024-04-25,95.6045,g,0,0,0,0,0,0,0.01,0,0,0,-0,0,-6.606553713433801,-0.5381811706452551,-0.7639416786331106,-8.157676859939219,-0.002861874808859355,0.10144753476295143,0.85974,0,Future,1,0.01,0.01,0.02,0,0.002062102094014973,1,-6.717892367941915,-6.878235731956783,-0.0331,-0.0269,0,0
