Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-24,1.141725,gbpchf,0,0,0,0,0,0,3493.753177419437,0,0,0,15273.016487411343,27950.025419355497,10.928803289627579,11.753694210697285,12.195358116840351,2.5972115557346203,-0.007356439270204157,0.058466917754173744,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.0022470852493363903,1,0.715325578295786,1.8818859774388343,0.028521,-0.052591,2592.105263157895,16625.461218448105
2024-07-23,1.150155,gbpchf,0,0,0,0,0,0,3714.067597558873,0,0,0,21803.973546469944,29712.540780470983,14.676613291045737,11.504285009708994,13.060115041631075,7.28661769572428,-2.3906962908112894e-4,0.05459561402997798,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.0023887853805623434,1,4.040727625235158,3.245890070489122,0.028521,-0.052591,2592.105263157895,17804.35097131561
2024-07-22,1.15043,gbpchf,0,0,0,0,0,0,3631.990943753985,0,0,0,20893.241393602722,29055.92755003188,14.381396950846813,11.26227570578498,12.774555052172722,7.156780555483568,0.0016877494306084817,0.05581603406834332,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.002335995950767512,1,3.8474975219352716,3.309283033548297,0.028521,-0.052591,2592.105263157895,17415.0580547161
2024-07-21,1.14849,gbpchf,0,0,0,0,0,0,3574.809090671979,0,0,0,19253.08430129605,28598.472725375832,13.464414331617448,11.044050862039727,12.552230297166847,6.154411862553312,4.22382811380545e-4,0.05680464611623133,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.0022992181670875543,1,3.1355399621662388,3.0188719003870728,0.028521,-0.052591,2592.105263157895,17111.9712936027
2024-07-19,1.148005,gbpchf,0,0,0,0,0,0,3497.594546867483,0,0,0,19096.077730935798,27980.756374939865,13.649436401968487,10.81323021905467,12.275920568693309,6.6546731420839915,-0.0010882530696255666,0.05808322039964917,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.00224955591174029,1,3.2703046256796693,3.3843685164043222,0.028521,-0.052591,2592.105263157895,16735.288900924676
2024-07-18,1.149255,gbpchf,0,0,0,0,0,0,3421.6263218723993,0,0,0,20447.66972379363,27373.010574979195,14.940022521661684,10.59106465936872,12.022362175395841,8.613316611499965,0.0013321841951396685,0.05930822824978847,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.0022006952541219955,1,4.196358866288125,4.416957745211841,0.028521,-0.052591,2592.105263157895,16389.62252573575
2024-07-17,1.147725,gbpchf,0,0,0,0,0,0,3357.430924962901,0,0,0,21939.7524551823,26859.447399703207,16.336711719113573,10.337175064459757,11.781097627777017,10.723145946033046,-0.010254588664304676,0.06052279868378793,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.002159406553362322,1,5.431060031480474,5.292085914552572,0.028521,-0.052591,2592.105263157895,16060.715876058586
2024-07-16,1.159555,gbpchf,0,0,0,0,0,0,3888.3856923867706,0,0,0,31107.085539094165,31107.085539094165,20,10.079481401918386,13.784833227976357,20,-0.001607083575994872,0.05172532653880164,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.002500901949675424,1,12.012085101787353,8.049815202029412,0.028521,-0.052591,2592.105263157895,18792.331314816107
2024-07-15,1.16142,gbpchf,0,0,0,0,0,0,3817.9302240101874,0,0,0,30543.4417920815,30543.4417920815,20,9.955156208239801,13.556828884753207,20,-0.0015099407281170263,0.052595264428092696,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.0024555869443833095,1,12.941287985472682,8.276229606202376,0.028521,-0.052591,2592.105263157895,18481.50179020709
2024-07-14,1.163175,gbpchf,0,0,0,0,0,0,3745.9115705702548,0,0,0,29967.292564562038,29967.292564562038,20,9.813827064740114,13.321201791300265,20,0.0013033184844974677,0.05352557608320732,0.95971,0.05263157894736842,FX,1,400,1,1.5e-4,0,0.002409266541766467,1,12.795361590638898,8.218863856400231,0.028521,-0.052591,2592.105263157895,18160.280464298827
