Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-09-11,235.969,gf,0,0,0,0,0,0,300,0,0,0,0,0,2.4493609311669386,10.3342525051898,6.528957251214262,-5.6323352425826725,-0.0036210312961371116,0.15845945381363752,1.1045,0,Future,0.01,300,0.01,0.2,0,0.0053488065238843484,1,-3.8993008743916446,-2.537653688559981,0.011383,-0.071383,0,0
2024-09-10,236.825,gf,0,0,0,0,0,0,300,0,0,0,0,0,2.6980597984302834,10.266745033296242,6.409656741532432,-5.254703974922585,0.003235461760675129,0.16140879952218035,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005232090437471459,1,-3.7798858124738617,-2.225490158866236,0.011383,-0.071383,0,0
2024-09-09,236.06,gf,0,0,0,0,0,0,300,0,0,0,0,0,1.410163507152081,10.242996776437419,6.287304984644435,-6.6535354437956915,0.014580920278116416,0.1645498353470614,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005148848826044734,1,-4.8369187463838985,-2.767121760811178,0.011383,-0.071383,0,0
2024-09-06,232.643,gf,0,0,0,0,0,0,300,0,0,0,-0,0,-0.3144788963763754,10.241608116825121,6.433392027199192,-8.696904525013728,-0.013275315317871517,0.16081329967550684,1.1045,0,Future,0.01,300,0.01,0.2,0,0.0053458656852614535,1,-6.479554058897781,-3.4597653982607657,0.011383,-0.071383,0,0
2024-09-05,235.752,gf,0,0,0,0,0,0,300,0,0,0,0,0,3.358769330500245,10.214717355483444,6.546208944010754,-4.54186962917539,-0.014206022719738698,0.15804185427758943,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005367876228133609,1,-3.686388866710603,-1.504319280918415,0.011383,-0.071383,0,0
2024-09-04,239.125,gf,0,0,0,0,0,0,300,0,0,0,0,0,7.542370796138222,10.103856142451162,6.715640567268416,0.21010398358389337,-0.007922532650009195,0.15405455215135389,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005429132949206166,1,-1.2017121314151162,1.4418309697967087,0.011383,-0.071383,0,0
2024-09-03,241.027,gf,0,0,0,0,0,0,300,0,0,0,0,0,8.479469214692394,9.94060717871276,6.674197720088117,1.3834195102480105,0.006459933141470309,0.1550111404230831,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005353051098240751,1,-0.3511061494950978,1.932157018349967,0.011383,-0.071383,0,0
2024-08-30,239.475,gf,0,0,0,0,0,0,300,0,0,0,0,0,6.477672445458438,9.6180742426737,6.598059101451925,-0.7050124486817401,0.00558189286009636,0.15679989889334855,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005326280515909824,1,-1.5815027053842492,0.7757741926051177,0.011383,-0.071383,0,0
2024-08-29,238.142,gf,0,0,0,0,0,0,300,0,0,0,0,0,5.194732423159038,9.361708683307974,6.504474225602188,-1.996254399416181,-0.009220738698236808,0.15905589969560044,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005280125150982717,1,-2.1184698556498343,-0.16296374368294422,0.011383,-0.071383,0,0
2024-08-28,240.348,gf,0,0,0,0,0,0,300,0,0,0,0,0,6.029389879788715,9.166630261380519,6.486909513592622,-0.9360385962994676,0.0033507570547008925,0.15948657798172758,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005217534667035291,1,-1.062785830225275,-0.006972565545544966,0.011383,-0.071383,0,0
2024-08-27,239.544,gf,0,0,0,0,0,0,300,0,0,0,0,0,4.309797353451932,8.871335895135632,6.364228235341638,-2.6922993755792843,0.0018343300543586238,0.1625609518927731,1.1045,0,Future,0.01,300,0.01,0.2,0,0.005136040795808306,1,-2.0598444351713345,-1.017069136919276,0.011383,-0.071383,0,0
