Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-28,133.62,gg,0,0,0,0,0,0,23.47182404932345,0,0,0,-34.09824697502468,187.7745923945876,-3.63182755879677,-10.726159768366625,4.150849253287734,-1.5547814875229151,-2.1700982990058293e-4,0.061776514720908074,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003392057152934486,1,-0.19532207664743984,-2.3959804025574187,-0.019743,-0.040257,2066.6666666666665,12545.220517882397
2024-03-27,133.649,gg,0,0,0,0,0,0,22.988771281674424,0,0,0,-39.064803992647576,183.9101702533954,-4.248248363733582,-10.671147047132584,4.066306643555141,-2.361910949856054,0.004296566737185259,0.06306091066851012,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.00332224823683553,1,-0.8258657095080119,-3.110652540252079,-0.019743,-0.040257,2066.6666666666665,12289.70517209802
2024-03-26,133.076,gg,0,0,0,0,0,0,23.287113462851462,0,0,0,-48.80115876847787,186.2969077028117,-5.239073409240634,-10.92706877903946,4.101418165290076,-3.572605905446153,0.0011729501036530365,0.06252105726992217,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0033653634939862756,1,-1.961756213499462,-3.992586962244126,-0.019743,-0.040257,2066.6666666666665,12395.823644729684
2024-03-25,132.92,gg,0,0,0,0,0,0,22.88434330254083,0,0,0,-51.58599179989064,183.07474642032665,-5.6355114846318415,-11.142831290126367,4.0257559166533055,-3.9554776261059237,-0.0035822009866324223,0.06369611206165013,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003307156709528482,1,-2.3412762965583385,-4.251186413618202,-0.019743,-0.040257,2066.6666666666665,12167.147647094907
2024-03-22,133.397,gg,0,0,0,0,0,0,22.775270555998144,0,0,0,-53.420580809918796,182.20216444798515,-5.863879934880711,-11.302311204392527,4.02094618381148,-4.177824069550425,0.0061886643785245,0.06377230340271133,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003291393938415216,1,-2.5954186304812046,-4.367621485436171,-0.019743,-0.040257,2066.6666666666665,12152.611065433937
2024-03-21,132.574,gg,0,0,0,0,0,0,23.88404104839116,0,0,0,-68.21445390242872,191.0723283871293,-7.14017089530832,-11.556857565106224,4.1906831114822065,-5.837140633599086,0.001902634060312991,0.06118930808617137,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0034516291579610456,1,-4.339445878436443,-5.3891218442287006,-0.019743,-0.040257,2066.6666666666665,12665.61143179764
2024-03-20,132.322,gg,0,0,0,0,0,0,23.58369272581539,0,0,0,-70.35692823044812,188.6695418065231,-7.458217956833514,-11.718931659031393,4.130118545237656,-6.149884052214483,0.001641285108656021,0.06208659562464077,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0034082239810210636,1,-4.805400045239882,-5.444406708450924,-0.019743,-0.040257,2066.6666666666665,12482.565555461377
2024-03-19,132.105,gg,0,0,0,0,0,0,23.239515556548,0,0,0,-68.98005557659326,185.916124452384,-7.420556531045818,-11.755271741053694,4.063169867102627,-6.0480244377522245,7.269588452540887e-4,0.0631095938361179,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0033584848288172597,1,-4.887710441872382,-5.19233028771466,-0.019743,-0.040257,2066.6666666666665,12280.224810391093
2024-03-18,132.009,gg,0,0,0,0,0,0,22.79392128476568,0,0,0,-63.60021872289493,182.35137027812544,-6.975567951684792,-11.753918306399738,3.9823666137820184,-5.414981422604196,-0.0017483514324911908,0.0643901038926387,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.003294089269540331,1,-4.442927180770943,-4.582041856902718,-0.019743,-0.040257,2066.6666666666665,12036.01101952253
2024-03-15,132.24,gg,0,0,0,0,0,0,22.381116432948513,0,0,0,-54.60202767401324,179.0489314635881,-6.099117959284472,-11.66416323079276,3.917087204137296,-4.25861926571823,7.562294403751224e-5,0.06546318390082288,1,0.047619047619047616,Future,1,1,0.01,0.028,0,0.0032344323103099793,1,-3.4989056250329598,-3.5987931511640907,-0.019743,-0.040257,2066.6666666666665,11838.715348372447
