Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-06-26,434.79,hg,0,0,0,0,0,0,306.85172380117194,0,0,0,386.45707826644446,2454.8137904093755,3.1485653190989873,20,-1.5113659320570039,-5.046229941839515,-0.0014249600204774282,0.21791545846990676,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.0021108744802354664,1,-2.2554805014703776,-4.4728260876489765,-0.043174,-0.016826,1741.4285714285713,4994.5647031422495
2024-06-25,435.41,hg,0,0,0,0,0,0,299.336580795386,0,0,0,427.67580538807414,2394.692646363088,3.571863855159883,20,-1.476453273238073,-4.499288223167786,-0.01107734556217288,0.2230683530388255,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.0020591767957977786,1,-1.8267852002395393,-4.172265763984176,-0.043174,-0.016826,1741.4285714285713,4879.189908903932
2024-06-24,440.26,hg,0,0,0,0,0,0,292.6481913158141,0,0,0,515.6793119134801,2341.1855305265126,4.405283606869962,19.84473164157068,-1.4595419696471428,-3.3188833601351515,0.0020918606991457978,0.22565298350387503,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.0020131664606058797,1,-0.7271959151128922,-3.6979818984006436,-0.043174,-0.016826,1741.4285714285713,4823.303641913366
2024-06-23,439.34,hg,0,0,0,0,0,0,286.4648379864991,0,0,0,507.92769227356166,2291.718703891993,4.432722841690435,19.63069061262319,-1.4257178340978125,-3.1921892670087764,-0.0020464319654642793,0.23100643908856697,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.001970630337349204,1,-0.7632904771354153,-3.4929618788762866,-0.043174,-0.016826,1741.4285714285713,4711.526057183071
2024-06-21,440.24,hg,0,0,0,0,0,0,279.20094517287237,0,0,0,599.5018213478692,2233.607561382979,5.368013895661032,19.407332827546078,-1.3924124511912317,-1.8501083272960468,-0.02510028932609565,0.23653192681395205,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.001920661036940823,1,0.07407839171205562,-2.5408894947734515,-0.043174,-0.016826,1741.4285714285713,4601.462778422085
2024-06-20,451.43,hg,0,0,0,0,0,0,281.5647319318075,0,0,0,866.1380466267024,2252.51785545446,7.690398942049262,19.17610532317156,-1.4398928873575874,1.3857590381586957,0.012931310775631921,0.22873229175012116,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.0019369218455305367,1,2.1238891498220327,-0.276210432277105,-0.043174,-0.016826,1741.4285714285713,4758.369921514506
2024-06-19,445.63,hg,0,0,0,0,0,0,282.8818143113711,0,0,0,627.1233304805091,2263.054514490969,5.542273298896369,18.938404765456546,-1.428041942075946,-1.3654836798284762,0.0022240453077735367,0.2306304810075981,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.0019459822332283752,1,0.4833654066400978,-2.304010313078066,-0.043174,-0.016826,1741.4285714285713,4719.206465631922
2024-06-18,444.64,hg,0,0,0,0,0,0,276.8830672576463,0,0,0,553.3483835161838,2215.0645380611704,4.996228091850773,18.496063417933726,-1.394653885079427,-1.8890673106261193,0.004191933298114847,0.23615178183169305,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.001904716041491743,1,0.009290626617181164,-2.5280470407853404,-0.043174,-0.016826,1741.4285714285713,4608.869976338192
2024-06-17,442.78,hg,0,0,0,0,0,0,271.7974019221786,0,0,0,492.10652335653407,2174.379215377429,4.526409375846745,17.925588154847578,-1.3633105991744674,-2.2459262767075616,-0.008433554613097805,0.24158104558083315,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.001869731062301556,1,-0.3103847357077749,-2.684183633235641,-0.043174,-0.016826,1741.4285714285713,4505.290779440228
2024-06-16,446.53,hg,0,0,0,0,0,0,264.56314276149413,0,0,0,548.9007256228484,2116.505142091953,5.186859362697461,17.327208310454292,-1.338263081545059,-1.078660130858002,-5.597161266006623e-4,0.24610258217670997,1.06849,0.047619047619047616,Future,0.01,200,0.1,0.2,0,0.0018199656157968686,1,0.37716835234815244,-1.8153818601588216,-0.043174,-0.016826,1741.4285714285713,4422.517015125644
