Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-09-11,17071.8,hs,0,0,0,0,0,0,0.3871795816787726,0,0,0,-2.4450597418700655,3.0974366534301807,-15.787633552811117,-13.236853575672352,-5.524720239901586,-8.662222866854307,-0.001159135344664719,0.17788231029368937,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0016464855696237274,1,-5.442364216799366,-4.457319059605554,-0.06931,0.00931,2427.7777777777774,3070.850603964631
2024-09-10,17091.6,hs,0,0,0,0,0,0,0.3789815286321943,0,0,0,-2.213288143238157,3.0318522290575545,-14.600237584310982,-13.158376936528702,-5.414012999000377,-7.399790842876582,-0.008349283058796786,0.18151969716021205,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0016116232559095717,1,-4.7389809106866245,-3.7179229097437565,-0.06931,0.00931,2427.7777777777774,3009.315289446915
2024-09-09,17234.9,hs,0,0,0,0,0,0,0.37280558080800696,0,0,0,-1.8609410295970301,2.9824446464640557,-12.47929970337143,-13.136195140890868,-5.370437955460492,-5.008740255677382,-0.012535047315290981,0.1829925246600737,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.001585359967625661,1,-2.9869221442916145,-2.737352433625393,-0.06931,0.00931,2427.7777777777774,2985.0946152839415
2024-09-05,17452.3,hs,0,0,0,0,0,0,0.3709744606153371,0,0,0,-1.5339722477143263,2.967795684922697,-10.337451836778191,-13.114944850144624,-5.4114694681724025,-2.551023511445134,-0.002066358879192265,0.1816050161199377,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.001577573108203981,1,-1.091150818872454,-1.8243046227791277,-0.06931,0.00931,2427.7777777777774,3007.9014978266846
2024-09-04,17488.4,hs,0,0,0,0,0,0,0.3629132673417499,0,0,0,-1.3234131696967235,2.903306138733999,-9.11659402389997,-13.106982920594412,-5.304829793771136,-1.2130582415600488,-0.0023416673083396233,0.18525570813863484,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0015432927922292583,1,-0.43721142590081946,-0.9491408501678078,-0.06931,0.00931,2427.7777777777774,2948.6270921877203
2024-09-03,17529.4,hs,0,0,0,0,0,0,0.35494247440970206,0,0,0,-1.030387047999259,2.8395397952776165,-7.257422838115357,-13.108926794452593,-5.200481484117201,0.8605066100102026,-0.011181223763701453,0.18897288703006027,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0015093969047339207,1,0.5614981517707309,0.4219379739552148,-0.06931,0.00931,2427.7777777777774,2890.6263146263245
2024-09-02,17726.5,hs,0,0,0,0,0,0,0.3508737149917731,0,0,0,-0.5938284302328918,2.806989719934185,-4.231069504927259,-13.093591050405937,-5.198671322918404,4.310623181031017,-0.005760041125647319,0.18903868680205552,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0014920944590862348,1,2.3778814700408617,2.548545022566016,-0.06931,0.00931,2427.7777777777774,2889.620157867391
2024-08-30,17828.9,hs,0,0,0,0,0,0,0.34343810137735176,0,0,0,-0.46297314727894034,2.747504811018814,-3.3701352981963533,-13.147164832218571,-5.117897153662756,5.280947795001975,0.002150508275549967,0.19202222524082366,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0014604744277189826,1,3.08899671583063,2.946372192743055,-0.06931,0.00931,2427.7777777777774,2844.7227882862167
2024-08-29,17790.6,hs,0,0,0,0,0,0,0.3372186147864665,0,0,0,-0.5599295695374958,2.697748918291732,-4.151087343532728,-13.275975672610603,-5.014419526127405,4.401097778188744,0.008172433199515439,0.19598479841573402,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.001434025990335069,1,2.7233435410392173,2.3064824911764905,-0.06931,0.00931,2427.7777777777774,2787.2059691143163
2024-08-28,17645.8,hs,0,0,0,0,0,0,0.3361311841765512,0,0,0,-0.6839555400272505,2.6890494734124095,-5.086968810278596,-13.428289697716387,-4.957568100835998,3.3792502589577973,-0.011382456607801572,0.1982322743754701,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0014294016793127016,1,2.2222312908535926,1.6397690050981752,-0.06931,0.00931,2427.7777777777774,2755.605774695155
2024-08-27,17847.8,hs,0,0,0,0,0,0,0.3314969984184262,0,0,0,-0.4757435600701916,2.65197598734741,-3.587842139898448,-13.605985293299991,-4.945188170519509,5.175195714882952,0.009961032509506751,0.19872853491371972,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.001409694751729834,1,3.3484481569265143,2.5660612315111457,-0.06931,0.00931,2427.7777777777774,2748.724536399167
2024-08-26,17670.9,hs,0,0,0,0,0,0,0.3324498713109465,0,0,0,-0.6815623988986812,2.659598970487572,-5.125302020806043,-13.911517279339886,-4.910247339787611,3.553394285785415,-0.002678784959520897,0.20014266736357683,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0014137468545303428,1,2.212872956824472,1.848149084073145,-0.06931,0.00931,2427.7777777777774,2729.303087620435
2024-08-23,17718.3,hs,0,0,0,0,0,0,0.3248190641926531,0,0,0,-0.7403127997699303,2.598552513541225,-5.69788600316609,-14.157909287175173,-4.81040998370765,2.972289917537308,0.014221643419359609,0.20429651595778117,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0013812967605703879,1,2.0581314661251193,1.3387712967746612,-0.06931,0.00931,2427.7777777777774,2673.809670414962
2024-08-22,17468.1,hs,0,0,0,0,0,0,0.3314919835466462,0,0,0,-1.09135618918478,2.6519358683731697,-8.230637868737547,-14.477767952946673,-4.839909382818056,0.25239538932516864,-0.0014415901173396861,0.2030513223013671,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0014096734259306186,1,0.5034100881001281,-0.2149582145856497,-0.06931,0.00931,2427.7777777777774,2690.2065635862255
2024-08-21,17493.3,hs,0,0,0,0,0,0,0.3240212689682422,0,0,0,-1.0618596200782267,2.5921701517459375,-8.192823448437741,-14.74128736710304,-4.737658942640075,0.37624635665699674,0.00863474974138434,0.20743367386685702,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.001377904127315267,1,0.6633796942449925,-0.23338385806556775,-0.06931,0.00931,2427.7777777777774,2633.371862037284
2024-08-20,17342.9,hs,0,0,0,0,0,0,0.32288175224865967,0,0,0,-1.1092482745506387,2.5830540179892774,-8.588657200549829,-15.011956681207002,-4.680408420622931,0.030574321715162216,-0.02130191902596934,0.20997099220439455,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.001373058319519818,1,0.4215056665719216,-0.38656358461173623,-0.06931,0.00931,2427.7777777777774,2601.5498344088273
2024-08-19,17716.3,hs,0,0,0,0,0,0,0.32861262444068134,0,0,0,-0.842320435256002,2.6289009955254508,-6.40815638694407,-15.318618656702043,-4.8660414088645965,2.768722733418668,0.00915200654131354,0.20196087896204465,8.6098,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.0013974289186216842,1,2.484651463814128,0.6796030886643496,-0.06931,0.00931,2427.7777777777774,2704.731742144274
