Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-12,247.63,kc,0,0,0,0,0,0,500,0,0,0,0,0,14.688123717860606,0.8629221588957253,2.793470004036097,17.755968875681564,0.0014143988133143992,0.35705591918255347,1.090631,0,Future,0.01,500,0.01,0.3,0,0.0033929835959701756,1,10.75746685116667,9.535069006755117,0.009897,-0.069897,0,0
2024-07-11,247.28,kc,0,0,0,0,0,0,500,0,0,0,0,0,14.514566578706509,1.1011303514701236,2.7308972456783716,17.436741639701097,2.0222038045858426e-4,0.365237103511829,1.090631,0,Future,0.01,500,0.01,0.3,0,0.003321676796007206,1,10.769937740550576,9.157766990536391,0.009897,-0.069897,0,0
2024-07-10,247.23,kc,0,0,0,0,0,0,500,0,0,0,0,0,14.246158317127653,1.3579097942072138,2.6690029635364283,16.981421377298382,-0.011261833219420758,0.3737069660943397,1.090631,0,Future,0.01,500,0.01,0.3,0,0.003247049373878336,1,10.648918161113267,8.758420555799166,0.009897,-0.069897,0,0
2024-07-09,250.03,kc,0,0,0,0,0,0,500,0,0,0,0,0,13.542969499066588,1.721696942329313,2.6201359287462966,15.886376229884316,0.056478726469959994,0.3806768149151925,1.090631,0,Future,0.01,500,0.01,0.3,0,0.0031519020078625785,1,9.940881722934206,8.214976825505016,0.009897,-0.069897,0,0
2024-07-08,236.3,kc,0,0,0,0,0,0,500,0,0,0,0,0,10.60728581801453,2.104321282109986,2.908429635402936,11.636672298596245,0.016340999748893914,0.34294279904826236,1.090631,0,Future,0.01,500,0.01,0.3,0,0.0037019951454168444,1,7.056381983161914,6.242672072376652,0.009897,-0.069897,0,0
2024-07-05,232.47,kc,0,0,0,0,0,0,500,0,0,0,0,0,8.23386875090404,2.25169294928179,2.8777535916358503,8.413768397413234,0.031195190077938584,0.34659847281539374,1.090631,0,Future,0.01,500,0.01,0.3,0,0.003723297119241746,1,5.378471945375703,4.237263365953708,0.009897,-0.069897,0,0
2024-07-03,225.33,kc,0,0,0,0,0,0,500,0,0,0,0,0,6.117302959492737,2.4774602255240077,2.9403454464064973,5.447501110025064,-0.014582719815527057,0.33922034610558743,1.090631,0,Future,0.01,500,0.01,0.3,0,0.003924825432820757,1,3.7656210410695254,2.4600945132448326,0.009897,-0.069897,0,0
2024-07-02,228.64,kc,0,0,0,0,0,0,500,0,0,0,0,0,7.394722961202957,2.738733669991533,2.9029863688097235,7.038770595536647,0.006009976195636035,0.3435858365428571,1.090631,0,Future,0.01,500,0.01,0.3,0,0.003818860466694202,1,4.710830301842974,3.333478950198909,0.009897,-0.069897,0,0
2024-07-01,227.27,kc,0,0,0,0,0,0,500,0,0,0,0,0,7.321940945684609,3.0276514881795253,2.842436450233601,6.827543958372916,-0.010853023249874916,0.350904942806383,1.090631,0,Future,0.01,500,0.01,0.3,0,0.0037617476392129943,1,4.5357365334336945,3.267170847563923,0.009897,-0.069897,0,0
2024-06-28,229.75,kc,0,0,0,0,0,0,500,0,0,0,0,0,8.340700113585921,3.306997067015401,2.7921021437041715,8.071383879421443,0.004099796391539456,0.3572308420911693,1.090631,0,Future,0.01,500,0.01,0.3,0,0.0036552474880106865,1,5.1660103960679296,4.058428323270862,0.009897,-0.069897,0,0
