Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-09-11,493.32,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-5.44007020866866,12.212202516876374,-13.642025020652728,-5.502311843733149,-1.4188566066497543e-4,0.2326267541069323,1.1045,0,Future,1,2,0.01,1,1,0.008713880829417318,1,-3.184448067421199,-3.1039083254166853,-0.15694,0.09694,0,0
2024-09-10,493.39,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-4.269938438957357,12.271972532286537,-13.330454427218516,-4.350688697056704,-0.006565481196346923,0.23806390227179758,1.1045,0,Future,1,2,0.01,1,1,0.008513656208444801,1,-2.7048177900403334,-2.2673978637387564,-0.15694,0.09694,0,0
2024-09-09,496.64,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-1.9762589474365582,12.317996692315788,-13.07376197212632,-1.8806990143079423,-0.015999702130068627,0.2427380892176256,1.1045,0,Future,1,2,0.01,1,1,0.008295076122271981,1,-1.3441029037282128,-0.8052673983380071,-0.15694,0.09694,0,0
2024-09-06,504.65,lb,0,0,0,0,0,0,2,0,0,0,0,0,0.8846951077034657,12.407520310554224,-13.058799513646592,1.336719724635859,-0.014537627303040423,0.2430162126835362,1.1045,0,Future,1,2,0.01,1,1,0.008154070727329014,1,0.5306371558320301,0.9970425294660946,-0.15694,0.09694,0,0
2024-09-05,512.04,lb,0,0,0,0,0,0,2,0,0,0,0,0,1.4057733935082792,12.391356139328064,-12.990871040388418,1.9063556145396392,0.026879401527641456,0.24428692965495824,1.1045,0,Future,1,2,0.01,1,1,0.00799458418339384,1,1.1386820231542252,1.0400101077482196,-0.15694,0.09694,0,0
2024-09-04,498.46,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-2.624294882594969,12.386799927683732,-13.541749014040192,-2.4217196083588783,-0.003544647194358319,0.23434934414378011,1.1045,0,Future,1,2,0.01,1,1,0.008560634290428885,1,-1.4960699723495159,-1.2716095800606309,-0.15694,0.09694,0,0
2024-09-03,500.23,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-1.7088571531357255,12.369186242735681,-13.244645773310195,-1.5152498382964297,-0.0083214367749056,0.23960625707295577,1.1045,0,Future,1,2,0.01,1,1,0.008343189562018547,1,-0.9592513234093322,-0.7724627775008731,-0.15694,0.09694,0,0
2024-08-30,504.41,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-1.0116911851080856,12.310409284232229,-13.016373421930203,-0.8032364284173964,0.004231696308767852,0.24380830951371096,1.1045,0,Future,1,2,0.01,1,1,0.008131446497840021,1,-0.46652633669326754,-0.451458152926614,-0.15694,0.09694,0,0
2024-08-29,502.28,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-2.1799697532052247,12.204721218386553,-12.731592643011702,-2.2279582913505385,0.013509656070082698,0.24926182363695998,1.1045,0,Future,1,2,0.01,1,1,0.007987269648331262,1,-1.432973395544755,-1.1132646517130036,-0.15694,0.09694,0,0
2024-08-28,495.54,lb,0,0,0,0,0,0,2,0,0,0,-0,0,-3.909177285661289,12.077589665293907,-12.617761889666355,-4.197545071426679,0.0032947626955035503,0.25151053156257613,1.1045,0,Future,1,2,0.01,1,1,0.008023523120494367,1,-2.894357778026819,-1.9028365893179564,-0.15694,0.09694,0,0
